"","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Alert.Level"
"1031","1/04/2018","Aggravated Sexual Assault","Onehunga South West.",597700,"Auckland.",3
"1032","1/04/2018","Aggravated Sexual Assault","Frankton Junction.",915300,"Hamilton City.",3
"1033","1/04/2018","Aggravated Sexual Assault","Roslyn.",1843600,"Palmerston North City.",3
"1034","1/04/2018","Aggravated Sexual Assault","Kuirau.",1233700,"Rotorua District.",3
"1035","1/04/2018","Non-Aggravated Sexual Assault","Freemans Bay.",414000,"Auckland.",3
"1036","1/04/2018","Aggravated Sexual Assault","Ahuriri.",1418900,"Napier City.",3
"1037","1/04/2018","Aggravated Sexual Assault","Waihou Valley-Hupara.",34400,"Far North District.",3
"1038","1/04/2018","Non-Aggravated Sexual Assault","Kaiteriteri.",2366502,"Tasman District.",3
"1039","1/04/2018","Aggravated Sexual Assault","Lichfield.",1133302,"South Waikato District.",3
"1040","1/04/2018","Aggravated Sexual Assault","Linwood.",2610500,"Christchurch City.",3
"1041","1/04/2018","Aggravated Sexual Assault","Waihou-Walton.",1107705,"Matamata-Piako District.",3
"1042","1/03/2018","Common Assault","Cathedral Square.",2649300,"Christchurch City.",4
"1043","1/03/2018","Common Assault","Anderson Park.",1504900,"Hastings District.",4
"1044","1/03/2018","Common Assault","Masterton East.",2239900,"Masterton District.",4
"1045","1/03/2018","Common Assault","Porirua East.",2055400,"Porirua City.",4
"1046","1/03/2018","Common Assault","Hutt Central.",1967700,"Lower Hutt City.",4
"1047","1/03/2018","Common Assault","Welcome Bay West.",1180006,"Tauranga City.",4
"1048","1/03/2018","Common Assault","Holborn.",1931600,"Lower Hutt City.",4
"1049","1/03/2018","Common Assault","Newmarket.",450200,"Auckland.",4
"1050","1/03/2018","Common Assault","New Windsor.",375600,"Auckland.",4
"1051","1/03/2018","Common Assault","Hornby North.",2488400,"Christchurch City.",4
"1052","1/03/2018","Common Assault","Cannons Creek North.",2048300,"Porirua City.",4
"1053","1/03/2018","Common Assault","Morrinsville East.",1089800,"Matamata-Piako District.",4
"1054","1/03/2018","Common Assault","Maungatapu.",1178900,"Tauranga City.",4
"1055","1/03/2018","Common Assault","Northcote.",2665000,"Christchurch City.",4
"1056","1/03/2018","Common Assault","Havelock North Central.",1510600,"Hastings District.",4
"1057","1/03/2018","Common Assault","Cathedral Square.",2649300,"Christchurch City.",4
"1058","1/03/2018","Common Assault","Endeavour.",2072404,"Porirua City.",4
"1059","1/03/2018","Common Assault","Thorndon-Tinakori Road.",2122700,"Wellington City.",4
"1060","1/03/2018","Common Assault","North Dunedin.",2869500,"Dunedin City.",4
"1061","1/03/2018","Common Assault","Kaikohe.",41800,"Far North District.",4
"1062","1/03/2018","Common Assault","Malvern.",2461300,"Selwyn District.",4
"1063","1/03/2018","Common Assault","Willis Street-Cambridge Terrace.",2131000,"Wellington City.",4
"1064","1/03/2018","Common Assault","Tauranga Central.",1164300,"Tauranga City.",4
"1065","1/03/2018","Common Assault","Enderley.",865100,"Hamilton City.",4
"1066","1/03/2018","Common Assault","Gordonton.",954000,"Waikato District.",4
"1067","1/03/2018","Common Assault","Aidanfield.",2484302,"Christchurch City.",4
"1068","1/03/2018","Common Assault","Oamaru Central.",2842000,"Waitaki District.",4
"1069","1/03/2018","Common Assault","Victoria.",1236500,"Rotorua District.",4
"1070","1/03/2018","Common Assault","High St-Stuart St.",2899600,"Dunedin City.",4
"1071","1/03/2018","Common Assault","Thorndon-Tinakori Road.",2122400,"Wellington City.",4
"1072","1/03/2018","Common Assault","Hillpark.",757300,"Auckland.",4
"1073","1/03/2018","Common Assault","Terrace End.",1847500,"Palmerston North City.",4
"1074","1/03/2018","Common Assault","Sunnyvale.",276400,"Auckland.",4
"1075","1/03/2018","Common Assault","Anderson Park.",1505100,"Hastings District.",4
"1076","1/03/2018","Common Assault","Kawerau.",1318800,"Kawerau District.",4
"1077","1/03/2018","Common Assault","Highfield.",2787000,"Timaru District.",4
"1078","1/03/2018","Common Assault","Waiheke Island.",515704,"Auckland.",4
"1079","1/03/2018","Common Assault","Hamilton East.",894800,"Hamilton City.",4
"1080","1/03/2018","Common Assault","Papaeoia.",1835000,"Palmerston North City.",4
"1081","1/03/2018","Common Assault","Bluff.",3156900,"Invercargill City.",4
"1082","1/03/2018","Common Assault","Awanui.",7202,"Far North District.",4
"1083","1/03/2018","Common Assault","Levin West.",1869402,"Horowhenua District.",4
"1084","1/03/2018","Common Assault","Lyall Bay-Airport-Moa Point.",2175700,"Wellington City.",4
"1085","1/03/2018","Common Assault","Hillmorton.",2630800,"Christchurch City.",4
"1086","1/03/2018","Common Assault","Hutt Central.",1967700,"Lower Hutt City.",4
"1087","1/03/2018","Common Assault","Welcome Bay East.",1180409,"Tauranga City.",4
"1088","1/03/2018","Common Assault","Tangiwai.",1671800,"Ruapehu District.",4
"1089","1/03/2018","Common Assault","Willis Street-Cambridge Terrace.",2134800,"Wellington City.",4
"1090","1/03/2018","Common Assault","Tauhara.",1270800,"Taupo District.",4
"1091","1/03/2018","Common Assault","Masterton Central.",2245000,"Masterton District.",4
"1092","1/03/2018","Common Assault","Kohitere.",1856907,"Horowhenua District.",4
"1093","1/03/2018","Common Assault","Caledonian.",2932900,"Dunedin City.",4
"1094","1/03/2018","Common Assault","Middlemore.",786500,"Auckland.",4
"1095","1/03/2018","Common Assault","Hastings Central.",1493600,"Hastings District.",4
"1096","1/03/2018","Common Assault","Kopuaranga.",2229500,"Masterton District.",4
"1097","1/03/2018","Common Assault","Western Heights.",1218801,"Rotorua District.",4
"1098","1/03/2018","Common Assault","Grey Lynn East.",409200,"Auckland.",4
"1099","1/03/2018","Common Assault","Beckenham.",2628100,"Christchurch City.",4
"1100","1/03/2018","Common Assault","Camberley.",1479300,"Hastings District.",4
"1101","1/03/2018","Common Assault","Holborn.",1931600,"Lower Hutt City.",4
"1102","1/03/2018","Common Assault","Adelaide.",2149200,"Wellington City.",4
"1103","1/03/2018","Common Assault","Miramar.",2205400,"Wellington City.",4
"1104","1/03/2018","Common Assault","Mangapapa.",1378700,"Gisborne District.",4
"1105","1/03/2018","Common Assault","Papatoetoe West.",658201,"Auckland.",4
"1106","1/03/2018","Aggravated Sexual Assault","Chartwell.",869300,"Hamilton City.",4
"1107","1/03/2018","Aggravated Sexual Assault","Trafalgar.",2320800,"Nelson City.",4
"1108","1/03/2018","Aggravated Sexual Assault","Otago University.",2868300,"Dunedin City.",4
"1109","1/03/2018","Aggravated Sexual Assault","Trident.",1310700,"Whakatane District.",4
"1110","1/03/2018","Aggravated Sexual Assault","999999",-378,"Dunedin City.",4
"1111","1/03/2018","Aggravated Sexual Assault","Balmoral.",547900,"Auckland.",4
"1112","1/03/2018","Aggravated Sexual Assault","Allenton East.",2735200,"Ashburton District.",4
"1113","1/03/2018","Aggravated Sexual Assault","Harania East.",732601,"Auckland.",4
"1114","1/03/2018","Aggravated Sexual Assault","Meadowbank North.",460000,"Auckland.",4
"1115","1/03/2018","Aggravated Sexual Assault","Target Road.",183400,"Auckland.",4
"1116","1/03/2018","Aggravated Sexual Assault","Cathedral Square.",2651000,"Christchurch City.",4
"1117","1/03/2018","Aggravated Sexual Assault","Nelson Park.",1428600,"Napier City.",4
"1118","1/03/2018","Aggravated Sexual Assault","Tauranga Central.",1164000,"Tauranga City.",4
"1119","1/03/2018","Aggravated Sexual Assault","Maungatapu.",1179403,"Tauranga City.",4
"1120","1/04/2018","Common Assault","Clendon South.",774449,"Auckland.",3
"1121","1/04/2018","Common Assault","Auckland Central East.",438102,"Auckland.",3
"1122","1/04/2018","Common Assault","Auckland Central West.",433900,"Auckland.",3
"1123","1/04/2018","Common Assault","Pokeno.",842601,"Waikato District.",3
"1124","1/04/2018","Common Assault","Paparua.",2494600,"Christchurch City.",3
"1125","1/04/2018","Common Assault","Albany.",178900,"Auckland.",3
"1126","1/04/2018","Common Assault","Karikari Peninsula-Maungataniwha.",3300,"Far North District.",3
"1127","1/04/2018","Common Assault","Wanganui Collegiate.",1721900,"Wanganui District.",3
"1128","1/04/2018","Common Assault","Lynnmall.",265002,"Auckland.",3
"1129","1/04/2018","Common Assault","Cathedral Square.",2651100,"Christchurch City.",3
"1130","1/04/2018","Common Assault","Te Papapa.",607400,"Auckland.",3
"1131","1/04/2018","Common Assault","Woolston West.",2591800,"Christchurch City.",3
"1132","1/04/2018","Common Assault","Te Mata Hills.",1466710,"Hastings District.",3
"1133","1/04/2018","Common Assault","Edmonton.",256900,"Auckland.",3
"1134","1/04/2018","Common Assault","Randwick Park.",759735,"Auckland.",3
"1135","1/04/2018","Common Assault","Auckland Central West.",434200,"Auckland.",3
"1136","1/04/2018","Common Assault","Maramarua.",933000,"Waikato District.",3
"1137","1/04/2018","Common Assault","Taupo Central.",1273700,"Taupo District.",3
"1138","1/04/2018","Common Assault","Akina.",1501500,"Hastings District.",3
"1139","1/04/2018","Common Assault","Hamilton Lake.",927503,"Hamilton City.",3
"1140","1/04/2018","Common Assault","Waltham.",2624402,"Christchurch City.",3
"1141","1/04/2018","Common Assault","Akaroa.",2716300,"Christchurch City.",3
"1142","1/04/2018","Common Assault","Auckland Central West.",434300,"Auckland.",3
"1143","1/04/2018","Common Assault","Foxton Beach.",1782901,"Horowhenua District.",3
"1144","1/04/2018","Common Assault","Mangaore-Manakau.",1854901,"Horowhenua District.",3
"1145","1/04/2018","Common Assault","Chelsea.",353601,"Auckland.",3
"1146","1/04/2018","Common Assault","Cathedral Square.",2651900,"Christchurch City.",3
"1147","1/04/2018","Common Assault","Nelson Park.",1428100,"Napier City.",3
"1148","1/04/2018","Common Assault","Bledisloe Park.",824100,"Auckland.",3
"1149","1/04/2018","Common Assault","Cathedral Square.",2653100,"Christchurch City.",3
"1150","1/04/2018","Common Assault","Wyndham.",3097901,"Southland District.",3
"1151","1/04/2018","Common Assault","Hamilton Central.",910500,"Hamilton City.",3
"1152","1/04/2018","Common Assault","Pakuranga Central.",684000,"Auckland.",3
"1153","1/04/2018","Common Assault","Middlemore.",786500,"Auckland.",3
"1154","1/04/2018","Common Assault","Frankton Junction.",915700,"Hamilton City.",3
"1155","1/04/2018","Common Assault","Timaru Gardens.",2801800,"Timaru District.",3
"1156","1/04/2018","Common Assault","Rolleston North East.",2719321,"Selwyn District.",3
"1157","1/04/2018","Common Assault","Paparua.",2494600,"Christchurch City.",3
"1158","1/04/2018","Common Assault","Blenheim Central.",2299400,"Marlborough District.",3
"1159","1/04/2018","Common Assault","New Lynn North.",268300,"Auckland.",3
"1160","1/04/2018","Common Assault","Tauranga Central.",1164900,"Tauranga City.",3
"1161","1/04/2018","Common Assault","Wanganui Collegiate.",1722000,"Wanganui District.",3
"1162","1/04/2018","Common Assault","Te Uku.",860800,"Waikato District.",3
"1163","1/04/2018","Common Assault","Esplanade.",2027100,"Lower Hutt City.",3
"1164","1/04/2018","Common Assault","Playford Park.",1867900,"Horowhenua District.",3
"1165","1/04/2018","Common Assault","Newtown West.",2163500,"Wellington City.",3
"1166","1/04/2018","Common Assault","Greymouth South.",2412000,"Grey District.",3
"1167","1/04/2018","Common Assault","Cathedral Square.",2653200,"Christchurch City.",3
"1168","1/04/2018","Common Assault","Auckland Central East.",438000,"Auckland.",3
"1169","1/04/2018","Common Assault","Hagley Park.",2677100,"Christchurch City.",3
"1170","1/04/2018","Common Assault","Marton.",1736900,"Rangitikei District.",3
"1171","1/04/2018","Common Assault","Cathedral Square.",2651700,"Christchurch City.",3
"1172","1/04/2018","Common Assault","Northland.",2151300,"Wellington City.",3
"1173","1/04/2018","Common Assault","Taneatua.",1304000,"Whakatane District.",3
"1174","1/04/2018","Common Assault","Kirks.",2331500,"Nelson City.",3
"1175","1/04/2018","Common Assault","Burswood.",711702,"Auckland.",3
"1176","1/04/2018","Common Assault","Westown.",1575300,"New Plymouth District.",3
"1177","1/04/2018","Common Assault","Oakura.",1555303,"New Plymouth District.",3
"1178","1/04/2018","Common Assault","Bishopdale.",2521900,"Christchurch City.",3
"1179","1/04/2018","Common Assault","Beachlands-Maraetai.",719500,"Auckland.",3
"1180","1/04/2018","Common Assault","Frankton Junction.",913700,"Hamilton City.",3
"1181","1/04/2018","Common Assault","Sawyers Arms.",2528702,"Christchurch City.",3
"1182","1/04/2018","Common Assault","Woolston South.",2588600,"Christchurch City.",3
"1183","1/04/2018","Common Assault","Kelburn.",2155200,"Wellington City.",3
"1184","1/04/2018","Common Assault","Browns Bay.",160405,"Auckland.",3
"1185","1/04/2018","Common Assault","Grey Lynn East.",411600,"Auckland.",3
"1186","1/04/2018","Common Assault","Auckland Central West.",434300,"Auckland.",3
"1187","1/04/2018","Common Assault","Alexandra.",3025200,"Central Otago District.",3
"1188","1/04/2018","Common Assault","Mona Vale.",2472700,"Christchurch City.",3
"1189","1/04/2018","Common Assault","Katikati Community.",1183501,"Western Bay of Plenty District.",3
"1190","1/04/2018","Common Assault","Waihi.",1079900,"Hauraki District.",3
"1191","1/04/2018","Common Assault","Strathmore Park.",2213600,"Wellington City.",3
"1192","1/04/2018","Common Assault","Gisborne Central.",1371300,"Gisborne District.",3
"1193","1/04/2018","Common Assault","Trafalgar.",2320700,"Nelson City.",3
"1194","1/04/2018","Common Assault","Cathedral Square.",2649300,"Christchurch City.",3
"1195","1/04/2018","Common Assault","Hagley Park.",2677100,"Christchurch City.",3
"1196","1/04/2018","Common Assault","Auckland Harbourside.",432800,"Auckland.",3
"1197","1/04/2018","Common Assault","Tauranga Central.",1164000,"Tauranga City.",3
"1198","1/04/2018","Common Assault","Beaumont.",754000,"Auckland.",3
"1199","1/04/2018","Common Assault","Leabank.",772903,"Auckland.",3
"1200","1/04/2018","Common Assault","Kaiapoi South.",2453900,"Waimakariri District.",3
"1201","1/04/2018","Common Assault","Avon Loop.",2658100,"Christchurch City.",3
"1202","1/04/2018","Common Assault","Takanini West.",768001,"Auckland.",3
"1203","1/04/2018","Common Assault","Frankleigh.",1570900,"New Plymouth District.",3
"1204","1/04/2018","Common Assault","Redwoodtown.",2304800,"Marlborough District.",3
"1205","1/04/2018","Common Assault","Turangi.",1287500,"Taupo District.",3
"1206","1/04/2018","Common Assault","Camberley.",1478700,"Hastings District.",3
"1207","1/04/2018","Common Assault","999999",-274,"Lower Hutt City.",3
"1208","1/04/2018","Common Assault","High St-Stuart St.",2899900,"Dunedin City.",3
"1209","1/04/2018","Common Assault","Browns Bay.",162000,"Auckland.",3
"1210","1/04/2018","Common Assault","Playford Park.",1868500,"Horowhenua District.",3
"1211","1/05/2018","Common Assault","Blenheim Central.",2299000,"Marlborough District.",2
"1212","1/05/2018","Common Assault","Auckland Central East.",437600,"Auckland.",2
"1213","1/05/2018","Common Assault","Hamilton Central.",911401,"Hamilton City.",2
"1214","1/05/2018","Common Assault","Auckland Central West.",435802,"Auckland.",2
"1215","1/05/2018","Common Assault","Elsdon-Takapuwahia.",2037400,"Porirua City.",2
"1216","1/05/2018","Common Assault","Greenmeadows.",1454900,"Napier City.",2
"1217","1/05/2018","Common Assault","Bromley.",2579600,"Christchurch City.",2
"1218","1/05/2018","Common Assault","Hawera North.",1646000,"South Taranaki District.",2
"1219","1/05/2018","Common Assault","Stuart St-Frederick St.",2903200,"Dunedin City.",2
"1220","1/05/2018","Common Assault","Paremoremo East.",179301,"Auckland.",2
"1221","1/05/2018","Common Assault","Mellons Bay.",652100,"Auckland.",2
"1222","1/05/2018","Common Assault","Auckland Central East.",437600,"Auckland.",2
"1223","1/05/2018","Common Assault","Gordonton.",953100,"Waikato District.",2
"1224","1/05/2018","Common Assault","Auckland Central East.",438303,"Auckland.",2
"1225","1/05/2018","Common Assault","Chedworth.",878200,"Hamilton City.",2
"1226","1/05/2018","Common Assault","Bluff Hill.",1424100,"Napier City.",2
"1227","1/05/2018","Common Assault","Puhinui South.",780205,"Auckland.",2
"1228","1/05/2018","Common Assault","Tuakau.",838600,"Waikato District.",2
"1229","1/05/2018","Common Assault","Ranui Domain.",235104,"Auckland.",2
"1230","1/05/2018","Common Assault","Target Road.",183601,"Auckland.",2
"1231","1/05/2018","Common Assault","Point View.",712101,"Auckland.",2
"1232","1/05/2018","Common Assault","Kerikeri.",53305,"Far North District.",2
"1233","1/05/2018","Common Assault","Manurewa Central.",751600,"Auckland.",2
"1234","1/05/2018","Common Assault","Kerikeri.",44603,"Far North District.",2
"1235","1/05/2018","Common Assault","Huntly East.",946700,"Waikato District.",2
"1236","1/05/2018","Common Assault","Burswood.",711402,"Auckland.",2
"1237","1/05/2018","Common Assault","Lake Alice.",1734500,"Rangitikei District.",2
"1238","1/05/2018","Common Assault","Taupo Central.",1274000,"Taupo District.",2
"1239","1/05/2018","Common Assault","Awapuni West.",1805602,"Palmerston North City.",2
"1240","1/05/2018","Common Assault","Gulf Harbour.",175129,"Auckland.",2
"1241","1/05/2018","Common Assault","Clendon South.",774450,"Auckland.",2
"1242","1/05/2018","Common Assault","Upper Hutt Central.",1905200,"Upper Hutt City.",2
"1243","1/05/2018","Common Assault","Hanmer Springs.",2427400,"Hurunui District.",2
"1244","1/05/2018","Common Assault","Auckland Central West.",435201,"Auckland.",2
"1245","1/05/2018","Common Assault","Phillipstown.",2606400,"Christchurch City.",2
"1246","1/05/2018","Common Assault","Te Mata.",1509700,"Hastings District.",2
"1247","1/05/2018","Common Assault","Hamilton Central.",909500,"Hamilton City.",2
"1248","1/05/2018","Common Assault","Auckland Central West.",433801,"Auckland.",2
"1249","1/05/2018","Common Assault","Wanganui Collegiate.",1721302,"Wanganui District.",2
"1250","1/05/2018","Common Assault","Phillipstown.",2605400,"Christchurch City.",2
"1251","1/05/2018","Common Assault","Glenfield Central.",200000,"Auckland.",2
"1252","1/05/2018","Common Assault","Hornby South.",2489600,"Christchurch City.",2
"1253","1/05/2018","Common Assault","Otakiri.",1323301,"Whakatane District.",2
"1254","1/05/2018","Common Assault","Hamilton Central.",909500,"Hamilton City.",2
"1255","1/05/2018","Common Assault","Flaxmere East.",1473700,"Hastings District.",2
"1256","1/05/2018","Common Assault","Bryant.",897701,"Hamilton City.",2
"1257","1/05/2018","Aggravated Sexual Assault","St Marys.",425702,"Auckland.",2
"1258","1/05/2018","Aggravated Sexual Assault","Woolston South.",2587200,"Christchurch City.",2
"1259","1/05/2018","Non-Aggravated Sexual Assault","Rosebank.",389601,"Auckland.",2
"1260","1/05/2018","Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2133408,"Wellington City.",2
"1261","1/05/2018","Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",2
"1262","1/05/2018","Non-Aggravated Sexual Assault","Orewa.",172104,"Auckland.",2
"1263","1/05/2018","Aggravated Sexual Assault","Cooks Gardens.",1698200,"Wanganui District.",2
"1264","1/05/2018","Non-Aggravated Sexual Assault","Kihikihi.",990400,"Waipa District.",2
"1265","1/05/2018","Non-Aggravated Sexual Assault","Paraparaumu Central.",2003709,"Kapiti Coast District.",2
"1266","1/05/2018","Aggravated Sexual Assault","Bethlehem.",1191205,"Tauranga City.",2
"1267","1/04/2018","Common Assault","Henderson South.",243300,"Auckland.",3
"1268","1/04/2018","Common Assault","Paraite.",1559100,"New Plymouth District.",3
"1269","1/04/2018","Common Assault","Upper Riccarton.",2542100,"Christchurch City.",3
"1270","1/04/2018","Common Assault","Richmond West.",2365600,"Tasman District.",3
"1271","1/04/2018","Common Assault","Highbrook.",711701,"Auckland.",3
"1272","1/04/2018","Common Assault","Auckland Central West.",433200,"Auckland.",3
"1273","1/04/2018","Common Assault","Inlet-Bay of Islands.",58901,"Far North District.",3
"1274","1/04/2018","Common Assault","Cathedral Square.",2647700,"Christchurch City.",3
"1275","1/04/2018","Common Assault","Mangere South.",727200,"Auckland.",3
"1276","1/04/2018","Common Assault","Rowandale.",775813,"Auckland.",3
"1277","1/04/2018","Common Assault","Waiopehu.",1858700,"Horowhenua District.",3
"1278","1/04/2018","Common Assault","Rolleston South East.",2719424,"Selwyn District.",3
"1279","1/04/2018","Common Assault","Beerescourt.",901200,"Hamilton City.",3
"1280","1/04/2018","Common Assault","Taipa Bay-Mangonui.",4201,"Far North District.",3
"1281","1/04/2018","Common Assault","Trafalgar.",2319400,"Nelson City.",3
"1282","1/04/2018","Common Assault","Masterton Central.",2245100,"Masterton District.",3
"1283","1/04/2018","Common Assault","Royal Oak.",567300,"Auckland.",3
"1284","1/04/2018","Common Assault","Westport Urban.",2391400,"Buller District.",3
"1285","1/04/2018","Common Assault","High St-Stuart St.",2900000,"Dunedin City.",3
"1286","1/04/2018","Common Assault","Kaitaia East.",13400,"Far North District.",3
"1287","1/04/2018","Common Assault","Aranui.",2573104,"Christchurch City.",3
"1288","1/04/2018","Common Assault","Pirimai.",1447700,"Napier City.",3
"1289","1/04/2018","Common Assault","Papatoetoe West.",657700,"Auckland.",3
"1290","1/04/2018","Common Assault","Arch Hill.",418800,"Auckland.",3
"1291","1/04/2018","Common Assault","One Tree Hill East.",620000,"Auckland.",3
"1292","1/04/2018","Common Assault","Gisborne Central.",1368800,"Gisborne District.",3
"1293","1/04/2018","Common Assault","Esplanade.",2027600,"Lower Hutt City.",3
"1294","1/04/2018","Common Assault","Highfield.",2788000,"Timaru District.",3
"1295","1/04/2018","Common Assault","Spreydon.",2643400,"Christchurch City.",3
"1296","1/04/2018","Common Assault","Mt Wellington Domain.",627800,"Auckland.",3
"1297","1/04/2018","Common Assault","Upper Riccarton.",2541800,"Christchurch City.",3
"1298","1/04/2018","Common Assault","Berhampore West.",2172000,"Wellington City.",3
"1299","1/04/2018","Common Assault","Hamilton Central.",911402,"Hamilton City.",3
"1300","1/04/2018","Common Assault","Opawa.",2585900,"Christchurch City.",3
"1301","1/04/2018","Common Assault","Camside.",2447501,"Waimakariri District.",3
"1302","1/04/2018","Common Assault","Kaikoura Township.",2312802,"Kaikoura District.",3
"1303","1/04/2018","Common Assault","Willis Street-Cambridge Terrace.",2131300,"Wellington City.",3
"1304","1/04/2018","Common Assault","Manly.",174601,"Auckland.",3
"1305","1/04/2018","Common Assault","Melling.",1925600,"Lower Hutt City.",3
"1306","1/04/2018","Common Assault","Dallington.",2601800,"Christchurch City.",3
"1307","1/04/2018","Common Assault","Gisborne Central.",1368900,"Gisborne District.",3
"1308","1/04/2018","Common Assault","Lochain.",1474001,"Hastings District.",3
"1309","1/04/2018","Common Assault","Maraenui.",1446500,"Napier City.",3
"1310","1/04/2018","Common Assault","Kaingaroa Forest.",1260100,"Rotorua District.",3
"1311","1/04/2018","Common Assault","Te Rerenga.",1045801,"Thames-Coromandel District.",3
"1312","1/04/2018","Common Assault","Willis Street-Cambridge Terrace.",2136000,"Wellington City.",3
"1313","1/04/2018","Common Assault","Auckland Central West.",434000,"Auckland.",3
"1314","1/04/2018","Common Assault","Parkside.",2798400,"Timaru District.",3
"1315","1/04/2018","Common Assault","Ilam.",2537800,"Christchurch City.",3
"1316","1/04/2018","Common Assault","Moerewa.",55100,"Far North District.",3
"1317","1/04/2018","Common Assault","Edgecumbe.",1320700,"Whakatane District.",3
"1318","1/04/2018","Aggravated Sexual Assault","Highbury.",1818700,"Palmerston North City.",3
"1319","1/04/2018","Aggravated Sexual Assault","Henderson South.",243300,"Auckland.",3
"1320","1/04/2018","Aggravated Sexual Assault","Selwyn-Rakaia.",2725700,"Selwyn District.",3
"1321","1/04/2018","Aggravated Sexual Assault","Leabank.",772803,"Auckland.",3
"1322","1/04/2018","Aggravated Sexual Assault","Dannemora.",712010,"Auckland.",3
"1323","1/04/2018","Aggravated Sexual Assault","Walmsley.",576500,"Auckland.",3
"1324","1/04/2018","Aggravated Sexual Assault","Hagley Park.",2678300,"Christchurch City.",3
"1325","1/04/2018","Aggravated Sexual Assault","999999",-376,"Dunedin City.",3
"1326","1/04/2018","Aggravated Sexual Assault","999999",-1461,"Auckland.",3
"1327","1/04/2018","Aggravated Sexual Assault","Mcleod.",257500,"Auckland.",3
"1328","1/04/2018","Aggravated Sexual Assault","Bruce.",2987900,"Clutha District.",3
"1329","1/04/2018","Aggravated Sexual Assault","Kawerau.",1326107,"Kawerau District.",3
"1330","1/04/2018","Aggravated Sexual Assault","999999",-250,"Napier City.",3
"1331","1/04/2018","Aggravated Sexual Assault","999999",-267,"Wellington City.",3
"1332","1/04/2018","Aggravated Sexual Assault","Cathedral Square.",2651900,"Christchurch City.",3
"1333","1/05/2018","Common Assault","Cathedral Square.",2649300,"Christchurch City.",2
"1334","1/05/2018","Common Assault","Windsor Park.",180866,"Auckland.",2
"1335","1/05/2018","Common Assault","Pirimai.",1448000,"Napier City.",2
"1336","1/05/2018","Common Assault","Auckland Central West.",434300,"Auckland.",2
"1337","1/05/2018","Common Assault","Silverdale.",885000,"Hamilton City.",2
"1338","1/05/2018","Common Assault","Rongomai.",712902,"Auckland.",2
"1339","1/05/2018","Common Assault","Port Nelson.",2325100,"Nelson City.",2
"1340","1/05/2018","Common Assault","Kelburn.",2153300,"Wellington City.",2
"1341","1/05/2018","Common Assault","Adelaide.",2149300,"Wellington City.",2
"1342","1/05/2018","Common Assault","Broads.",2330000,"Nelson City.",2
"1343","1/05/2018","Common Assault","Allenton East.",2735800,"Ashburton District.",2
"1344","1/05/2018","Common Assault","Edgewater.",684400,"Auckland.",2
"1345","1/05/2018","Common Assault","Grafton West.",441101,"Auckland.",2
"1346","1/05/2018","Common Assault","Victoria.",1236600,"Rotorua District.",2
"1347","1/05/2018","Common Assault","Fitzroy.",1597300,"New Plymouth District.",2
"1348","1/05/2018","Common Assault","Yatton Park.",1174000,"Tauranga City.",2
"1349","1/05/2018","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",2
"1350","1/05/2018","Common Assault","Onehunga South West.",596700,"Auckland.",2
"1351","1/05/2018","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",2
"1352","1/05/2018","Common Assault","Brentwood.",1890701,"Upper Hutt City.",2
"1353","1/05/2018","Common Assault","Trafalgar.",2320100,"Nelson City.",2
"1354","1/05/2018","Common Assault","Oxford.",2458001,"Waimakariri District.",2
"1355","1/05/2018","Common Assault","Whangarei Central.",101602,"Whangarei District.",2
"1356","1/05/2018","Common Assault","Te Hapara.",1366700,"Gisborne District.",2
"1357","1/05/2018","Common Assault","Hamilton Lake.",932100,"Hamilton City.",2
"1358","1/05/2018","Common Assault","Wairarapa.",2517600,"Christchurch City.",2
"1359","1/05/2018","Common Assault","Awapuni West.",1793900,"Palmerston North City.",2
"1360","1/05/2018","Common Assault","Wanganui Collegiate.",1722000,"Wanganui District.",2
"1361","1/05/2018","Common Assault","Mt Wellington South.",637500,"Auckland.",2
"1362","1/05/2018","Common Assault","Middleton.",2538604,"Christchurch City.",2
"1363","1/05/2018","Common Assault","Heidelberg.",3147502,"Invercargill City.",2
"1364","1/05/2018","Common Assault","Linwood.",2610800,"Christchurch City.",2
"1365","1/05/2018","Common Assault","Ranui South.",236201,"Auckland.",2
"1366","1/05/2018","Common Assault","Richmond South.",2693700,"Christchurch City.",2
"1367","1/05/2018","Common Assault","Parahaki.",102201,"Whangarei District.",2
"1368","1/05/2018","Common Assault","Paraparaumu Central.",2003709,"Kapiti Coast District.",2
"1369","1/05/2018","Common Assault","Woolston South.",2586700,"Christchurch City.",2
"1370","1/05/2018","Common Assault","Palmerston North Central.",1829100,"Palmerston North City.",2
"1371","1/05/2018","Common Assault","Trident.",1311200,"Whakatane District.",2
"1372","1/05/2018","Common Assault","Regent.",95800,"Whangarei District.",2
"1373","1/05/2018","Common Assault","Brooklyn.",2160600,"Wellington City.",2
"1374","1/05/2018","Common Assault","Hastings Central.",1493900,"Hastings District.",2
"1375","1/05/2018","Common Assault","Palmerston North Central.",1829900,"Palmerston North City.",2
"1376","1/05/2018","Common Assault","Cathedral Square.",2651100,"Christchurch City.",2
