"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"656",365,"Common Assault",3,"1/04/2017","Kilbirnie East.",2178200,"Wellington City.",NA,NA,NA,NA,NA
"657",366,"Common Assault",3,"1/04/2017","Auckland Central West.",433103,"Auckland.",NA,NA,NA,NA,NA
"658",367,"Common Assault",3,"1/04/2017","Otago University.",2867500,"Dunedin City.",NA,NA,NA,NA,NA
"659",368,"Common Assault",3,"1/04/2017","Ngapuke.",1030900,"Ruapehu District.",NA,NA,NA,NA,NA
"660",369,"Common Assault",3,"1/04/2017","Kuirau.",1234500,"Rotorua District.",NA,NA,NA,NA,NA
"661",370,"Common Assault",3,"1/04/2017","Whakatane North.",1305300,"Whakatane District.",NA,NA,NA,NA,NA
"662",371,"Common Assault",3,"1/04/2017","Hamilton Central.",911200,"Hamilton City.",NA,NA,NA,NA,NA
"663",372,"Common Assault",3,"1/04/2017","Epsom North.",457800,"Auckland.",NA,NA,NA,NA,NA
"664",373,"Common Assault",3,"1/04/2017","Otorohanga Rural East.",999400,"Otorohanga District.",NA,NA,NA,NA,NA
"665",374,"Common Assault",3,"1/04/2017","Enderley.",866600,"Hamilton City.",NA,NA,NA,NA,NA
"666",375,"Common Assault",3,"1/04/2017","Mt Wellington Domain.",627900,"Auckland.",NA,NA,NA,NA,NA
"667",376,"Common Assault",3,"1/04/2017","Harania East.",734201,"Auckland.",NA,NA,NA,NA,NA
"668",377,"Common Assault",3,"1/04/2017","Evansdale.",2863900,"Dunedin City.",NA,NA,NA,NA,NA
"669",378,"Common Assault",3,"1/04/2017","Grafton East.",442400,"Auckland.",NA,NA,NA,NA,NA
"670",379,"Common Assault",3,"1/04/2017","Linton Military Camp.",1798501,"Palmerston North City.",NA,NA,NA,NA,NA
"671",380,"Common Assault",3,"1/04/2017","Roberton.",382200,"Auckland.",NA,NA,NA,NA,NA
"672",381,"Common Assault",3,"1/04/2017","Central Gore.",3060700,"Gore District.",NA,NA,NA,NA,NA
"673",382,"Common Assault",3,"1/04/2017","Bledisloe Park.",823200,"Auckland.",NA,NA,NA,NA,NA
"674",383,"Common Assault",3,"1/04/2017","Nelson Park.",1429500,"Napier City.",NA,NA,NA,NA,NA
"675",384,"Common Assault",3,"1/04/2017","Porirua Central.",2051001,"Porirua City.",NA,NA,NA,NA,NA
"676",385,"Common Assault",3,"1/04/2017","St Leonards.",1487100,"Hastings District.",NA,NA,NA,NA,NA
"677",386,"Common Assault",3,"1/04/2017","Mascot.",737500,"Auckland.",NA,NA,NA,NA,NA
"678",387,"Common Assault",3,"1/04/2017","Hagley Park.",2678500,"Christchurch City.",NA,NA,NA,NA,NA
"679",388,"Common Assault",3,"1/04/2017","Paraparaumu Central.",2000100,"Kapiti Coast District.",NA,NA,NA,NA,NA
"680",389,"Common Assault",3,"1/04/2017","Bruce.",2988300,"Clutha District.",NA,NA,NA,NA,NA
"681",390,"Common Assault",3,"1/04/2017","Lake Pupuke.",308401,"Auckland.",NA,NA,NA,NA,NA
"682",391,"Common Assault",3,"1/04/2017","Grey Lynn West.",408600,"Auckland.",NA,NA,NA,NA,NA
"683",392,"Common Assault",3,"1/04/2017","Wiri.",780506,"Auckland.",NA,NA,NA,NA,NA
"684",393,"Common Assault",3,"1/04/2017","Rehia-Oneriri.",130803,"Kaipara District.",NA,NA,NA,NA,NA
"685",394,"Common Assault",3,"1/04/2017","Willis Street-Cambridge Terrace.",2133200,"Wellington City.",NA,NA,NA,NA,NA
"686",395,"Common Assault",3,"1/04/2017","Rangiora Central.",2444600,"Waimakariri District.",NA,NA,NA,NA,NA
"687",396,"Common Assault",3,"1/04/2017","New Brighton.",2558400,"Christchurch City.",NA,NA,NA,NA,NA
"688",397,"Common Assault",3,"1/04/2017","Holborn.",1932000,"Lower Hutt City.",NA,NA,NA,NA,NA
"689",398,"Common Assault",3,"1/04/2017","Redoubt South.",759901,"Auckland.",NA,NA,NA,NA,NA
"690",399,"Common Assault",3,"1/04/2017","Hamilton Lake.",932400,"Hamilton City.",NA,NA,NA,NA,NA
"691",400,"Common Assault",3,"1/04/2017","Hutt Central.",1965800,"Lower Hutt City.",NA,NA,NA,NA,NA
"692",401,"Common Assault",3,"1/04/2017","Papakowhai North.",2056601,"Porirua City.",NA,NA,NA,NA,NA
"693",402,"Common Assault",3,"1/04/2017","Morrinsville West.",1087800,"Matamata-Piako District.",NA,NA,NA,NA,NA
"694",403,"Common Assault",3,"1/04/2017","Waterloo East.",1975400,"Lower Hutt City.",NA,NA,NA,NA,NA
"695",404,"Common Assault",3,"1/04/2017","Trafalgar.",2320000,"Nelson City.",NA,NA,NA,NA,NA
"696",405,"Common Assault",3,"1/04/2017","Takapuna Central.",326400,"Auckland.",NA,NA,NA,NA,NA
"697",406,"Common Assault",3,"1/04/2017","Waihi.",1079600,"Hauraki District.",NA,NA,NA,NA,NA
"698",407,"Common Assault",3,"1/04/2017","Hamilton Central.",909700,"Hamilton City.",NA,NA,NA,NA,NA
"699",408,"Common Assault",3,"1/04/2017","Auckland Central East.",438203,"Auckland.",NA,NA,NA,NA,NA
"700",409,"Common Assault",3,"1/04/2017","Bromley.",2580000,"Christchurch City.",NA,NA,NA,NA,NA
"701",410,"Common Assault",3,"1/04/2017","Hagley Park.",2678602,"Christchurch City.",NA,NA,NA,NA,NA
"702",411,"Common Assault",3,"1/04/2017","Ensors.",2580400,"Christchurch City.",NA,NA,NA,NA,NA
"703",412,"Common Assault",3,"1/04/2017","Grampians.",2324800,"Nelson City.",NA,NA,NA,NA,NA
"704",413,"Aggravated Sexual Assault",3,"1/04/2017","Rongomai.",713005,"Auckland.",NA,NA,NA,NA,NA
"705",414,"Non-Aggravated Sexual Assault",3,"1/04/2017","Gisborne Central.",1372900,"Gisborne District.",NA,NA,NA,NA,NA
"706",415,"Aggravated Sexual Assault",3,"1/04/2017","Kaitaia East.",14500,"Far North District.",NA,NA,NA,NA,NA
"707",416,"Aggravated Sexual Assault",3,"1/04/2017","Warkworth.",140500,"Auckland.",NA,NA,NA,NA,NA
"708",417,"Aggravated Sexual Assault",3,"1/04/2017","Broads.",2330300,"Nelson City.",NA,NA,NA,NA,NA
"709",418,"Non-Aggravated Sexual Assault",3,"1/04/2017","Huntington.",952233,"Hamilton City.",NA,NA,NA,NA,NA
"710",419,"Aggravated Sexual Assault",3,"1/04/2017","Three Kings.",562700,"Auckland.",NA,NA,NA,NA,NA
"711",420,"Non-Aggravated Sexual Assault",3,"1/04/2017","Wanganui Central.",1701700,"Wanganui District.",NA,NA,NA,NA,NA
"712",421,"Aggravated Sexual Assault",3,"1/04/2017","St Johns.",464200,"Auckland.",NA,NA,NA,NA,NA
"713",422,"Aggravated Sexual Assault",3,"1/04/2017","Auckland Harbourside.",438214,"Auckland.",NA,NA,NA,NA,NA
"714",423,"Non-Aggravated Sexual Assault",3,"1/04/2017","Raumati Beach.",2004103,"Kapiti Coast District.",NA,NA,NA,NA,NA
"715",424,"Aggravated Sexual Assault",3,"1/04/2017","Middleton.",2538604,"Christchurch City.",NA,NA,NA,NA,NA
"716",425,"Common Assault",4,"1/03/2017","Glendale.",2012109,"Lower Hutt City.",NA,NA,NA,NA,NA
"717",426,"Common Assault",4,"1/03/2017","Island Bay East.",2192800,"Wellington City.",NA,NA,NA,NA,NA
"718",427,"Common Assault",4,"1/03/2017","Harania West.",734603,"Auckland.",NA,NA,NA,NA,NA
"719",428,"Common Assault",4,"1/03/2017","South Beach-Camerons.",2414401,"Grey District.",NA,NA,NA,NA,NA
"720",429,"Common Assault",4,"1/03/2017","Barrett.",1556323,"New Plymouth District.",NA,NA,NA,NA,NA
"721",430,"Common Assault",4,"1/03/2017","Tuapeka.",3009100,"Clutha District.",NA,NA,NA,NA,NA
"722",431,"Common Assault",4,"1/03/2017","Rosehill.",804300,"Auckland.",NA,NA,NA,NA,NA
"723",432,"Common Assault",4,"1/03/2017","Onekawa South.",1439600,"Napier City.",NA,NA,NA,NA,NA
"724",433,"Common Assault",4,"1/03/2017","Tahekeroa.",176905,"Auckland.",NA,NA,NA,NA,NA
"725",434,"Common Assault",4,"1/03/2017","Burbush.",976801,"Hamilton City.",NA,NA,NA,NA,NA
"726",435,"Common Assault",4,"1/03/2017","Epuni East.",1951900,"Lower Hutt City.",NA,NA,NA,NA,NA
"727",436,"Common Assault",4,"1/03/2017","Hokowhitu East.",1848700,"Palmerston North City.",NA,NA,NA,NA,NA
"728",437,"Common Assault",4,"1/03/2017","Marewa.",1435000,"Napier City.",NA,NA,NA,NA,NA
"729",438,"Common Assault",4,"1/03/2017","North Harbour East.",180215,"Auckland.",NA,NA,NA,NA,NA
"730",439,"Common Assault",4,"1/03/2017","Caversham.",2915300,"Dunedin City.",NA,NA,NA,NA,NA
"731",440,"Common Assault",4,"1/03/2017","Hokianga North.",29700,"Far North District.",NA,NA,NA,NA,NA
"732",441,"Common Assault",4,"1/03/2017","Greymouth South.",2410300,"Grey District.",NA,NA,NA,NA,NA
"733",442,"Common Assault",4,"1/03/2017","Roberton.",382800,"Auckland.",NA,NA,NA,NA,NA
"734",443,"Aggravated Sexual Assault",4,"1/03/2017","Wilford.",2029900,"Lower Hutt City.",NA,NA,NA,NA,NA
"735",444,"Aggravated Sexual Assault",4,"1/03/2017","Greenmeadows.",1455017,"Napier City.",NA,NA,NA,NA,NA
"736",445,"Non-Aggravated Sexual Assault",4,"1/03/2017","Auckland Central East.",436100,"Auckland.",NA,NA,NA,NA,NA
"737",446,"Aggravated Sexual Assault",4,"1/03/2017","Springfield.",1245702,"Rotorua District.",NA,NA,NA,NA,NA
"738",447,"Aggravated Sexual Assault",4,"1/03/2017","Richmond East.",2362000,"Tasman District.",NA,NA,NA,NA,NA
"739",448,"Aggravated Sexual Assault",4,"1/03/2017","999999",-113,"Whakatane District.",NA,NA,NA,NA,NA
"740",449,"Common Assault",2,"1/05/2017","Marewa.",1435600,"Napier City.",NA,NA,NA,NA,NA
"741",450,"Common Assault",2,"1/05/2017","Swarbrick.",918300,"Hamilton City.",NA,NA,NA,NA,NA
"742",451,"Common Assault",2,"1/05/2017","Te Puke West.",1207400,"Western Bay of Plenty District.",NA,NA,NA,NA,NA
"743",452,"Common Assault",2,"1/05/2017","Ohinemuri.",1082800,"Hauraki District.",NA,NA,NA,NA,NA
"744",453,"Common Assault",2,"1/05/2017","Papakura North.",791300,"Auckland.",NA,NA,NA,NA,NA
"745",454,"Common Assault",2,"1/05/2017","Cashmere West.",2551601,"Christchurch City.",NA,NA,NA,NA,NA
"746",455,"Common Assault",2,"1/05/2017","Whangamata.",1061201,"Thames-Coromandel District.",NA,NA,NA,NA,NA
"747",456,"Common Assault",2,"1/05/2017","Opaheke.",803100,"Auckland.",NA,NA,NA,NA,NA
"748",457,"Common Assault",2,"1/05/2017","Rawene.",23800,"Far North District.",NA,NA,NA,NA,NA
"749",458,"Common Assault",2,"1/05/2017","Paraparaumu Central.",1997000,"Kapiti Coast District.",NA,NA,NA,NA,NA
"750",459,"Common Assault",2,"1/05/2017","Welbourn.",1602100,"New Plymouth District.",NA,NA,NA,NA,NA
"751",460,"Common Assault",2,"1/05/2017","999999",-141,"Rotorua District.",NA,NA,NA,NA,NA
"752",461,"Common Assault",2,"1/05/2017","999999",-170,"Waikato District.",NA,NA,NA,NA,NA
"753",462,"Common Assault",2,"1/05/2017","Putaruru.",1129800,"South Waikato District.",NA,NA,NA,NA,NA
"754",463,"Common Assault",2,"1/05/2017","Hamilton Central.",911402,"Hamilton City.",NA,NA,NA,NA,NA
"755",464,"Common Assault",2,"1/05/2017","Porritt.",875600,"Hamilton City.",NA,NA,NA,NA,NA
"756",465,"Common Assault",2,"1/05/2017","Glen Innes West.",476100,"Auckland.",NA,NA,NA,NA,NA
"757",466,"Common Assault",2,"1/05/2017","Appleby-Kew.",3115000,"Invercargill City.",NA,NA,NA,NA,NA
"758",467,"Common Assault",2,"1/05/2017","Hillcrest West.",888100,"Hamilton City.",NA,NA,NA,NA,NA
"759",468,"Common Assault",2,"1/05/2017","Parkside.",2799300,"Timaru District.",NA,NA,NA,NA,NA
"760",469,"Common Assault",2,"1/05/2017","Willis Street-Cambridge Terrace.",2132100,"Wellington City.",NA,NA,NA,NA,NA
"761",470,"Aggravated Sexual Assault",2,"1/05/2017","Glen Innes East.",476600,"Auckland.",NA,NA,NA,NA,NA
"762",471,"Aggravated Sexual Assault",2,"1/05/2017","Whenuapai West.",220400,"Auckland.",NA,NA,NA,NA,NA
"763",472,"Aggravated Sexual Assault",2,"1/05/2017","Richmond West.",2366201,"Tasman District.",NA,NA,NA,NA,NA
"764",473,"Aggravated Sexual Assault",2,"1/05/2017","Shirley West.",2595500,"Christchurch City.",NA,NA,NA,NA,NA
"765",474,"Aggravated Sexual Assault",2,"1/05/2017","Avon Loop.",2657400,"Christchurch City.",NA,NA,NA,NA,NA
"766",475,"Aggravated Sexual Assault",2,"1/05/2017","Lambton.",2127500,"Wellington City.",NA,NA,NA,NA,NA
"767",476,"Aggravated Sexual Assault",2,"1/05/2017","Western Heights.",1217600,"Rotorua District.",NA,NA,NA,NA,NA
"768",477,"Aggravated Sexual Assault",2,"1/05/2017","Hamilton Lake.",932400,"Hamilton City.",NA,NA,NA,NA,NA
"769",478,"Aggravated Sexual Assault",2,"1/05/2017","Watlington.",2797500,"Timaru District.",NA,NA,NA,NA,NA
"770",479,"Aggravated Sexual Assault",2,"1/05/2017","Helensville.",208903,"Auckland.",NA,NA,NA,NA,NA
"771",480,"Aggravated Sexual Assault",2,"1/05/2017","Auckland City-Marinas.",438219,"Auckland.",NA,NA,NA,NA,NA
"772",481,"Aggravated Sexual Assault",2,"1/05/2017","Isel Park.",2344400,"Nelson City.",NA,NA,NA,NA,NA
"773",482,"Aggravated Sexual Assault",2,"1/05/2017","Bledisloe Park.",823200,"Auckland.",NA,NA,NA,NA,NA
"774",483,"Aggravated Sexual Assault",2,"1/05/2017","Hagley Park.",2678300,"Christchurch City.",NA,NA,NA,NA,NA
"775",484,"Aggravated Sexual Assault",2,"1/05/2017","999999",-16,"Far North District.",NA,NA,NA,NA,NA
"776",485,"Aggravated Sexual Assault",2,"1/05/2017","Mayfair.",1497600,"Hastings District.",NA,NA,NA,NA,NA
"777",486,"Aggravated Sexual Assault",2,"1/05/2017","Mayfield.",2294600,"Marlborough District.",NA,NA,NA,NA,NA
"778",487,"Aggravated Sexual Assault",2,"1/05/2017","Marewa.",1435400,"Napier City.",NA,NA,NA,NA,NA
"779",488,"Aggravated Sexual Assault",2,"1/05/2017","999999",-141,"Rotorua District.",NA,NA,NA,NA,NA
"780",489,"Aggravated Sexual Assault",2,"1/05/2017","999999",-170,"Waikato District.",NA,NA,NA,NA,NA
"781",490,"Aggravated Sexual Assault",2,"1/05/2017","Horahora.",105800,"Whangarei District.",NA,NA,NA,NA,NA
"782",491,"Non-Aggravated Sexual Assault",2,"1/05/2017","Pembroke.",1619600,"Stratford District.",NA,NA,NA,NA,NA
"783",492,"Aggravated Sexual Assault",2,"1/05/2017","Grafton East.",442400,"Auckland.",NA,NA,NA,NA,NA
"784",493,"Common Assault",3,"1/04/2017","Panmure Basin.",628700,"Auckland.",NA,NA,NA,NA,NA
"785",494,"Common Assault",3,"1/04/2017","Washington.",2327700,"Nelson City.",NA,NA,NA,NA,NA
"786",495,"Common Assault",3,"1/04/2017","Lumsden Community.",3044200,"Southland District.",NA,NA,NA,NA,NA
"787",496,"Common Assault",3,"1/04/2017","St Clair.",2927000,"Dunedin City.",NA,NA,NA,NA,NA
"788",497,"Common Assault",3,"1/04/2017","Hospital Hill.",1425100,"Napier City.",NA,NA,NA,NA,NA
"789",498,"Common Assault",3,"1/04/2017","Royal Heights.",226005,"Auckland.",NA,NA,NA,NA,NA
"790",499,"Common Assault",3,"1/04/2017","Waikawa.",2279805,"Marlborough District.",NA,NA,NA,NA,NA
"791",500,"Common Assault",3,"1/04/2017","Marton.",1735900,"Rangitikei District.",NA,NA,NA,NA,NA
"792",501,"Common Assault",3,"1/04/2017","Crinan.",3110900,"Invercargill City.",NA,NA,NA,NA,NA
"793",502,"Common Assault",3,"1/04/2017","Dargaville.",116000,"Kaipara District.",NA,NA,NA,NA,NA
"794",503,"Common Assault",3,"1/04/2017","Kaitangata.",2985300,"Clutha District.",NA,NA,NA,NA,NA
"795",504,"Common Assault",3,"1/04/2017","Kaiti South.",1385600,"Gisborne District.",NA,NA,NA,NA,NA
"796",505,"Common Assault",3,"1/04/2017","Silverdale South.",175815,"Auckland.",NA,NA,NA,NA,NA
"797",506,"Common Assault",3,"1/04/2017","Mosgiel East.",2965500,"Dunedin City.",NA,NA,NA,NA,NA
"798",507,"Common Assault",3,"1/04/2017","Tokorangi-Hiwinui.",1760800,"Manawatu District.",NA,NA,NA,NA,NA
"799",508,"Common Assault",3,"1/04/2017","Maraenui.",1444300,"Napier City.",NA,NA,NA,NA,NA
"800",509,"Common Assault",3,"1/04/2017","Paparua.",2494600,"Christchurch City.",NA,NA,NA,NA,NA
"801",510,"Non-Aggravated Sexual Assault",3,"1/04/2017","Kaitaia West.",12902,"Far North District.",NA,NA,NA,NA,NA
"802",511,"Non-Aggravated Sexual Assault",3,"1/04/2017","Lake Pupuke.",307800,"Auckland.",NA,NA,NA,NA,NA
"803",512,"Aggravated Sexual Assault",3,"1/04/2017","Woodglen.",284701,"Auckland.",NA,NA,NA,NA,NA
"804",513,"Aggravated Sexual Assault",3,"1/04/2017","Ohinemuri.",1084400,"Hauraki District.",NA,NA,NA,NA,NA
"805",514,"Aggravated Sexual Assault",2,"1/05/2017","Auckland Harbourside.",438210,"Auckland.",NA,NA,NA,NA,NA
"806",515,"Aggravated Sexual Assault",2,"1/05/2017","Reporoa.",1261100,"Rotorua District.",NA,NA,NA,NA,NA
"807",516,"Non-Aggravated Sexual Assault",2,"1/05/2017","Mt Victoria West.",2143000,"Wellington City.",NA,NA,NA,NA,NA
"808",517,"Non-Aggravated Sexual Assault",2,"1/05/2017","Mangere South.",727200,"Auckland.",NA,NA,NA,NA,NA
"809",518,"Non-Aggravated Sexual Assault",2,"1/05/2017","Esplanade.",2027100,"Lower Hutt City.",NA,NA,NA,NA,NA
"810",519,"Aggravated Sexual Assault",2,"1/05/2017","Onekawa South.",1442600,"Napier City.",NA,NA,NA,NA,NA
"811",520,"Aggravated Sexual Assault",2,"1/05/2017","Okaiawa.",1655200,"South Taranaki District.",NA,NA,NA,NA,NA
"812",521,"Aggravated Sexual Assault",2,"1/05/2017","Bulls.",1742000,"Rangitikei District.",NA,NA,NA,NA,NA
"813",522,"Non-Aggravated Sexual Assault",2,"1/05/2017","Naenae South.",1957300,"Lower Hutt City.",NA,NA,NA,NA,NA
"814",523,"Aggravated Sexual Assault",2,"1/05/2017","999999",-36,"Auckland.",NA,NA,NA,NA,NA
"815",524,"Aggravated Sexual Assault",2,"1/05/2017","Yatton Park.",1173900,"Tauranga City.",NA,NA,NA,NA,NA
"816",525,"Aggravated Sexual Assault",2,"1/05/2017","999999",-38,"Auckland.",NA,NA,NA,NA,NA
"817",526,"Aggravated Sexual Assault",2,"1/05/2017","Paparangi.",2072800,"Wellington City.",NA,NA,NA,NA,NA
"818",527,"Aggravated Sexual Assault",2,"1/05/2017","Manukau Central.",781100,"Auckland.",NA,NA,NA,NA,NA
"819",528,"Non-Aggravated Sexual Assault",2,"1/05/2017","Ahuriri.",1417400,"Napier City.",NA,NA,NA,NA,NA
"820",529,"Aggravated Sexual Assault",2,"1/05/2017","Manukau Central.",781301,"Auckland.",NA,NA,NA,NA,NA
"821",530,"Aggravated Sexual Assault",2,"1/05/2017","Howick Central.",648600,"Auckland.",NA,NA,NA,NA,NA
"822",531,"Aggravated Sexual Assault",2,"1/05/2017","Kilbirnie East.",2178400,"Wellington City.",NA,NA,NA,NA,NA
"823",532,"Non-Aggravated Sexual Assault",2,"1/05/2017","Hamilton Lake.",929502,"Hamilton City.",NA,NA,NA,NA,NA
"824",533,"Aggravated Sexual Assault",2,"1/05/2017","St Clair.",2926500,"Dunedin City.",NA,NA,NA,NA,NA
"825",534,"Aggravated Sexual Assault",2,"1/05/2017","Cromwell.",3029303,"Central Otago District.",NA,NA,NA,NA,NA
"826",535,"Non-Aggravated Sexual Assault",2,"1/05/2017","Grey Lynn West.",402200,"Auckland.",NA,NA,NA,NA,NA
"827",536,"Aggravated Sexual Assault",2,"1/05/2017","Harania East.",732700,"Auckland.",NA,NA,NA,NA,NA
"828",537,"Aggravated Sexual Assault",2,"1/05/2017","Kapiro.",44102,"Far North District.",NA,NA,NA,NA,NA
"829",538,"Aggravated Sexual Assault",2,"1/05/2017","Paraite.",1559100,"New Plymouth District.",NA,NA,NA,NA,NA
"830",539,"Aggravated Sexual Assault",2,"1/05/2017","999999",-396,"Waitaki District.",NA,NA,NA,NA,NA
"831",540,"Aggravated Sexual Assault",2,"1/05/2017","999999",-7,"Whangarei District.",NA,NA,NA,NA,NA
"832",541,"Non-Aggravated Sexual Assault",2,"1/05/2017","Sherbourne.",545700,"Auckland.",NA,NA,NA,NA,NA
"833",542,"Non-Aggravated Sexual Assault",2,"1/05/2017","Ohura.",1041500,"Ruapehu District.",NA,NA,NA,NA,NA
"834",543,"Aggravated Sexual Assault",2,"1/05/2017","Hastings Central.",1492100,"Hastings District.",NA,NA,NA,NA,NA
"835",544,"Aggravated Sexual Assault",2,"1/05/2017","Royal Road West.",225501,"Auckland.",NA,NA,NA,NA,NA
"836",545,"Non-Aggravated Sexual Assault",2,"1/05/2017","Roberton.",381801,"Auckland.",NA,NA,NA,NA,NA
"837",546,"Non-Aggravated Sexual Assault",2,"1/05/2017","Half Moon Bay.",679809,"Auckland.",NA,NA,NA,NA,NA
"838",547,"Non-Aggravated Sexual Assault",2,"1/05/2017","Insoll.",874600,"Hamilton City.",NA,NA,NA,NA,NA
"839",548,"Non-Aggravated Sexual Assault",3,"1/04/2017","Thorndon-Tinakori Road.",2118400,"Wellington City.",NA,NA,NA,NA,NA
"840",549,"Aggravated Sexual Assault",3,"1/04/2017","Avondale West.",389900,"Auckland.",NA,NA,NA,NA,NA
"841",550,"Aggravated Sexual Assault",3,"1/04/2017","Taipa Bay-Mangonui.",5100,"Far North District.",NA,NA,NA,NA,NA
"842",551,"Aggravated Sexual Assault",3,"1/04/2017","Lower Aramoho.",1709200,"Wanganui District.",NA,NA,NA,NA,NA
"843",552,"Non-Aggravated Sexual Assault",3,"1/04/2017","Newmarket.",451000,"Auckland.",NA,NA,NA,NA,NA
"844",553,"Aggravated Sexual Assault",3,"1/04/2017","Auckland Harbourside.",437903,"Auckland.",NA,NA,NA,NA,NA
"845",554,"Aggravated Sexual Assault",3,"1/04/2017","Kainui.",950300,"Waikato District.",NA,NA,NA,NA,NA
"846",555,"Non-Aggravated Sexual Assault",3,"1/04/2017","Blenheim Central.",2299800,"Marlborough District.",NA,NA,NA,NA,NA
"847",556,"Non-Aggravated Sexual Assault",3,"1/04/2017","999999",-159,"Hamilton City.",NA,NA,NA,NA,NA
"848",557,"Common Assault",4,"1/03/2017","Palmerston North Central.",1829800,"Palmerston North City.",NA,NA,NA,NA,NA
"849",558,"Common Assault",4,"1/03/2017","Gisborne Airport.",1375802,"Gisborne District.",NA,NA,NA,NA,NA
"850",559,"Common Assault",4,"1/03/2017","Newton.",412302,"Auckland.",NA,NA,NA,NA,NA
"851",560,"Common Assault",4,"1/03/2017","Lambton.",2124200,"Wellington City.",NA,NA,NA,NA,NA
"852",561,"Common Assault",4,"1/03/2017","Frankton Junction.",916200,"Hamilton City.",NA,NA,NA,NA,NA
"853",562,"Common Assault",4,"1/03/2017","Auckland Central West.",432604,"Auckland.",NA,NA,NA,NA,NA
"854",563,"Common Assault",4,"1/03/2017","Newlands North.",2073900,"Wellington City.",NA,NA,NA,NA,NA
"855",564,"Common Assault",4,"1/03/2017","Norsewood-Herbertville.",1539700,"Tararua District.",NA,NA,NA,NA,NA
"856",565,"Common Assault",4,"1/03/2017","Cathedral Square.",2648600,"Christchurch City.",NA,NA,NA,NA,NA
"857",566,"Common Assault",4,"1/03/2017","Oratia West.",278904,"Auckland.",NA,NA,NA,NA,NA
"858",567,"Common Assault",4,"1/03/2017","Papakura East.",796600,"Auckland.",NA,NA,NA,NA,NA
"859",568,"Common Assault",4,"1/03/2017","Papakura South.",801002,"Auckland.",NA,NA,NA,NA,NA
"860",569,"Common Assault",4,"1/03/2017","Victoria.",1236600,"Rotorua District.",NA,NA,NA,NA,NA
"861",570,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2134400,"Wellington City.",NA,NA,NA,NA,NA
"862",571,"Common Assault",4,"1/03/2017","Glenavon.",378301,"Auckland.",NA,NA,NA,NA,NA
"863",572,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2131300,"Wellington City.",NA,NA,NA,NA,NA
"864",573,"Common Assault",4,"1/03/2017","Queenstown Hill.",3033700,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"865",574,"Common Assault",4,"1/03/2017","Dannemora.",711709,"Auckland.",NA,NA,NA,NA,NA
"866",575,"Common Assault",4,"1/03/2017","Islington.",2498800,"Christchurch City.",NA,NA,NA,NA,NA
"867",576,"Common Assault",4,"1/03/2017","Papakura South.",801500,"Auckland.",NA,NA,NA,NA,NA
"868",577,"Common Assault",4,"1/03/2017","Turangi.",1282702,"Taupo District.",NA,NA,NA,NA,NA
"869",578,"Common Assault",4,"1/03/2017","Penrose.",621700,"Auckland.",NA,NA,NA,NA,NA
"870",579,"Common Assault",4,"1/03/2017","Otago University.",2868900,"Dunedin City.",NA,NA,NA,NA,NA
"871",580,"Common Assault",4,"1/03/2017","Mangere Station.",749900,"Auckland.",NA,NA,NA,NA,NA
"872",581,"Common Assault",4,"1/03/2017","Hornby South.",2489700,"Christchurch City.",NA,NA,NA,NA,NA
"873",582,"Common Assault",4,"1/03/2017","Queenstown Bay.",3033500,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"874",583,"Common Assault",4,"1/03/2017","Greymouth Central.",2408500,"Grey District.",NA,NA,NA,NA,NA
"875",584,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2135900,"Wellington City.",NA,NA,NA,NA,NA
"876",585,"Common Assault",4,"1/03/2017","Blackball.",2402400,"Grey District.",NA,NA,NA,NA,NA
"877",586,"Common Assault",4,"1/03/2017","Auckland Central West.",434101,"Auckland.",NA,NA,NA,NA,NA
"878",587,"Common Assault",4,"1/03/2017","Allandale-Mokorua.",1307800,"Whakatane District.",NA,NA,NA,NA,NA
"879",588,"Common Assault",4,"1/03/2017","Highland Park.",681324,"Auckland.",NA,NA,NA,NA,NA
"880",589,"Common Assault",4,"1/03/2017","Paraonui.",1136900,"South Waikato District.",NA,NA,NA,NA,NA
"881",590,"Common Assault",4,"1/03/2017","Koutu.",1223302,"Rotorua District.",NA,NA,NA,NA,NA
"882",591,"Common Assault",4,"1/03/2017","Whenuapai West.",224000,"Auckland.",NA,NA,NA,NA,NA
"883",592,"Common Assault",4,"1/03/2017","Avondale West.",387008,"Auckland.",NA,NA,NA,NA,NA
"884",593,"Common Assault",4,"1/03/2017","Te Papapa.",607601,"Auckland.",NA,NA,NA,NA,NA
"885",594,"Common Assault",4,"1/03/2017","Hamilton Central.",910900,"Hamilton City.",NA,NA,NA,NA,NA
"886",595,"Common Assault",4,"1/03/2017","Hamilton Central.",909500,"Hamilton City.",NA,NA,NA,NA,NA
"887",596,"Common Assault",4,"1/03/2017","Hamilton East.",892100,"Hamilton City.",NA,NA,NA,NA,NA
"888",597,"Common Assault",4,"1/03/2017","Levin West.",1869600,"Horowhenua District.",NA,NA,NA,NA,NA
