"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"47",24,"Aggravated Sexual Assault",4,"1/03/2017","Dinsdale North.",920600,"Hamilton City.",NA,NA,NA,NA,NA
"48",24,"Common Assault",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Violence",42
"49",25,"Aggravated Sexual Assault",4,"1/03/2017","Hatfields Beach.",170803,"Auckland.",NA,NA,NA,NA,NA
"50",25,"Common Assault",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Violence",6
"51",26,"Aggravated Sexual Assault",4,"1/03/2017","Pukekohe North.",817600,"Auckland.",NA,NA,NA,NA,NA
"52",26,"Assault not further defined",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Violence",1
"53",27,"Assault not further defined",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Violence",1
"54",27,"Non-Aggravated Sexual Assault",4,"1/03/2017","Epsom North.",457700,"Auckland.",NA,NA,NA,NA,NA
"55",28,"Aggravated Sexual Assault",4,"1/03/2017","Glenavon.",381400,"Auckland.",NA,NA,NA,NA,NA
"56",28,"Common Assault",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Violence",5
"57",29,"Aggravated Sexual Assault",4,"1/03/2017","Bridge Pa.",1470213,"Hastings District.",NA,NA,NA,NA,NA
"58",29,"Assault not further defined",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Violence",2
"59",30,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",2
"60",30,"Aggravated Sexual Assault",4,"1/03/2017","999999",-36,"Auckland.",NA,NA,NA,NA,NA
"61",31,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",1
"62",31,"Aggravated Sexual Assault",4,"1/03/2017","Grafton East.",442400,"Auckland.",NA,NA,NA,NA,NA
"63",32,"Aggravated Sexual Assault",4,"1/03/2017","Washington.",2327301,"Nelson City.",NA,NA,NA,NA,NA
"64",32,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",1
"65",33,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",1
"66",33,"Non-Aggravated Sexual Assault",4,"1/03/2017","Ellerslie South.",611900,"Auckland.",NA,NA,NA,NA,NA
"67",34,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",1
"68",34,"Aggravated Sexual Assault",4,"1/03/2017","Kingsland.",531200,"Auckland.",NA,NA,NA,NA,NA
"69",35,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",1
"70",35,"Non-Aggravated Sexual Assault",4,"1/03/2017","Naenae North.",1955800,"Lower Hutt City.",NA,NA,NA,NA,NA
"71",36,"Common Assault",3,"1/04/2017","Dingwall.",667400,"Auckland.",NA,NA,NA,NA,NA
"72",36,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Sexual",2
"73",37,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",2
"74",37,"Common Assault",3,"1/04/2017","Cathedral Square.",2649300,"Christchurch City.",NA,NA,NA,NA,NA
"75",38,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",1
"76",38,"Common Assault",3,"1/04/2017","Upper Hutt Central.",1906500,"Upper Hutt City.",NA,NA,NA,NA,NA
"77",39,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",2
"78",39,"Common Assault",3,"1/04/2017","Auckland Central East.",436700,"Auckland.",NA,NA,NA,NA,NA
"79",40,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",13
"80",40,"Common Assault",3,"1/04/2017","Newtown West.",2165200,"Wellington City.",NA,NA,NA,NA,NA
"81",41,"Common Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",7
"82",41,"Common Assault",3,"1/04/2017","Trafalgar.",2320300,"Nelson City.",NA,NA,NA,NA,NA
"83",42,"Common Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",1
"84",42,"Common Assault",3,"1/04/2017","Auckland Harbourside.",432900,"Auckland.",NA,NA,NA,NA,NA
"85",43,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",1
"86",43,"Common Assault",3,"1/04/2017","Outer Kaiti.",1384200,"Gisborne District.",NA,NA,NA,NA,NA
"87",44,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",2
"88",44,"Common Assault",3,"1/04/2017","Auckland Central East.",437101,"Auckland.",NA,NA,NA,NA,NA
"89",45,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",10
"90",45,"Common Assault",3,"1/04/2017","Hamilton Central.",911500,"Hamilton City.",NA,NA,NA,NA,NA
"91",46,"Common Assault",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",2
"92",46,"Common Assault",3,"1/04/2017","Willis Street-Cambridge Terrace.",2133000,"Wellington City.",NA,NA,NA,NA,NA
"93",47,"Common Assault",2,"1/05/2017","Maruia.",2398200,"Buller District.","Central","Demand","Crime","Violence",1
"94",48,"Common Assault",2,"1/05/2017","Opotiki.",1339200,"Opotiki District.","Central","Demand","Crime","Violence",5
"95",49,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",1
"96",49,"Common Assault",2,"1/05/2017","Phillipstown.",2604900,"Christchurch City.",NA,NA,NA,NA,NA
"97",50,"Assault not further defined",2,NA,NA,NA,NA,"Central","Demand","Crime","Violence",4
"98",50,"Common Assault",2,"1/05/2017","Ngatea.",1068100,"Hauraki District.",NA,NA,NA,NA,NA
"99",51,"Common Assault",2,"1/05/2017","Grandview.",976712,"Hamilton City.",NA,NA,NA,NA,NA
"100",51,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Counties/Manukau","Demand","Crime","Sexual",2
"101",52,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Counties/Manukau","Demand","Crime","Sexual",2
"102",52,"Common Assault",2,"1/05/2017","Merivale.",2674101,"Christchurch City.",NA,NA,NA,NA,NA
"103",53,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Counties/Manukau","Demand","Crime","Sexual",1
"104",53,"Common Assault",2,"1/05/2017","Glen Innes East.",476600,"Auckland.",NA,NA,NA,NA,NA
"105",54,"Assault not further defined",2,NA,NA,NA,NA,"Counties/Manukau","Demand","Crime","Violence",16
"106",54,"Common Assault",2,"1/05/2017","Parkside.",2801000,"Timaru District.",NA,NA,NA,NA,NA
"107",55,"Assault not further defined",2,NA,NA,NA,NA,"Counties/Manukau","Demand","Crime","Violence",3
"108",55,"Common Assault",2,"1/05/2017","Freemans Bay.",413900,"Auckland.",NA,NA,NA,NA,NA
"109",56,"Common Assault",2,"1/05/2017","Tauranga South.",1167104,"Tauranga City.","Counties/Manukau","Demand","Crime","Violence",17
"110",57,"Assault not further defined",2,NA,NA,NA,NA,"Counties/Manukau","Demand","Crime","Violence",15
"111",57,"Common Assault",2,"1/05/2017","Taneatua.",1304302,"Whakatane District.",NA,NA,NA,NA,NA
"112",58,"Common Assault",2,"1/05/2017","Te Awamutu South.",973700,"Waipa District.","Counties/Manukau","Demand","Crime","Violence",15
"113",59,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Eastern","Demand","Crime","Sexual",1
"114",59,"Common Assault",2,"1/05/2017","Lambton.",2124400,"Wellington City.",NA,NA,NA,NA,NA
"115",60,"Assault not further defined",2,NA,NA,NA,NA,"Eastern","Demand","Crime","Violence",8
"116",60,"Common Assault",2,"1/05/2017","Morningside.",105500,"Whangarei District.",NA,NA,NA,NA,NA
"117",61,"Assault not further defined",2,NA,NA,NA,NA,"Eastern","Demand","Crime","Violence",3
"118",61,"Common Assault",2,"1/05/2017","Albany.",178800,"Auckland.",NA,NA,NA,NA,NA
"119",62,"Common Assault",2,"1/05/2017","Auckland Harbourside.",438209,"Auckland.","Eastern","Demand","Crime","Violence",1
"120",63,"Assault not further defined",2,NA,NA,NA,NA,"Eastern","Demand","Crime","Violence",2
"121",63,"Common Assault",2,"1/05/2017","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",NA,NA,NA,NA,NA
"122",64,"Assault not further defined",2,NA,NA,NA,NA,"Eastern","Demand","Crime","Violence",7
"123",64,"Common Assault",2,"1/05/2017","Auckland Harbourside.",438103,"Auckland.",NA,NA,NA,NA,NA
"124",65,"Common Assault",2,"1/05/2017","Auckland Central West.",434701,"Auckland.","Eastern","Demand","Crime","Violence",12
"125",66,"Common Assault",2,"1/05/2017","Feilding North.",1770600,"Manawatu District.",NA,NA,NA,NA,NA
"126",66,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Northland","Demand","Crime","Sexual",1
"127",67,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Northland","Demand","Crime","Sexual",1
"128",67,"Common Assault",2,"1/05/2017","Auckland Central West.",435604,"Auckland.",NA,NA,NA,NA,NA
"129",68,"Common Assault",2,"1/05/2017","Upper Hutt Central.",1905800,"Upper Hutt City.",NA,NA,NA,NA,NA
"130",68,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Northland","Demand","Crime","Sexual",4
"131",69,"Assault not further defined",2,NA,NA,NA,NA,"Northland","Demand","Crime","Violence",1
"132",69,"Common Assault",2,"1/05/2017","Wanaka.",3038907,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"133",70,"Assault not further defined",2,NA,NA,NA,NA,"Northland","Demand","Crime","Violence",1
"134",70,"Common Assault",2,"1/05/2017","Merivale.",2676500,"Christchurch City.",NA,NA,NA,NA,NA
"135",71,"Assault not further defined",2,NA,NA,NA,NA,"Northland","Demand","Crime","Violence",1
"136",71,"Common Assault",2,"1/05/2017","Grafton West.",440501,"Auckland.",NA,NA,NA,NA,NA
"137",72,"Common Assault",2,"1/05/2017","Cathedral Square.",2649400,"Christchurch City.","Northland","Demand","Crime","Violence",5
"138",73,"Assault not further defined",2,NA,NA,NA,NA,"Northland","Demand","Crime","Violence",2
"139",73,"Common Assault",2,"1/05/2017","Trafalgar.",2320300,"Nelson City.",NA,NA,NA,NA,NA
"140",74,"Common Assault",2,"1/05/2017","Frankleigh.",1573400,"New Plymouth District.","Northland","Demand","Crime","Violence",1
"141",75,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Southern","Demand","Crime","Sexual",1
"142",75,"Common Assault",2,"1/05/2017","Hamilton Central.",911800,"Hamilton City.",NA,NA,NA,NA,NA
"143",76,"Common Assault",2,"1/05/2017","Insoll.",873400,"Hamilton City.",NA,NA,NA,NA,NA
"144",76,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Southern","Demand","Crime","Sexual",1
"145",77,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Southern","Demand","Crime","Sexual",2
"146",77,"Common Assault",2,"1/05/2017","Muriwai Beach.",218805,"Auckland.",NA,NA,NA,NA,NA
"147",78,"Assault not further defined",2,NA,NA,NA,NA,"Southern","Demand","Crime","Violence",7
"148",78,"Common Assault",2,"1/05/2017","Sydenham.",2617601,"Christchurch City.",NA,NA,NA,NA,NA
"149",79,"Assault not further defined",2,NA,NA,NA,NA,"Southern","Demand","Crime","Violence",1
"150",79,"Common Assault",2,"1/05/2017","Stuart St-Frederick St.",2901200,"Dunedin City.",NA,NA,NA,NA,NA
"151",80,"Common Assault",2,"1/05/2017","Greerton.",1176606,"Tauranga City.","Southern","Demand","Crime","Violence",4
"152",81,"Assault not further defined",2,NA,NA,NA,NA,"Southern","Demand","Crime","Violence",2
