"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"4580",NA,"1/12/19",NA,192998,"Lower Hutt City.","Serious Assault Resulting in Injury"
"4581",NA,"1/12/19",NA,193003,"Far North District.","Serious Assault Resulting in Injury"
"4582",NA,"1/12/19",NA,193008,"Palmerston North City.","Serious Assault Resulting in Injury"
"4583",NA,"1/12/19",NA,193014,"Christchurch City.","Common Assault"
"4584",NA,"1/12/19",NA,193023,"Kaipara District.","Serious Assault Resulting in Injury"
"4585",NA,"1/12/19",NA,193024,"Auckland.","Common Assault"
"4586",NA,"1/12/19",NA,193029,"Auckland.","Common Assault"
"4587",NA,"1/12/19",NA,193034,"Auckland.","Common Assault"
"4588",NA,"1/12/19",NA,193039,"Auckland.","Common Assault"
"4589",NA,"1/12/19",NA,193041,"Auckland.","Serious Assault Not Resulting in Injury"
"4590",NA,"1/12/19",NA,193046,"Gisborne District.","Serious Assault Not Resulting in Injury"
"4591",NA,"1/12/19",NA,193048,"Hamilton City.","Serious Assault Resulting in Injury"
"4592",NA,"1/12/19",NA,193053,"Auckland.","Serious Assault Resulting in Injury"
"4593",NA,"1/12/19",NA,193105,"Christchurch City.","Aggravated Sexual Assault"
"4594",NA,"1/12/19",NA,193115,"Tasman District.","Aggravated Sexual Assault"
"4595",NA,"1/7/19",NA,193944,"Wellington City.","Common Assault"
"4596",NA,"1/7/19",NA,193954,"Auckland.","Common Assault"
"4597",NA,"1/7/19",NA,193956,"Dunedin City.","Serious Assault Not Resulting in Injury"
"4598",NA,"1/7/19",NA,193964,"Auckland.","Common Assault"
"4599",NA,"1/7/19",NA,193966,"Hamilton City.","Serious Assault Not Resulting in Injury"
"4600",NA,"1/7/19",NA,193969,"Lower Hutt City.","Common Assault"
"4601",NA,"1/7/19",NA,193974,"Auckland.","Common Assault"
"4602",NA,"1/7/19",NA,193981,"Buller District.","Serious Assault Not Resulting in Injury"
"4603",NA,"1/7/19",NA,193983,"Hastings District.","Serious Assault Resulting in Injury"
"4604",NA,"1/7/19",NA,193984,"Christchurch City.","Common Assault"
"4605",NA,"1/7/19",NA,193994,"Gisborne District.","Common Assault"
"4606",NA,"1/7/19",NA,193996,"Tasman District.","Serious Assault Not Resulting in Injury"
"4607",NA,"1/7/19",NA,193998,"New Plymouth District.","Serious Assault Resulting in Injury"
"4608",NA,"1/7/19",NA,193999,"Tauranga City.","Common Assault"
"4609",NA,"1/7/19",NA,194004,"Tauranga City.","Common Assault"
"4610",NA,"1/7/19",NA,194006,"Auckland.","Serious Assault Not Resulting in Injury"
"4611",NA,"1/7/19",NA,194011,"Selwyn District.","Serious Assault Not Resulting in Injury"
"4612",NA,"1/7/19",NA,194021,"Westland District.","Serious Assault Not Resulting in Injury"
"4613",NA,"1/7/19",NA,194035,"Nelson City.","Aggravated Sexual Assault"
"4614",NA,"1/7/19",NA,194040,"Lower Hutt City.","Aggravated Sexual Assault"
"4615",NA,"1/7/19",NA,194045,"Whakatane District.","Aggravated Sexual Assault"
"4616",NA,"1/7/19",NA,194050,"Southland District.","Aggravated Sexual Assault"
"4617",NA,"1/10/19",NA,194954,"Auckland.","Common Assault"
"4618",NA,"1/10/19",NA,194959,"Auckland.","Common Assault"
"4619",NA,"1/10/19",NA,194964,"Christchurch City.","Common Assault"
"4620",NA,"1/10/19",NA,194969,"Whakatane District.","Common Assault"
"4621",NA,"1/10/19",NA,194971,"Lower Hutt City.","Serious Assault Not Resulting in Injury"
"4622",NA,"1/10/19",NA,194976,"Auckland.","Serious Assault Not Resulting in Injury"
"4623",NA,"1/10/19",NA,194981,"Auckland.","Serious Assault Not Resulting in Injury"
"4624",NA,"1/10/19",NA,194988,"Christchurch City.","Serious Assault Resulting in Injury"
"4625",NA,"1/10/19",NA,194993,"Gisborne District.","Serious Assault Resulting in Injury"
"4626",NA,"1/10/19",NA,194999,"Waimakariri District.","Common Assault"
"4627",NA,"1/10/19",NA,195004,"Dunedin City.","Common Assault"
"4628",NA,"1/10/19",NA,195009,"Porirua City.","Common Assault"
"4629",NA,"1/10/19",NA,195014,"Whakatane District.","Common Assault"
"4630",NA,"1/10/19",NA,195016,"Timaru District.","Serious Assault Not Resulting in Injury"
"4631",NA,"1/10/19",NA,195021,"Auckland.","Serious Assault Not Resulting in Injury"
"4632",NA,"1/10/19",NA,195026,"Auckland.","Serious Assault Not Resulting in Injury"
"4633",NA,"1/10/19",NA,195028,"Far North District.","Serious Assault Resulting in Injury"
"4634",NA,"1/10/19",NA,195033,"Auckland.","Serious Assault Resulting in Injury"
"4635",NA,"1/10/19",NA,195039,"Tauranga City.","Common Assault"
"4636",NA,"1/10/19",NA,195044,"Far North District.","Common Assault"
"4637",NA,"1/10/19",NA,195049,"Horowhenua District.","Common Assault"
"4638",NA,"1/10/19",NA,195054,"Auckland.","Common Assault"
"4639",NA,"1/10/19",NA,195059,"Wellington City.","Common Assault"
"4640",NA,"1/10/19",NA,195066,"New Plymouth District.","Serious Assault Not Resulting in Injury"
"4641",NA,"1/10/19",NA,195071,"Auckland.","Serious Assault Not Resulting in Injury"
"4642",NA,"1/10/19",NA,195076,"Waikato District.","Serious Assault Not Resulting in Injury"
"4643",NA,"1/10/19",NA,195083,"Taupo District.","Serious Assault Resulting in Injury"
"4644",NA,"1/10/19",NA,195088,"Nelson City.","Serious Assault Resulting in Injury"
"4645",NA,"1/10/19",NA,195093,"Far North District.","Serious Assault Resulting in Injury"
"4646",NA,"1/10/19",NA,195099,"Nelson City.","Common Assault"
"4647",NA,"1/10/19",NA,195104,"Porirua City.","Common Assault"
"4648",NA,"1/10/19",NA,195109,"Tasman District.","Common Assault"
"4649",NA,"1/10/19",NA,195114,"Auckland.","Common Assault"
"4650",NA,"1/10/19",NA,195121,"South Waikato District.","Serious Assault Not Resulting in Injury"
"4651",NA,"1/10/19",NA,195126,"Rotorua District.","Serious Assault Not Resulting in Injury"
"4652",NA,"1/10/19",NA,195133,"Auckland.","Serious Assault Resulting in Injury"
"4653",NA,"1/10/19",NA,195138,"Nelson City.","Serious Assault Resulting in Injury"
"4654",NA,"1/10/19",NA,195143,"Thames-Coromandel District.","Serious Assault Resulting in Injury"
"4655",NA,"1/10/19",NA,195149,"Auckland.","Common Assault"
"4656",NA,"1/10/19",NA,195154,"Auckland.","Common Assault"
"4657",NA,"1/10/19",NA,195159,"Horowhenua District.","Common Assault"
"4658",NA,"1/10/19",NA,195164,"Kapiti Coast District.","Common Assault"
"4659",NA,"1/10/19",NA,195169,"Auckland.","Common Assault"
"4660",NA,"1/10/19",NA,195176,"Wanganui District.","Serious Assault Not Resulting in Injury"
"4661",NA,"1/10/19",NA,195181,"Auckland.","Serious Assault Not Resulting in Injury"
"4662",NA,"1/10/19",NA,195188,"Auckland.","Serious Assault Resulting in Injury"
"4663",NA,"1/10/19",NA,195193,"Gisborne District.","Serious Assault Resulting in Injury"
"4664",NA,"1/10/19",NA,195198,"Auckland.","Serious Assault Resulting in Injury"
"4665",NA,"1/10/19",NA,195204,"Tasman District.","Common Assault"
"4666",NA,"1/10/19",NA,195209,"Porirua City.","Common Assault"
"4667",NA,"1/10/19",NA,195214,"Dunedin City.","Common Assault"
"4668",NA,"1/10/19",NA,195219,"Wellington City.","Common Assault"
"4669",NA,"1/10/19",NA,195224,"Upper Hutt City.","Common Assault"
"4670",NA,"1/10/19",NA,195231,"Far North District.","Serious Assault Not Resulting in Injury"
"4671",NA,"1/10/19",NA,195236,"Christchurch City.","Serious Assault Not Resulting in Injury"
"4672",NA,"1/10/19",NA,195241,"Auckland.","Serious Assault Not Resulting in Injury"
"4673",NA,"1/10/19",NA,195248,"New Plymouth District.","Serious Assault Resulting in Injury"
"4674",NA,"1/10/19",NA,195253,"Whakatane District.","Serious Assault Resulting in Injury"
"4675",NA,"1/10/19",NA,195259,"Tauranga City.","Common Assault"
"4676",NA,"1/10/19",NA,195268,"Palmerston North City.","Serious Assault Resulting in Injury"
"4677",NA,"1/10/19",NA,195269,"Invercargill City.","Common Assault"
"4678",NA,"1/10/19",NA,195274,"Dunedin City.","Common Assault"
"4679",NA,"1/10/19",NA,195279,"Invercargill City.","Common Assault"
"4680",NA,"1/10/19",NA,195284,"Auckland.","Common Assault"
"4681",NA,"1/10/19",NA,195289,"Auckland.","Common Assault"
"4682",NA,"1/10/19",NA,195296,"Grey District.","Serious Assault Not Resulting in Injury"
"4683",NA,"1/10/19",NA,195301,"Palmerston North City.","Serious Assault Not Resulting in Injury"
"4684",NA,"1/10/19",NA,195303,"Wellington City.","Serious Assault Resulting in Injury"
"4685",NA,"1/10/19",NA,195308,"Hamilton City.","Serious Assault Resulting in Injury"
"4686",NA,"1/10/19",NA,195313,"Whakatane District.","Serious Assault Resulting in Injury"
"4687",NA,"1/10/19",NA,195357,"Wellington City.","Non-Aggravated Sexual Assault"
"4688",NA,"1/10/19",NA,195360,"Auckland.","Aggravated Sexual Assault"
"4689",NA,"1/10/19",NA,195362,"Auckland.","Non-Aggravated Sexual Assault"
"4690",NA,"1/10/19",NA,195370,"Christchurch City.","Aggravated Sexual Assault"
"4691",NA,"1/10/19",NA,195375,"Hamilton City.","Aggravated Sexual Assault"
"4692",NA,"1/6/19",NA,196199,"Auckland.","Common Assault"
