"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"1","Auckland City","March/2020","Aggravated Sexual Assault",1,NA,NA
"2","Auckland City","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"3","Auckland City","March/2020","Non-Aggravated Sexual Assault",6,NA,NA
"4","Auckland City","March/2020","Assault not further defined",23,NA,NA
"5","Auckland City","March/2020","Assault not further defined",1,NA,NA
"6","Auckland City","March/2020","Common Assault",5,NA,NA
"7","Auckland City","March/2020","Assault not further defined",1,NA,NA
"8","Auckland City","March/2020","Common Assault",5,NA,NA
"9","Bay Of Plenty","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"10","Bay Of Plenty","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"11","Bay Of Plenty","March/2020","Assault not further defined",2,NA,NA
"12","Bay Of Plenty","March/2020","Assault not further defined",8,NA,NA
"13","Bay Of Plenty","March/2020","Common Assault",2,NA,NA
"14","Bay Of Plenty","March/2020","Assault not further defined",4,NA,NA
"15","Bay Of Plenty","March/2020","Assault not further defined",7,NA,NA
"16","Bay Of Plenty","March/2020","Common Assault",4,NA,NA
"17","Bay Of Plenty","March/2020","Assault not further defined",13,NA,NA
"18","Bay Of Plenty","March/2020","Common Assault",6,NA,NA
"19","Canterbury","March/2020","Aggravated Sexual Assault",1,NA,NA
"20","Canterbury","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"21","Canterbury","March/2020","Aggravated Sexual Assault",1,NA,NA
"22","Canterbury","March/2020","Assault not further defined",1,NA,NA
"23","Canterbury","March/2020","Assault not further defined",2,NA,NA
"24","Canterbury","March/2020","Common Assault",42,NA,NA
"25","Canterbury","March/2020","Common Assault",6,NA,NA
"26","Canterbury","March/2020","Assault not further defined",1,NA,NA
"27","Canterbury","March/2020","Assault not further defined",1,NA,NA
"28","Canterbury","March/2020","Common Assault",5,NA,NA
"29","Canterbury","March/2020","Assault not further defined",2,NA,NA
"30","Central","March/2020","Aggravated Sexual Assault",2,NA,NA
"31","Central","March/2020","Aggravated Sexual Assault",1,NA,NA
"32","Central","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"33","Central","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"34","Central","March/2020","Aggravated Sexual Assault",1,NA,NA
"35","Central","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"36","Central","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"37","Central","March/2020","Assault not further defined",2,NA,NA
"38","Central","March/2020","Assault not further defined",1,NA,NA
"39","Central","March/2020","Assault not further defined",2,NA,NA
"40","Central","March/2020","Assault not further defined",13,NA,NA
"41","Central","March/2020","Common Assault",7,NA,NA
"42","Central","March/2020","Common Assault",1,NA,NA
"43","Central","March/2020","Assault not further defined",1,NA,NA
"44","Central","March/2020","Assault not further defined",2,NA,NA
"45","Central","March/2020","Assault not further defined",10,NA,NA
"46","Central","March/2020","Common Assault",2,NA,NA
"47","Central","March/2020","Common Assault",1,NA,NA
"48","Central","March/2020","Common Assault",5,NA,NA
"49","Central","March/2020","Assault not further defined",1,NA,NA
"50","Central","March/2020","Assault not further defined",4,NA,NA
"51","Counties/Manukau","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"52","Counties/Manukau","March/2020","Aggravated Sexual Assault",2,NA,NA
"53","Counties/Manukau","March/2020","Aggravated Sexual Assault",1,NA,NA
"54","Counties/Manukau","March/2020","Assault not further defined",16,NA,NA
"55","Counties/Manukau","March/2020","Assault not further defined",3,NA,NA
"56","Counties/Manukau","March/2020","Common Assault",17,NA,NA
"57","Counties/Manukau","March/2020","Assault not further defined",15,NA,NA
"58","Counties/Manukau","March/2020","Common Assault",15,NA,NA
"59","Eastern","March/2020","Aggravated Sexual Assault",1,NA,NA
"60","Eastern","March/2020","Assault not further defined",8,NA,NA
"61","Eastern","March/2020","Assault not further defined",3,NA,NA
"62","Eastern","March/2020","Common Assault",1,NA,NA
"63","Eastern","March/2020","Assault not further defined",2,NA,NA
"64","Eastern","March/2020","Assault not further defined",7,NA,NA
"65","Eastern","March/2020","Common Assault",12,NA,NA
"66","Northland","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"67","Northland","March/2020","Aggravated Sexual Assault",1,NA,NA
"68","Northland","March/2020","Non-Aggravated Sexual Assault",4,NA,NA
"69","Northland","March/2020","Assault not further defined",1,NA,NA
"70","Northland","March/2020","Assault not further defined",1,NA,NA
"71","Northland","March/2020","Assault not further defined",1,NA,NA
"72","Northland","March/2020","Common Assault",5,NA,NA
"73","Northland","March/2020","Assault not further defined",2,NA,NA
"74","Northland","March/2020","Common Assault",1,NA,NA
"75","Southern","March/2020","Aggravated Sexual Assault",1,NA,NA
"76","Southern","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"77","Southern","March/2020","Aggravated Sexual Assault",2,NA,NA
"78","Southern","March/2020","Assault not further defined",7,NA,NA
"79","Southern","March/2020","Assault not further defined",1,NA,NA
"80","Southern","March/2020","Common Assault",4,NA,NA
"81","Southern","March/2020","Assault not further defined",2,NA,NA
"82","Southern","March/2020","Common Assault",3,NA,NA
"83","Southern","March/2020","Assault not further defined",3,NA,NA
"84","Southern","March/2020","Assault not further defined",1,NA,NA
"85","Tasman","March/2020","Aggravated Sexual Assault",1,NA,NA
"86","Tasman","March/2020","Assault not further defined",6,NA,NA
"87","Tasman","March/2020","Common Assault",6,NA,NA
"88","Tasman","March/2020","Assault not further defined",4,NA,NA
"89","Waikato","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"90","Waikato","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"91","Waikato","March/2020","Assault not further defined",23,NA,NA
"92","Waikato","March/2020","Common Assault",3,NA,NA
"93","Waikato","March/2020","Assault not further defined",1,NA,NA
"94","Waikato","March/2020","Assault not further defined",1,NA,NA
"95","Waikato","March/2020","Common Assault",1,NA,NA
"96","Waikato","March/2020","Common Assault",4,NA,NA
"97","Waikato","March/2020","Assault not further defined",1,NA,NA
"98","Waikato","March/2020","Assault not further defined",1,NA,NA
"99","Waikato","March/2020","Common Assault",1,NA,NA
"100","Waitemata","March/2020","Aggravated Sexual Assault",1,NA,NA
"101","Waitemata","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"102","Waitemata","March/2020","Assault not further defined",2,NA,NA
"103","Waitemata","March/2020","Common Assault",2,NA,NA
"104","Waitemata","March/2020","Assault not further defined",8,NA,NA
"105","Waitemata","March/2020","Assault not further defined",5,NA,NA
"106","Waitemata","March/2020","Common Assault",4,NA,NA
"107","Waitemata","March/2020","Common Assault",4,NA,NA
"108","Waitemata","March/2020","Assault not further defined",3,NA,NA
"109","Waitemata","March/2020","Common Assault",3,NA,NA
"110","Waitemata","March/2020","Assault not further defined",10,NA,NA
"111","Waitemata","March/2020","Common Assault",3,NA,NA
"112","Wellington","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"113","Wellington","March/2020","Aggravated Sexual Assault",1,NA,NA
"114","Wellington","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"115","Wellington","March/2020","Assault not further defined",1,NA,NA
"116","Wellington","March/2020","Assault not further defined",2,NA,NA
"117","Wellington","March/2020","Common Assault",3,NA,NA
"118","Wellington","March/2020","Assault not further defined",2,NA,NA
"119","Wellington","March/2020","Assault not further defined",1,NA,NA
"120","Wellington","March/2020","Assault not further defined",3,NA,NA
"121","Wellington","March/2020","Common Assault",3,NA,NA
"122","Auckland City","April/2020","Non-Aggravated Sexual Assault",4,NA,NA
"123","Auckland City","April/2020","Non-Aggravated Sexual Assault",4,NA,NA
"124","Auckland City","April/2020","Assault not further defined",7,NA,NA
"125","Auckland City","April/2020","Assault not further defined",1,NA,NA
"126","Auckland City","April/2020","Assault not further defined",7,NA,NA
"127","Auckland City","April/2020","Assault not further defined",1,NA,NA
"128","Auckland City","April/2020","Common Assault",5,NA,NA
"129","Bay Of Plenty","April/2020","Aggravated Sexual Assault",1,NA,NA
"130","Bay Of Plenty","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"131","Bay Of Plenty","April/2020","Assault not further defined",5,NA,NA
"132","Bay Of Plenty","April/2020","Assault not further defined",1,NA,NA
"133","Bay Of Plenty","April/2020","Common Assault",1,NA,NA
"134","Bay Of Plenty","April/2020","Common Assault",1,NA,NA
"135","Bay Of Plenty","April/2020","Assault not further defined",1,NA,NA
"136","Bay Of Plenty","April/2020","Assault not further defined",3,NA,NA
"137","Bay Of Plenty","April/2020","Common Assault",1,NA,NA
"138","Bay Of Plenty","April/2020","Common Assault",5,NA,NA
"139","Canterbury","April/2020","Aggravated Sexual Assault",1,NA,NA
"140","Canterbury","April/2020","Non-Aggravated Sexual Assault",2,NA,NA
"141","Canterbury","April/2020","Assault not further defined",8,NA,NA
"142","Canterbury","April/2020","Common Assault",5,NA,NA
"143","Canterbury","April/2020","Common Assault",1,NA,NA
"144","Canterbury","April/2020","Assault not further defined",1,NA,NA
"145","Central","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"146","Central","April/2020","Aggravated Sexual Assault",1,NA,NA
"147","Central","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"148","Central","April/2020","Assault not further defined",7,NA,NA
"149","Central","April/2020","Assault not further defined",2,NA,NA
"150","Central","April/2020","Common Assault",1,NA,NA
"151","Central","April/2020","Assault not further defined",1,NA,NA
"152","Central","April/2020","Common Assault",2,NA,NA
"153","Central","April/2020","Assault not further defined",4,NA,NA
"154","Counties/Manukau","April/2020","Assault not further defined",1,NA,NA
"155","Counties/Manukau","April/2020","Assault not further defined",5,NA,NA
"156","Counties/Manukau","April/2020","Common Assault",1,NA,NA
"157","Counties/Manukau","April/2020","Assault not further defined",9,NA,NA
"158","Counties/Manukau","April/2020","Assault not further defined",6,NA,NA
"159","Counties/Manukau","April/2020","Common Assault",1,NA,NA
"160","Eastern","April/2020","Aggravated Sexual Assault",1,NA,NA
"161","Eastern","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"162","Eastern","April/2020","Assault not further defined",2,NA,NA
"163","Eastern","April/2020","Assault not further defined",2,NA,NA
"164","Eastern","April/2020","Common Assault",4,NA,NA
"165","Eastern","April/2020","Common Assault",2,NA,NA
"166","Eastern","April/2020","Assault not further defined",1,NA,NA
"167","Northland","April/2020","Assault not further defined",1,NA,NA
"168","Northland","April/2020","Assault not further defined",1,NA,NA
"169","Northland","April/2020","Common Assault",1,NA,NA
"170","Northland","April/2020","Assault not further defined",1,NA,NA
"171","Southern","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"172","Southern","April/2020","Assault not further defined",1,NA,NA
"173","Southern","April/2020","Assault not further defined",1,NA,NA
"174","Southern","April/2020","Common Assault",1,NA,NA
"175","Southern","April/2020","Common Assault",1,NA,NA
"176","Tasman","April/2020","Assault not further defined",1,NA,NA
"177","Tasman","April/2020","Assault not further defined",2,NA,NA
"178","Tasman","April/2020","Common Assault",1,NA,NA
"179","Waikato","April/2020","Aggravated Sexual Assault",1,NA,NA
"180","Waikato","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"181","Waikato","April/2020","Assault not further defined",2,NA,NA
"182","Waikato","April/2020","Assault not further defined",1,NA,NA
"183","Waikato","April/2020","Common Assault",2,NA,NA
"184","Waikato","April/2020","Assault not further defined",1,NA,NA
"185","Waikato","April/2020","Common Assault",1,NA,NA
"186","Waikato","April/2020","Assault not further defined",5,NA,NA
"187","Waikato","April/2020","Assault not further defined",1,NA,NA
"188","Waikato","April/2020","Common Assault",2,NA,NA
"189","Waikato","April/2020","Common Assault",1,NA,NA
"190","Waitemata","April/2020","Assault not further defined",1,NA,NA
"191","Waitemata","April/2020","Common Assault",5,NA,NA
"192","Waitemata","April/2020","Assault not further defined",3,NA,NA
"193","Waitemata","April/2020","Common Assault",2,NA,NA
"194","Wellington","April/2020","Aggravated Sexual Assault",1,NA,NA
"195","Wellington","April/2020","Assault not further defined",1,NA,NA
"196","Wellington","April/2020","Assault not further defined",2,NA,NA
"197","Wellington","April/2020","Common Assault",1,NA,NA
"198","Wellington","April/2020","Common Assault",1,NA,NA
"199","Wellington","April/2020","Assault not further defined",1,NA,NA
"200","Wellington","April/2020","Common Assault",3,NA,NA
"201","Wellington","April/2020","Assault not further defined",4,NA,NA
"202","Wellington","April/2020","Common Assault",1,NA,NA
"203","Wellington","April/2020","Assault not further defined",1,NA,NA
"204","Wellington","April/2020","Common Assault",1,NA,NA
"205","Auckland City","May/2020","Aggravated Sexual Assault",2,NA,NA
"206","Auckland City","May/2020","Assault not further defined",5,NA,NA
"207","Auckland City","May/2020","Common Assault",1,NA,NA
"208","Auckland City","May/2020","Common Assault",9,NA,NA
"209","Bay Of Plenty","May/2020","Assault not further defined",3,NA,NA
"210","Bay Of Plenty","May/2020","Common Assault",1,NA,NA
"211","Bay Of Plenty","May/2020","Assault not further defined",9,NA,NA
"212","Bay Of Plenty","May/2020","Common Assault",4,NA,NA
"213","Bay Of Plenty","May/2020","Assault not further defined",4,NA,NA
"214","Bay Of Plenty","May/2020","Common Assault",2,NA,NA
"215","Bay Of Plenty","May/2020","Common Assault",3,NA,NA
"216","Canterbury","May/2020","Aggravated Sexual Assault",3,NA,NA
"217","Canterbury","May/2020","Aggravated Sexual Assault",1,NA,NA
"218","Canterbury","May/2020","Non-Aggravated Sexual Assault",4,NA,NA
"219","Canterbury","May/2020","Assault not further defined",17,NA,NA
"220","Canterbury","May/2020","Assault not further defined",22,NA,NA
"221","Canterbury","May/2020","Common Assault",4,NA,NA
"222","Canterbury","May/2020","Assault not further defined",2,NA,NA
"223","Canterbury","May/2020","Common Assault",2,NA,NA
"224","Canterbury","May/2020","Assault not further defined",1,NA,NA
"225","Canterbury","May/2020","Common Assault",1,NA,NA
"226","Central","May/2020","Aggravated Sexual Assault",1,NA,NA
"227","Central","May/2020","Non-Aggravated Sexual Assault",1,NA,NA
"228","Central","May/2020","Aggravated Sexual Assault",1,NA,NA
"229","Central","May/2020","Assault not further defined",2,NA,NA
"230","Central","May/2020","Assault not further defined",1,NA,NA
"231","Central","May/2020","Assault not further defined",4,NA,NA
"232","Central","May/2020","Assault not further defined",4,NA,NA
"233","Central","May/2020","Common Assault",3,NA,NA
"234","Central","May/2020","Common Assault",2,NA,NA
"235","Central","May/2020","Common Assault",3,NA,NA
"236","Central","May/2020","Assault not further defined",6,NA,NA
"237","Central","May/2020","Assault not further defined",8,NA,NA
"238","Central","May/2020","Common Assault",3,NA,NA
"239","Central","May/2020","Assault not further defined",2,NA,NA
"240","Central","May/2020","Common Assault",1,NA,NA
"241","Counties/Manukau","May/2020","Non-Aggravated Sexual Assault",1,NA,NA
"242","Counties/Manukau","May/2020","Aggravated Sexual Assault",2,NA,NA
"243","Counties/Manukau","May/2020","Assault not further defined",33,NA,NA
"244","Counties/Manukau","May/2020","Common Assault",16,NA,NA
"245","Counties/Manukau","May/2020","Assault not further defined",1,NA,NA
"246","Counties/Manukau","May/2020","Assault not further defined",10,NA,NA
"247","Counties/Manukau","May/2020","Common Assault",3,NA,NA
"248","Counties/Manukau","May/2020","Assault not further defined",22,NA,NA
"249","Counties/Manukau","May/2020","Common Assault",9,NA,NA
"250","Eastern","May/2020","Aggravated Sexual Assault",1,NA,NA
"251","Eastern","May/2020","Assault not further defined",2,NA,NA
"252","Eastern","May/2020","Assault not further defined",17,NA,NA
"253","Eastern","May/2020","Common Assault",8,NA,NA
"254","Eastern","May/2020","Common Assault",1,NA,NA
"255","Eastern","May/2020","Assault not further defined",1,NA,NA
"256","Eastern","May/2020","Assault not further defined",3,NA,NA
"257","Eastern","May/2020","Common Assault",7,NA,NA
"258","Northland","May/2020","Non-Aggravated Sexual Assault",1,NA,NA
"259","Northland","May/2020","Aggravated Sexual Assault",1,NA,NA
"260","Northland","May/2020","Assault not further defined",7,NA,NA
"261","Northland","May/2020","Assault not further defined",3,NA,NA
"262","Northland","May/2020","Common Assault",1,NA,NA
"263","Northland","May/2020","Assault not further defined",2,NA,NA
"264","Northland","May/2020","Assault not further defined",1,NA,NA
"265","Northland","May/2020","Common Assault",6,NA,NA
"266","Southern","May/2020","Non-Aggravated Sexual Assault",1,NA,NA
"267","Southern","May/2020","Assault not further defined",2,NA,NA
"268","Southern","May/2020","Assault not further defined",1,NA,NA
"269","Southern","May/2020","Common Assault",10,NA,NA
"270","Southern","May/2020","Common Assault",1,NA,NA
"271","Southern","May/2020","Assault not further defined",4,NA,NA
"272","Southern","May/2020","Assault not further defined",8,NA,NA
"273","Southern","May/2020","Common Assault",2,NA,NA
"274","Tasman","May/2020","Assault not further defined",1,NA,NA
"275","Tasman","May/2020","Common Assault",1,NA,NA
"276","Tasman","May/2020","Assault not further defined",3,NA,NA
"277","Tasman","May/2020","Assault not further defined",2,NA,NA
"278","Tasman","May/2020","Common Assault",3,NA,NA
"279","Tasman","May/2020","Assault not further defined",4,NA,NA
"280","Unspecified","May/2020","Aggravated Sexual Assault",1,NA,NA
"281","Waikato","May/2020","Aggravated Sexual Assault",1,NA,NA
"282","Waikato","May/2020","Aggravated Sexual Assault",1,NA,NA
"283","Waikato","May/2020","Assault not further defined",11,NA,NA
"284","Waikato","May/2020","Common Assault",5,NA,NA
"285","Waikato","May/2020","Assault not further defined",2,NA,NA
"286","Waikato","May/2020","Assault not further defined",1,NA,NA
"287","Waikato","May/2020","Common Assault",1,NA,NA
"288","Waikato","May/2020","Assault not further defined",2,NA,NA
"289","Waikato","May/2020","Assault not further defined",1,NA,NA
"290","Waikato","May/2020","Assault not further defined",4,NA,NA
"291","Waikato","May/2020","Common Assault",4,NA,NA
"292","Waikato","May/2020","Common Assault",1,NA,NA
"293","Waitemata","May/2020","Common Assault",1,NA,NA
"294","Waitemata","May/2020","Assault not further defined",7,NA,NA
"295","Waitemata","May/2020","Common Assault",3,NA,NA
"296","Waitemata","May/2020","Assault not further defined",4,NA,NA
"297","Waitemata","May/2020","Assault not further defined",1,NA,NA
"298","Waitemata","May/2020","Common Assault",1,NA,NA
"299","Waitemata","May/2020","Common Assault",1,NA,NA
"300","Waitemata","May/2020","Assault not further defined",2,NA,NA
"301","Waitemata","May/2020","Assault not further defined",1,NA,NA
"302","Wellington","May/2020","Non-Aggravated Sexual Assault",2,NA,NA
"303","Wellington","May/2020","Non-Aggravated Sexual Assault",1,NA,NA
"304","Wellington","May/2020","Non-Aggravated Sexual Assault",1,NA,NA
"305","Wellington","May/2020","Non-Aggravated Sexual Assault",3,NA,NA
"306","Wellington","May/2020","Assault not further defined",2,NA,NA
"307","Wellington","May/2020","Assault not further defined",2,NA,NA
"308","Wellington","May/2020","Common Assault",4,NA,NA
"309","Wellington","May/2020","Assault not further defined",9,NA,NA
"310","Wellington","May/2020","Common Assault",7,NA,NA
"311","Wellington","May/2020","Assault not further defined",2,NA,NA
"312","Wellington","May/2020","Assault not further defined",18,NA,NA
"313","Wellington","May/2020","Common Assault",5,NA,NA
"314",NA,"1/2/17",NA,4,"Christchurch City.","Common Assault"
"315",NA,"1/2/17",NA,9,"Auckland.","Common Assault"
"316",NA,"1/2/17",NA,14,"Wanganui District.","Common Assault"
"317",NA,"1/2/17",NA,19,"Auckland.","Common Assault"
"318",NA,"1/2/17",NA,24,"Hamilton City.","Common Assault"
"319",NA,"1/2/17",NA,31,"Auckland.","Serious Assault Not Resulting in Injury"
"320",NA,"1/2/17",NA,36,"Invercargill City.","Serious Assault Not Resulting in Injury"
"321",NA,"1/2/17",NA,38,"Timaru District.","Serious Assault Resulting in Injury"
"322",NA,"1/3/17",NA,55,"Auckland.","Aggravated Sexual Assault"
"323",NA,"1/3/17",NA,60,"Rangitikei District.","Aggravated Sexual Assault"
"324",NA,"1/3/17",NA,65,"Auckland.","Aggravated Sexual Assault"
"325",NA,"1/3/17",NA,70,"Westland District.","Aggravated Sexual Assault"
"326",NA,"1/3/17",NA,72,"Dunedin City.","Non-Aggravated Sexual Assault"
"327",NA,"1/3/17",NA,75,"Waipa District.","Aggravated Sexual Assault"
"328",NA,"1/3/17",NA,77,"Christchurch City.","Non-Aggravated Sexual Assault"
"329",NA,"1/2/17",NA,83,"South Taranaki District.","Serious Assault Resulting in Injury"
"330",NA,"1/2/17",NA,89,"Tauranga City.","Common Assault"
"331",NA,"1/2/17",NA,94,"Gisborne District.","Common Assault"
"332",NA,"1/2/17",NA,99,"Hamilton City.","Common Assault"
"333",NA,"1/2/17",NA,104,"Palmerston North City.","Common Assault"
"334",NA,"1/2/17",NA,106,"Far North District.","Serious Assault Not Resulting in Injury"
"335",NA,"1/2/17",NA,111,"Auckland.","Serious Assault Not Resulting in Injury"
"336",NA,"1/2/17",NA,118,"New Plymouth District.","Serious Assault Resulting in Injury"
"337",NA,"1/2/17",NA,124,"Christchurch City.","Common Assault"
"338",NA,"1/2/17",NA,129,"Auckland.","Common Assault"
"339",NA,"1/2/17",NA,134,"Napier City.","Common Assault"
"340",NA,"1/2/17",NA,139,"Dunedin City.","Common Assault"
"341",NA,"1/2/17",NA,144,"Waikato District.","Common Assault"
"342",NA,"1/2/17",NA,149,"Auckland.","Common Assault"
"343",NA,"1/2/17",NA,154,"New Plymouth District.","Common Assault"
"344",NA,"1/2/17",NA,159,"Tauranga City.","Common Assault"
"345",NA,"1/3/17",NA,230,"Auckland.","Aggravated Sexual Assault"
"346",NA,"1/3/17",NA,235,"Wanganui District.","Aggravated Sexual Assault"
"347",NA,"1/7/17",NA,647,"Wellington City.","Non-Aggravated Sexual Assault"
"348",NA,"1/2/17",NA,1166,"Wanganui District.","Serious Assault Not Resulting in Injury"
"349",NA,"1/2/17",NA,1171,"Kapiti Coast District.","Serious Assault Not Resulting in Injury"
"350",NA,"1/2/17",NA,1173,"Taupo District.","Serious Assault Resulting in Injury"
"351",NA,"1/2/17",NA,1178,"Palmerston North City.","Serious Assault Resulting in Injury"
"352",NA,"1/2/17",NA,1183,"Auckland.","Serious Assault Resulting in Injury"
"353",NA,"1/2/17",NA,1184,"Christchurch City.","Common Assault"
"354",NA,"1/2/17",NA,1189,"Napier City.","Common Assault"
"355",NA,"1/2/17",NA,1194,"Whakatane District.","Common Assault"
"356",NA,"1/2/17",NA,1199,"Taupo District.","Common Assault"
"357",NA,"1/2/17",NA,1204,"Upper Hutt City.","Common Assault"
"358",NA,"1/2/17",NA,1209,"Upper Hutt City.","Common Assault"
"359",NA,"1/2/17",NA,1214,"Gisborne District.","Common Assault"
"360",NA,"1/2/17",NA,1221,"Gisborne District.","Serious Assault Not Resulting in Injury"
"361",NA,"1/2/17",NA,1226,"Auckland.","Serious Assault Not Resulting in Injury"
"362",NA,"1/2/17",NA,1233,"Auckland.","Serious Assault Resulting in Injury"
"363",NA,"1/2/17",NA,1238,"Waikato District.","Serious Assault Resulting in Injury"
"364",NA,"1/2/17",NA,1244,"Auckland.","Common Assault"
"365",NA,"1/2/17",NA,1249,"Dunedin City.","Common Assault"
"366",NA,"1/2/17",NA,1254,"Auckland.","Common Assault"
"367",NA,"1/2/17",NA,1259,"Auckland.","Common Assault"
"368",NA,"1/2/17",NA,1264,"Auckland.","Common Assault"
"369",NA,"1/2/17",NA,1271,"Gisborne District.","Serious Assault Not Resulting in Injury"
"370",NA,"1/2/17",NA,1278,"Far North District.","Serious Assault Resulting in Injury"
"371",NA,"1/2/17",NA,1284,"Auckland.","Common Assault"
"372",NA,"1/2/17",NA,1289,"Dunedin City.","Common Assault"
"373",NA,"1/2/17",NA,1294,"Auckland.","Common Assault"
"374",NA,"1/2/17",NA,1299,"Auckland.","Common Assault"
"375",NA,"1/2/17",NA,1304,"Auckland.","Common Assault"
"376",NA,"1/2/17",NA,1311,"Upper Hutt City.","Serious Assault Not Resulting in Injury"
"377",NA,"1/2/17",NA,1318,"Napier City.","Serious Assault Resulting in Injury"
"378",NA,"1/2/17",NA,1329,"Auckland.","Common Assault"
"379",NA,"1/2/17",NA,2014,"Nelson City.","Common Assault"
"380",NA,"1/2/17",NA,2016,"Dunedin City.","Serious Assault Not Resulting in Injury"
"381",NA,"1/2/17",NA,2023,"Whangarei District.","Serious Assault Resulting in Injury"
"382",NA,"1/2/17",NA,2036,"Napier City.","Serious Assault Not Resulting in Injury"
"383",NA,"1/2/17",NA,2045,"Marlborough District.","Aggravated Sexual Assault"
"384",NA,"1/4/17",NA,2624,"Hamilton City.","Common Assault"
"385",NA,"1/4/17",NA,2629,"Tasman District.","Common Assault"
"386",NA,"1/8/17",NA,3414,"Auckland.","Common Assault"
"387",NA,"1/8/17",NA,3419,"Christchurch City.","Common Assault"
"388",NA,"1/5/17",NA,3824,"Porirua City.","Common Assault"
"389",NA,"1/5/17",NA,3831,"Christchurch City.","Serious Assault Not Resulting in Injury"
"390",NA,"1/5/17",NA,3839,"Auckland.","Common Assault"
"391",NA,"1/5/17",NA,3841,"Palmerston North City.","Serious Assault Not Resulting in Injury"
"392",NA,"1/5/17",NA,3849,"Dunedin City.","Common Assault"
"393",NA,"1/5/17",NA,3856,"Wanganui District.","Serious Assault Not Resulting in Injury"
"394",NA,"1/5/17",NA,3861,"Auckland.","Serious Assault Not Resulting in Injury"
"395",NA,"1/5/17",NA,3869,"Grey District.","Common Assault"
"396",NA,"1/5/17",NA,3874,"South Waikato District.","Common Assault"
"397",NA,"1/5/17",NA,3881,"Kawerau District.","Serious Assault Not Resulting in Injury"
"398",NA,"1/5/17",NA,3889,"Nelson City.","Common Assault"
"399",NA,"1/2/17",NA,3894,"Hamilton City.","Common Assault"
"400",NA,"1/2/17",NA,3899,"Wanganui District.","Common Assault"
"401",NA,"1/2/17",NA,3904,"Auckland.","Common Assault"
"402",NA,"1/2/17",NA,3909,"Horowhenua District.","Common Assault"
"403",NA,"1/2/17",NA,3914,"Auckland.","Common Assault"
"404",NA,"1/2/17",NA,3921,"Christchurch City.","Serious Assault Not Resulting in Injury"
"405",NA,"1/2/17",NA,3926,"Auckland.","Serious Assault Not Resulting in Injury"
"406",NA,"1/2/17",NA,3933,"Wellington City.","Serious Assault Resulting in Injury"
"407",NA,"1/2/17",NA,3938,"Auckland.","Serious Assault Resulting in Injury"
"408",NA,"1/2/17",NA,3975,"Christchurch City.","Aggravated Sexual Assault"
"409",NA,"1/2/17",NA,3995,"Auckland.","Aggravated Sexual Assault"
"410",NA,"1/2/17",NA,4000,"Auckland.","Aggravated Sexual Assault"
"411",NA,"1/2/17",NA,4005,"Tararua District.","Aggravated Sexual Assault"
"412",NA,"1/2/17",NA,4007,"Nelson City.","Non-Aggravated Sexual Assault"
"413",NA,"1/5/17",NA,6359,"South Taranaki District.","Common Assault"
"414",NA,"1/5/17",NA,6364,"Far North District.","Common Assault"
"415",NA,"1/5/17",NA,6369,"Hastings District.","Common Assault"
"416",NA,"1/5/17",NA,6374,"Auckland.","Common Assault"
"417",NA,"1/5/17",NA,6379,"Timaru District.","Common Assault"
"418",NA,"1/5/17",NA,6386,"Taupo District.","Serious Assault Not Resulting in Injury"
"419",NA,"1/5/17",NA,6393,"Hamilton City.","Serious Assault Resulting in Injury"
"420",NA,"1/5/17",NA,6399,"Auckland.","Common Assault"
"421",NA,"1/5/17",NA,6404,"Whakatane District.","Common Assault"
"422",NA,"1/5/17",NA,6409,"Auckland.","Common Assault"
"423",NA,"1/5/17",NA,6414,"Upper Hutt City.","Common Assault"
"424",NA,"1/5/17",NA,6416,"Kaipara District.","Serious Assault Not Resulting in Injury"
"425",NA,"1/5/17",NA,6421,"Invercargill City.","Serious Assault Not Resulting in Injury"
"426",NA,"1/5/17",NA,6428,"Hamilton City.","Serious Assault Resulting in Injury"
"427",NA,"1/5/17",NA,6434,"Auckland.","Common Assault"
"428",NA,"1/5/17",NA,6439,"Auckland.","Common Assault"
"429",NA,"1/5/17",NA,6444,"Whangarei District.","Common Assault"
