"","Original.Index","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority"
"1",4,0001-02-17,"Common Assault","Phillipstown.",2605400,"Christchurch City."
"2",9,0001-02-17,"Common Assault","Kohuora.",746313,"Auckland."
"3",14,0001-02-17,"Common Assault","Williams Domain.",1691000,"Wanganui District."
"4",19,0001-02-17,"Common Assault","Onehunga South East.",602402,"Auckland."
"5",24,0001-02-17,"Common Assault","Hamilton East.",892800,"Hamilton City."
"6",31,0001-02-17,"Serious Assault Not Resulting in Injury","Henderson South.",243300,"Auckland."
"7",36,0001-02-17,"Serious Assault Not Resulting in Injury","Appleby-Kew.",3113600,"Invercargill City."
"8",38,0001-02-17,"Serious Assault Resulting in Injury","Highfield.",2787100,"Timaru District."
"9",55,0001-03-17,"Aggravated Sexual Assault","Papakura Central.",793000,"Auckland."
"10",60,0001-03-17,"Aggravated Sexual Assault","Lake Alice.",1741100,"Rangitikei District."
"11",65,0001-03-17,"Aggravated Sexual Assault","New Lynn South.",269200,"Auckland."
"12",70,0001-03-17,"Aggravated Sexual Assault","Hokitika Urban.",2425200,"Westland District."
"13",72,0001-03-17,"Non-Aggravated Sexual Assault","St Kilda Central.",2949900,"Dunedin City."
"14",75,0001-03-17,"Aggravated Sexual Assault","Te Pahu.",860300,"Waipa District."
"15",77,0001-03-17,"Non-Aggravated Sexual Assault","Shirley East.",2596100,"Christchurch City."
"16",83,0001-02-17,"Serious Assault Resulting in Injury","Waverley.",1664100,"South Taranaki District."
"17",89,0001-02-17,"Common Assault","Doncaster.",1206830,"Tauranga City."
"18",94,0001-02-17,"Common Assault","Gisborne Central.",1368900,"Gisborne District."
"19",99,0001-02-17,"Common Assault","Porritt.",875000,"Hamilton City."
"20",104,0001-02-17,"Common Assault","Takaro.",1826400,"Palmerston North City."
"21",106,0001-02-17,"Serious Assault Not Resulting in Injury","Kaitaia West.",15500,"Far North District."
"22",111,0001-02-17,"Serious Assault Not Resulting in Injury","Mangere South.",728805,"Auckland."
"23",118,0001-02-17,"Serious Assault Resulting in Injury","Westown.",1575500,"New Plymouth District."
"24",124,0001-02-17,"Common Assault","Cathedral Square.",2653000,"Christchurch City."
"25",129,0001-02-17,"Common Assault","Auckland Central East.",438106,"Auckland."
"26",134,0001-02-17,"Common Assault","Onekawa South.",1441800,"Napier City."
"27",139,0001-02-17,"Common Assault","Stuart St-Frederick St.",2901000,"Dunedin City."
"28",144,0001-02-17,"Common Assault","Te Kauwhata.",938301,"Waikato District."
"29",149,0001-02-17,"Common Assault","Royal Oak.",566300,"Auckland."
"30",154,0001-02-17,"Common Assault","Struan Park.",1567600,"New Plymouth District."
"31",159,0001-02-17,"Common Assault","Tauranga Central.",1163900,"Tauranga City."
"32",230,0001-03-17,"Aggravated Sexual Assault","Akarana.",582700,"Auckland."
"33",235,0001-03-17,"Aggravated Sexual Assault","Wanganui Collegiate.",1721302,"Wanganui District."
"34",647,0001-07-17,"Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2135600,"Wellington City."
"35",1166,0001-02-17,"Serious Assault Not Resulting in Injury","Gonville West.",1718300,"Wanganui District."
"36",1171,0001-02-17,"Serious Assault Not Resulting in Injury","Otaki.",1881700,"Kapiti Coast District."
"37",1173,0001-02-17,"Serious Assault Resulting in Injury","Taupo Central.",1273300,"Taupo District."
"38",1178,0001-02-17,"Serious Assault Resulting in Injury","Highbury.",1818900,"Palmerston North City."
"39",1183,0001-02-17,"Serious Assault Resulting in Injury","Beachlands-Maraetai.",719303,"Auckland."
"40",1184,0001-02-17,"Common Assault","Cathedral Square.",2649300,"Christchurch City."
"41",1189,0001-02-17,"Common Assault","Onekawa West.",1426300,"Napier City."
"42",1194,0001-02-17,"Common Assault","Whakatane North.",1307200,"Whakatane District."
"43",1199,0001-02-17,"Common Assault","Kinloch.",1278304,"Taupo District."
"44",1204,0001-02-17,"Common Assault","Cloustonville.",1915700,"Upper Hutt City."
"45",1209,0001-02-17,"Common Assault","Maoribank.",1913801,"Upper Hutt City."
"46",1214,0001-02-17,"Common Assault","Te Hapara.",1366400,"Gisborne District."
"47",1221,0001-02-17,"Serious Assault Not Resulting in Injury","Gisborne Central.",1369900,"Gisborne District."
"48",1226,0001-02-17,"Serious Assault Not Resulting in Injury","Dannemora.",711709,"Auckland."
"49",1233,0001-02-17,"Serious Assault Resulting in Injury","Auckland Central East.",437702,"Auckland."
"50",1238,0001-02-17,"Serious Assault Resulting in Injury","Waerenga.",935600,"Waikato District."
"51",1244,0001-02-17,"Common Assault","Auckland Harbourside.",437903,"Auckland."
"52",1249,0001-02-17,"Common Assault","South Dunedin.",2930600,"Dunedin City."
"53",1254,0001-02-17,"Common Assault","Wiri.",780414,"Auckland."
"54",1259,0001-02-17,"Common Assault","999999",-40,"Auckland."
"55",1264,0001-02-17,"Common Assault","Auckland Harbourside.",438209,"Auckland."
"56",1271,0001-02-17,"Serious Assault Not Resulting in Injury","Mangapapa.",1377100,"Gisborne District."
"57",1278,0001-02-17,"Serious Assault Resulting in Injury","Kaikohe.",42500,"Far North District."
"58",1284,0001-02-17,"Common Assault","Otahuhu West.",784400,"Auckland."
"59",1289,0001-02-17,"Common Assault","Brockville.",2881600,"Dunedin City."
"60",1294,0001-02-17,"Common Assault","Manukau Central.",781200,"Auckland."
"61",1299,0001-02-17,"Common Assault","Meadowbank North.",460000,"Auckland."
"62",1304,0001-02-17,"Common Assault","Browns Bay.",161200,"Auckland."
"63",1311,0001-02-17,"Serious Assault Not Resulting in Injury","Heretaunga-Silverstream.",1902101,"Upper Hutt City."
"64",1318,0001-02-17,"Serious Assault Resulting in Injury","Marewa.",1435500,"Napier City."
"65",1329,0001-02-17,"Common Assault","Glenavon.",380900,"Auckland."
"66",2014,0001-02-17,"Common Assault","Langbein.",2340900,"Nelson City."
"67",2016,0001-02-17,"Serious Assault Not Resulting in Injury","Brockville.",2882100,"Dunedin City."
"68",2023,0001-02-17,"Serious Assault Resulting in Injury","Parua Bay.",73601,"Whangarei District."
"69",2036,0001-02-17,"Serious Assault Not Resulting in Injury","Onekawa South.",1442000,"Napier City."
"70",2045,0001-02-17,"Aggravated Sexual Assault","Spring Creek-Grovetown.",2278505,"Marlborough District."
"71",2624,0001-04-17,"Common Assault","Insoll.",874000,"Hamilton City."
"72",2629,0001-04-17,"Common Assault","Motueka West.",2378900,"Tasman District."
"73",3414,0001-08-17,"Common Assault","Manukau Central.",780204,"Auckland."
"74",3419,0001-08-17,"Common Assault","Riccarton South.",2475400,"Christchurch City."
"75",3824,0001-05-17,"Common Assault","Cannons Creek North.",2046600,"Porirua City."
"76",3831,0001-05-17,"Serious Assault Not Resulting in Injury","Bexley.",2570400,"Christchurch City."
"77",3839,0001-05-17,"Common Assault","Three Kings.",560800,"Auckland."
"78",3841,0001-05-17,"Serious Assault Not Resulting in Injury","Awapuni South.",1804300,"Palmerston North City."
"79",3849,0001-05-17,"Common Assault","High St-Stuart St.",2899900,"Dunedin City."
"80",3856,0001-05-17,"Serious Assault Not Resulting in Injury","Gonville South.",1725900,"Wanganui District."
"81",3861,0001-05-17,"Serious Assault Not Resulting in Injury","Auckland Central West.",434000,"Auckland."
"82",3869,0001-05-17,"Common Assault","Greymouth South.",2411500,"Grey District."
"83",3874,0001-05-17,"Common Assault","Tokoroa Central.",1143000,"South Waikato District."
"84",3881,0001-05-17,"Serious Assault Not Resulting in Injury","Kawerau.",1316900,"Kawerau District."
"85",3889,0001-05-17,"Common Assault","Trafalgar.",2320600,"Nelson City."
"86",3894,0001-02-17,"Common Assault","Silverdale.",885200,"Hamilton City."
"87",3899,0001-02-17,"Common Assault","Cooks Gardens.",1697900,"Wanganui District."
"88",3904,0001-02-17,"Common Assault","Newton.",411700,"Auckland."
"89",3909,0001-02-17,"Common Assault","Levin West.",1869402,"Horowhenua District."
"90",3914,0001-02-17,"Common Assault","Target Road.",182711,"Auckland."
"91",3921,0001-02-17,"Serious Assault Not Resulting in Injury","Aranui.",2574000,"Christchurch City."
"92",3926,0001-02-17,"Serious Assault Not Resulting in Injury","Hillpark.",756600,"Auckland."
"93",3933,0001-02-17,"Serious Assault Resulting in Injury","Kilbirnie East.",2178000,"Wellington City."
"94",3938,0001-02-17,"Serious Assault Resulting in Injury","Manukau Central.",780204,"Auckland."
"95",3975,0001-02-17,"Aggravated Sexual Assault","Northcote.",2665100,"Christchurch City."
"96",3995,0001-02-17,"Aggravated Sexual Assault","Rowandale.",775816,"Auckland."
"97",4000,0001-02-17,"Aggravated Sexual Assault","Roberton.",381900,"Auckland."
"98",4005,0001-02-17,"Aggravated Sexual Assault","Pahiatua.",2218402,"Tararua District."
"99",4007,0001-02-17,"Non-Aggravated Sexual Assault","Nayland.",2340600,"Nelson City."
"100",6359,0001-05-17,"Common Assault","Hawera North.",1642600,"South Taranaki District."
"101",6364,0001-05-17,"Common Assault","Kawakawa.",57700,"Far North District."
"102",6369,0001-05-17,"Common Assault","Bridge Pa.",1470213,"Hastings District."
"103",6374,0001-05-17,"Common Assault","Epsom North.",443200,"Auckland."
"104",6379,0001-05-17,"Common Assault","Seaview.",2793900,"Timaru District."
"105",6386,0001-05-17,"Serious Assault Not Resulting in Injury","Tauhara.",1271100,"Taupo District."
"106",6393,0001-05-17,"Serious Assault Resulting in Injury","Hamilton Central.",912200,"Hamilton City."
"107",6399,0001-05-17,"Common Assault","Rongomai.",712802,"Auckland."
"108",6404,0001-05-17,"Common Assault","Whakatane West.",1313608,"Whakatane District."
"109",6409,0001-05-17,"Common Assault","Papatoetoe West.",657800,"Auckland."
"110",6414,0001-05-17,"Common Assault","Upper Hutt Central.",1906200,"Upper Hutt City."
"111",6416,0001-05-17,"Serious Assault Not Resulting in Injury","Dargaville.",116800,"Kaipara District."
"112",6421,0001-05-17,"Serious Assault Not Resulting in Injury","Waverley-Glengarry.",3131200,"Invercargill City."
"113",6428,0001-05-17,"Serious Assault Resulting in Injury","Hamilton Central.",910400,"Hamilton City."
"114",6434,0001-05-17,"Common Assault","Papakura Central.",792000,"Auckland."
"115",6439,0001-05-17,"Common Assault","Leabank.",771400,"Auckland."
"116",6444,0001-05-17,"Common Assault","Vinetown.",98200,"Whangarei District."
"117",6449,0001-05-17,"Common Assault","Parnell West.",452200,"Auckland."
"118",6454,0001-05-17,"Common Assault","Appleby-Kew.",3115000,"Invercargill City."
"119",6456,0001-05-17,"Serious Assault Not Resulting in Injury","Gate Pa.",1171700,"Tauranga City."
"120",6461,0001-05-17,"Serious Assault Not Resulting in Injury","Huntly East.",946700,"Waikato District."
"121",6466,0001-05-17,"Serious Assault Not Resulting in Injury","Newton.",412301,"Auckland."
"122",6468,0001-05-17,"Serious Assault Resulting in Injury","Rosehill.",804701,"Auckland."
"123",6473,0001-05-17,"Serious Assault Resulting in Injury","Nelson Park.",1429700,"Napier City."
"124",6478,0001-05-17,"Serious Assault Resulting in Injury","Paremoremo East.",179600,"Auckland."
"125",6484,0001-05-17,"Common Assault","Paihia.",54600,"Far North District."
"126",6489,0001-05-17,"Common Assault","New Plymouth Central.",1592700,"New Plymouth District."
"127",6494,0001-05-17,"Common Assault","Lynnmall.",265900,"Auckland."
"128",6499,0001-05-17,"Common Assault","Papatoetoe North.",662400,"Auckland."
"129",6504,0001-05-17,"Common Assault","Gisborne Central.",1371300,"Gisborne District."
"130",6511,0001-05-17,"Serious Assault Not Resulting in Injury","Grey Lynn East.",411600,"Auckland."
"131",6516,0001-05-17,"Serious Assault Not Resulting in Injury","Huntly East.",942203,"Waikato District."
"132",6523,0001-05-17,"Serious Assault Resulting in Injury","Motueka East.",2377800,"Tasman District."
"133",6528,0001-05-17,"Serious Assault Resulting in Injury","Takanini North.",767003,"Auckland."
"134",6534,0001-05-17,"Common Assault","Mangere South.",726400,"Auckland."
"135",6539,0001-05-17,"Common Assault","Grafton East.",442400,"Auckland."
"136",6544,0001-05-17,"Common Assault","Mangere South.",727700,"Auckland."
"137",6549,0001-05-17,"Common Assault","Durie Hill.",1695900,"Wanganui District."
"138",6551,0001-05-17,"Serious Assault Not Resulting in Injury","Auckland Harbourside.",437903,"Auckland."
"139",6556,0001-05-17,"Serious Assault Not Resulting in Injury","Wiri.",780800,"Auckland."
"140",6558,0001-05-17,"Serious Assault Resulting in Injury","Otaua.",831800,"Waikato District."
"141",6563,0001-05-17,"Serious Assault Resulting in Injury","Riverdale.",1376602,"Gisborne District."
"142",6569,0001-05-17,"Common Assault","Paparua.",2494600,"Christchurch City."
"143",6574,0001-05-17,"Common Assault","Harbourside.",2894500,"Dunedin City."
"144",6579,0001-05-17,"Common Assault","Auckland Central East.",436500,"Auckland."
"145",6584,0001-05-17,"Common Assault","Hagley Park.",2678500,"Christchurch City."
"146",6589,0001-05-17,"Common Assault","Hornby South.",2491900,"Christchurch City."
"147",6596,0001-05-17,"Serious Assault Not Resulting in Injury","Highbury.",1817300,"Palmerston North City."
"148",6603,0001-05-17,"Serious Assault Resulting in Injury","Hillpark.",757100,"Auckland."
"149",6609,0001-05-17,"Common Assault","Grampians.",2324700,"Nelson City."
"150",6618,0001-05-17,"Serious Assault Resulting in Injury","999999",-26,"Whangarei District."
"151",6619,0001-05-17,"Common Assault","Mt Maunganui North.",1195100,"Tauranga City."
"152",6624,0001-05-17,"Common Assault","Kaikohe.",42102,"Far North District."
"153",6629,0001-05-17,"Common Assault","Paparua.",2494600,"Christchurch City."
"154",6634,0001-05-17,"Common Assault","St Marys.",426101,"Auckland."
"155",6639,0001-05-17,"Common Assault","Mairtown.",90800,"Whangarei District."
"156",6644,0001-05-17,"Common Assault","Starling Park.",235600,"Auckland."
"157",6646,0001-05-17,"Serious Assault Not Resulting in Injury","Marotiri.",1292700,"Taupo District."
"158",6651,0001-05-17,"Serious Assault Not Resulting in Injury","Tauranga Hospital.",1170400,"Tauranga City."
"159",6658,0001-05-17,"Serious Assault Resulting in Injury","Mangakakahi.",1225600,"Rotorua District."
"160",6684,0001-04-17,"Common Assault","Otara West.",699100,"Auckland."
"161",6689,0001-04-17,"Common Assault","Trafalgar.",2320300,"Nelson City."
"162",6691,0001-04-17,"Serious Assault Not Resulting in Injury","Glendene North.",274700,"Auckland."
"163",6696,0001-04-17,"Serious Assault Not Resulting in Injury","Palmerston North Central.",1829600,"Palmerston North City."
"164",6703,0001-04-17,"Serious Assault Resulting in Injury","Palmerston North Central.",1829500,"Palmerston North City."
"165",6709,0001-04-17,"Common Assault","New Plymouth Central.",1591500,"New Plymouth District."
"166",6714,0001-04-17,"Common Assault","Henderson South.",242700,"Auckland."
"167",6719,0001-04-17,"Common Assault","Hamilton Lake.",932100,"Hamilton City."
"168",6724,0001-04-17,"Common Assault","Whataupoko.",1380800,"Gisborne District."
"169",6731,0001-04-17,"Serious Assault Not Resulting in Injury","Mclean Park.",1432000,"Napier City."
"170",6736,0001-04-17,"Serious Assault Not Resulting in Injury","Ranzau.",2357300,"Tasman District."
"171",6738,0001-04-17,"Serious Assault Resulting in Injury","Parua Bay.",73704,"Whangarei District."
"172",6743,0001-04-17,"Serious Assault Resulting in Injury","Kawerau.",1318300,"Kawerau District."
"173",6749,0001-04-17,"Common Assault","Koutu.",1223600,"Rotorua District."
"174",6754,0001-04-17,"Common Assault","Auckland Central West.",433503,"Auckland."
"175",6759,0001-04-17,"Common Assault","Mcleod.",258002,"Auckland."
"176",6764,0001-04-17,"Common Assault","Toko.",1622300,"Stratford District."
"177",6769,0001-04-17,"Common Assault","Caledonian.",2932800,"Dunedin City."
"178",6774,0001-04-17,"Common Assault","Mt Eden North.",542900,"Auckland."
"179",6781,0001-04-17,"Serious Assault Not Resulting in Injury","Mt Wellington Domain.",628001,"Auckland."
"180",6786,0001-04-17,"Serious Assault Not Resulting in Injury","Greymouth South.",2407200,"Grey District."
"181",6793,0001-04-17,"Serious Assault Resulting in Injury","Ahuriri.",1418900,"Napier City."
"182",6798,0001-04-17,"Serious Assault Resulting in Injury","Wymondley.",696600,"Auckland."
"183",6804,0001-04-17,"Common Assault","Auckland Harbourside.",437903,"Auckland."
"184",6809,0001-04-17,"Common Assault","Auckland Central West.",434000,"Auckland."
"185",6814,0001-04-17,"Common Assault","Berhampore West.",2171500,"Wellington City."
"186",6819,0001-04-17,"Common Assault","999999",-89,"Auckland."
"187",6824,0001-04-17,"Common Assault","Otakaro Park.",3106100,"Invercargill City."
"188",6829,0001-04-17,"Common Assault","Hastings Central.",1490100,"Hastings District."
"189",6831,0001-04-17,"Serious Assault Not Resulting in Injury","Maungawhau.",555100,"Auckland."
"190",6836,0001-04-17,"Serious Assault Not Resulting in Injury","Grey Lynn East.",411600,"Auckland."
"191",6841,0001-04-17,"Serious Assault Not Resulting in Injury","Kaiti South.",1384700,"Gisborne District."
"192",6843,0001-04-17,"Serious Assault Resulting in Injury","Mayfair.",1496800,"Hastings District."
"193",6848,0001-04-17,"Serious Assault Resulting in Injury","Maungaturoto.",131500,"Kaipara District."
"194",6853,0001-04-17,"Serious Assault Resulting in Injury","Porirua Central.",2052200,"Porirua City."
"195",6859,0001-04-17,"Common Assault","Broads.",2328900,"Nelson City."
"196",6864,0001-04-17,"Common Assault","Clarkin.",871300,"Hamilton City."
"197",6869,0001-04-17,"Common Assault","Trafalgar.",2320300,"Nelson City."
"198",6876,0001-04-17,"Serious Assault Not Resulting in Injury","Favona South.",731000,"Auckland."
"199",6881,0001-04-17,"Serious Assault Not Resulting in Injury","Royal Heights.",225806,"Auckland."
"200",6883,0001-04-17,"Serious Assault Resulting in Injury","Hamilton Lake.",931900,"Hamilton City."
"201",6888,0001-04-17,"Serious Assault Resulting in Injury","Holborn.",1931600,"Lower Hutt City."
"202",6893,0001-04-17,"Serious Assault Resulting in Injury","Otahuhu North.",787500,"Auckland."
"203",6894,0001-04-17,"Common Assault","St Albans East.",2687000,"Christchurch City."
"204",6899,0001-04-17,"Common Assault","Cathedral Square.",2649800,"Christchurch City."
"205",6904,0001-04-17,"Common Assault","Richmond East.",2361600,"Tasman District."
"206",6909,0001-04-17,"Common Assault","Waimataitai.",2782000,"Timaru District."
"207",6916,0001-04-17,"Serious Assault Not Resulting in Injury","Mellons Bay.",651202,"Auckland."
"208",6923,0001-04-17,"Serious Assault Resulting in Injury","Edmonton.",255600,"Auckland."
"209",6929,0001-04-17,"Common Assault","Waimataitai.",2782000,"Timaru District."
"210",6931,0001-04-17,"Serious Assault Not Resulting in Injury","Cathedral Square.",2652000,"Christchurch City."
"211",6933,0001-04-17,"Serious Assault Resulting in Injury","Porritt.",875600,"Hamilton City."
"212",6934,0001-04-17,"Common Assault","Auckland Central West.",433501,"Auckland."
"213",6939,0001-04-17,"Common Assault","Kaiti South.",1386600,"Gisborne District."
"214",6944,0001-04-17,"Common Assault","Linwood.",2609400,"Christchurch City."
"215",6949,0001-04-17,"Common Assault","Kaikohe.",42500,"Far North District."
"216",6951,0001-04-17,"Serious Assault Not Resulting in Injury","Pukekohe North.",818700,"Auckland."
"217",6958,0001-04-17,"Serious Assault Resulting in Injury","Ngaruawahia.",856500,"Waikato District."
"218",7000,0001-04-17,"Aggravated Sexual Assault","Raumati Beach.",2005501,"Kapiti Coast District."
"219",7005,0001-04-17,"Aggravated Sexual Assault","Ormiston.",712401,"Auckland."
"220",7010,0001-04-17,"Aggravated Sexual Assault","Auckland Central West.",434000,"Auckland."
"221",7313,0001-08-17,"Serious Assault Resulting in Injury","St Leonards.",1486600,"Hastings District."
"222",7319,0001-08-17,"Common Assault","Springdale.",1093600,"Matamata-Piako District."
"223",7321,0001-08-17,"Serious Assault Not Resulting in Injury","Highfield.",2788000,"Timaru District."
"224",7323,0001-08-17,"Serious Assault Resulting in Injury","Glenfield North.",196700,"Auckland."
"225",7324,0001-08-17,"Common Assault","Pukekohe West.",821600,"Auckland."
"226",7329,0001-08-17,"Common Assault","Kilbirnie East.",2176800,"Wellington City."
"227",7334,0001-08-17,"Common Assault","Tamatea South.",1454500,"Napier City."
"228",7336,0001-08-17,"Serious Assault Not Resulting in Injury","Taneatua.",1304200,"Whakatane District."
"229",7343,0001-08-17,"Serious Assault Resulting in Injury","Hastings Central.",1490200,"Hastings District."
"230",7349,0001-08-17,"Common Assault","Palmerston North Central.",1829700,"Palmerston North City."
"231",7354,0001-08-17,"Common Assault","Te Awamutu East.",968800,"Waipa District."
"232",7363,0001-08-17,"Serious Assault Resulting in Injury","Palmerston North Central.",1829200,"Palmerston North City."
"233",7369,0001-08-17,"Common Assault","Manly.",174221,"Auckland."
"234",7374,0001-08-17,"Common Assault","Gisborne Central.",1372800,"Gisborne District."
"235",7379,0001-08-17,"Common Assault","Willis Street-Cambridge Terrace.",2130800,"Wellington City."
"236",7389,0001-08-17,"Common Assault","Wilford.",2031600,"Lower Hutt City."
"237",7394,0001-08-17,"Common Assault","Opunake.",1632701,"South Taranaki District."
"238",7442,0001-08-17,"Non-Aggravated Sexual Assault","Mt Wellington South.",637500,"Auckland."
"239",7445,0001-08-17,"Aggravated Sexual Assault","Kamo East.",83801,"Whangarei District."
"240",7450,0001-08-17,"Aggravated Sexual Assault","Rangiora East.",2445600,"Waimakariri District."
"241",7452,0001-08-17,"Non-Aggravated Sexual Assault","Mona Vale.",2470300,"Christchurch City."
"242",9029,0001-07-17,"Common Assault","Ellerslie North.",610900,"Auckland."
"243",9036,0001-07-17,"Serious Assault Not Resulting in Injury","Glenfield North.",196802,"Auckland."
"244",9041,0001-07-17,"Serious Assault Not Resulting in Injury","Pongakawa.",1212202,"Western Bay of Plenty District."
"245",9044,0001-07-17,"Common Assault","Titahi Bay North.",2042400,"Porirua City."
"246",9051,0001-07-17,"Serious Assault Not Resulting in Injury","Arahanga.",737600,"Auckland."
"247",9054,0001-07-17,"Common Assault","Tikipunga West.",61806,"Whangarei District."
"248",9059,0001-07-17,"Common Assault","Paremata-Postgate.",2070000,"Porirua City."
"249",9064,0001-07-17,"Common Assault","South Dunedin.",2929400,"Dunedin City."
"250",9066,0001-07-17,"Serious Assault Not Resulting in Injury","Acacia Bay.",1279502,"Taupo District."
"251",9071,0001-07-17,"Serious Assault Not Resulting in Injury","Greenmeadows.",1448105,"Napier City."
"252",9076,0001-07-17,"Serious Assault Not Resulting in Injury","Morningside.",109103,"Whangarei District."
"253",9079,0001-07-17,"Common Assault","Mona Vale.",2469900,"Christchurch City."
"254",9084,0001-07-17,"Common Assault","Shirley East.",2598900,"Christchurch City."
"255",9091,0001-07-17,"Serious Assault Not Resulting in Injury","Kuirau.",1235100,"Rotorua District."
"256",9096,0001-07-17,"Serious Assault Not Resulting in Injury","Oaklands West.",2483601,"Christchurch City."
"257",9098,0001-07-17,"Serious Assault Resulting in Injury","999999",-147,"Taupo District."
"258",9099,0001-07-17,"Common Assault","Lansdowne.",2249700,"Masterton District."
"259",9106,0001-07-17,"Serious Assault Not Resulting in Injury","Pongakawa.",1212606,"Western Bay of Plenty District."
"260",9114,0001-07-17,"Common Assault","Hospital Hill.",1419600,"Napier City."
"261",9121,0001-07-17,"Serious Assault Not Resulting in Injury","Pukekohe North.",819100,"Auckland."
"262",9123,0001-07-17,"Serious Assault Resulting in Injury","Mascot.",742400,"Auckland."
"263",9124,0001-07-17,"Common Assault","Stuart St-Frederick St.",2901200,"Dunedin City."
"264",9131,0001-07-17,"Serious Assault Not Resulting in Injury","Moera.",1963500,"Lower Hutt City."
"265",9139,0001-07-17,"Common Assault","Glenholme West.",1239100,"Rotorua District."
"266",9254,0001-03-17,"Common Assault","Alexandra.",3025000,"Central Otago District."
"267",9259,0001-03-17,"Common Assault","Timaru Gardens.",2801900,"Timaru District."
"268",9263,0001-03-17,"Serious Assault Resulting in Injury","East Gore.",3065900,"Gore District."
"269",9264,0001-03-17,"Common Assault","Mairehau North.",2507202,"Christchurch City."
"270",9274,0001-03-17,"Common Assault","Punaruku-Kiripaka.",62501,"Whangarei District."
"271",9282,0001-03-17,"Non-Aggravated Sexual Assault","Auckland Central East.",436100,"Auckland."
"272",9686,0001-05-17,"Serious Assault Not Resulting in Injury","Halfway Bush.",2888300,"Dunedin City."
"273",9689,0001-05-17,"Common Assault","Cooks Gardens.",1699500,"Wanganui District."
"274",9694,0001-05-17,"Common Assault","Marchwiel.",2783900,"Timaru District."
"275",9696,0001-05-17,"Serious Assault Not Resulting in Injury","Alicetown.",1923200,"Lower Hutt City."
"276",9701,0001-05-17,"Serious Assault Not Resulting in Injury","Laird Park.",1701800,"Wanganui District."
"277",9704,0001-05-17,"Common Assault","High St-Stuart St.",2897800,"Dunedin City."
"278",9711,0001-05-17,"Serious Assault Not Resulting in Injury","Leabank.",772802,"Auckland."
"279",9716,0001-05-17,"Serious Assault Not Resulting in Injury","999999",-141,"Rotorua District."
"280",9721,0001-05-17,"Serious Assault Not Resulting in Injury","Kamo West.",85502,"Whangarei District."
"281",9724,0001-05-17,"Common Assault","Hutt Central.",1965900,"Lower Hutt City."
"282",9729,0001-05-17,"Common Assault","Wairoa.",1389200,"Wairoa District."
"283",9731,0001-05-17,"Serious Assault Not Resulting in Injury","Merivale.",2676500,"Christchurch City."
"284",9736,0001-05-17,"Serious Assault Not Resulting in Injury","Selwyn Heights.",1220300,"Rotorua District."
"285",9738,0001-05-17,"Serious Assault Resulting in Injury","Richmond East.",2361800,"Tasman District."
"286",9750,0001-05-17,"Aggravated Sexual Assault","999999",-166,"Hauraki District."
"287",9755,0001-05-17,"Aggravated Sexual Assault","999999",-64,"Auckland."
"288",9760,0001-05-17,"Aggravated Sexual Assault","Westbrook.",1816303,"Palmerston North City."
"289",9765,0001-05-17,"Aggravated Sexual Assault","Redwoodtown.",2304507,"Marlborough District."
"290",9770,0001-05-17,"Aggravated Sexual Assault","999999",-279,"Upper Hutt City."
"291",10169,0001-06-17,"Common Assault","Cathedral Square.",2649300,"Christchurch City."
"292",10174,0001-06-17,"Common Assault","Kingseat.",809701,"Auckland."
"293",10179,0001-06-17,"Common Assault","Willis Street-Cambridge Terrace.",2134600,"Wellington City."
"294",10184,0001-06-17,"Common Assault","Tuff Crater.",364900,"Auckland."
"295",10189,0001-06-17,"Common Assault","Raumati Beach.",2004400,"Kapiti Coast District."
"296",10196,0001-06-17,"Serious Assault Not Resulting in Injury","Orewa.",171500,"Auckland."
"297",10203,0001-06-17,"Serious Assault Resulting in Injury","Linton Military Camp.",1798501,"Palmerston North City."
"298",10209,0001-06-17,"Common Assault","Mt Eden North.",542700,"Auckland."
"299",10214,0001-06-17,"Common Assault","Mangere Bridge.",725900,"Auckland."
"300",10219,0001-06-17,"Common Assault","Lynnmall.",265400,"Auckland."
"301",10224,0001-06-17,"Common Assault","Blockhouse Bay.",370300,"Auckland."
"302",10226,0001-06-17,"Serious Assault Not Resulting in Injury","Moanataiari.",1050200,"Thames-Coromandel District."
"303",10231,0001-06-17,"Serious Assault Not Resulting in Injury","Hastings Central.",1489900,"Hastings District."
"304",10233,0001-06-17,"Serious Assault Resulting in Injury","Kamo East.",84900,"Whangarei District."
"305",10239,0001-06-17,"Common Assault","Dannevirke East.",1528300,"Tararua District."
"306",10244,0001-06-17,"Common Assault","Waiheke Island.",515314,"Auckland."
"307",10249,0001-06-17,"Common Assault","Otangarei.",93600,"Whangarei District."
"308",10254,0001-06-17,"Common Assault","Queenstown Bay.",3032800,"Queenstown-Lakes District."
"309",10259,0001-06-17,"Common Assault","Hornby North.",2488500,"Christchurch City."
"310",10874,0001-06-17,"Common Assault","Willis Street-Cambridge Terrace.",2133408,"Wellington City."
"311",10879,0001-06-17,"Common Assault","Forrester Park.",2876900,"Dunedin City."
"312",10881,0001-06-17,"Serious Assault Not Resulting in Injury","Matarawa.",1140300,"South Waikato District."
"313",10886,0001-06-17,"Serious Assault Not Resulting in Injury","Opaki-Fernridge.",2252501,"Masterton District."
