OBJECTID,TALB2018_V1_00,TALB2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Age__life_cycle_groups_15_29_years_2006,Age__life_cycle_groups_30_64_years_2006,Age__life_cycle_groups_65_years_and_over_2006,Age__life_cycle_groups_total_2006,Age__life_cycle_groups_Under_15_years_2006,Age__life_cycle_groups_15_29_years_2013,Age__life_cycle_groups_30_64_years_2013,Age__life_cycle_groups_65_years_and_over_2013,Age__life_cycle_groups_total_2013,Age__life_cycle_groups_Under_15_years_2013,Age__life_cycle_groups_15_29_years_2018,Age__life_cycle_groups_30_64_years_2018,Age__life_cycle_groups_65_years_and_over_2018,Age__life_cycle_groups_total_2018,Age__life_cycle_groups_Under_15_years_2018,Pop_Total_2006,Pop_Total_2013,Pop_Total_2018,Age__life_cycle_groups_15_29_years_2013_2018_percentChange,Age__life_cycle_groups_30_64_years_2013_2018_percentChange,Age__life_cycle_groups_65_years_and_over_2013_2018_percentChange,Age__life_cycle_groups_total_2013_2018_percentChange,Age__life_cycle_groups_Under_15_years_2013_2018_percentChange
41,04900,Carterton District,1179.968979020000500,1179.968979020000500,1005,3537,1062,7101,1497,1131,3924,1545,8235,1635,1281,4113,2064,9198,1740,7101,8235,9198,13.300000000000001,4.800000000000000,33.600000000000001,11.699999999999999,6.400000000000000
42,05000,South Wairarapa District,2386.936920030000700,2457.844833620000800,1071,4521,1449,8892,1848,1233,4581,1860,9528,1851,1314,5025,2319,10575,1917,8892,9528,10575,6.600000000000000,9.699999999999999,24.699999999999999,11.000000000000000,3.600000000000000
43,05100,Tasman District,9615.976034859997500,14800.253699469989000,6501,22443,6072,44625,9609,6387,22872,8463,47157,9432,7626,24258,10974,52389,9534,44625,47157,52389,19.399999999999999,6.100000000000000,29.699999999999999,11.100000000000000,1.100000000000000
44,05200,Nelson City,422.195242010000190,447.211620760000130,7713,20703,6231,42888,8241,7494,22089,8109,46437,8745,8469,23541,9843,50880,9027,42888,46437,50880,13.000000000000000,6.600000000000000,21.399999999999999,9.600000000000000,3.200000000000000
45,05300,Marlborough District,10457.745485279997000,12484.595556129989000,6786,20961,6876,42549,7923,6378,20382,8907,43416,7752,7158,21378,10548,47340,8259,42549,43416,47340,12.199999999999999,4.900000000000000,18.399999999999999,9.000000000000000,6.500000000000000
46,05400,Kaikoura District,2046.791830530000000,2046.791830530000000,585,1824,540,3621,672,513,1740,690,3552,612,600,1848,831,3912,630,3621,3552,3912,17.000000000000000,6.200000000000000,20.399999999999999,10.100000000000000,2.900000000000000
47,05500,Buller District,7943.337088559999800,7949.683061559999300,1365,4905,1518,9702,1917,1560,5196,1752,10473,1959,1230,4551,2223,9591,1587,9702,10473,9591,-21.199999999999999,-12.400000000000000,26.899999999999999,-8.400000000000000,-19.000000000000000
48,05600,Grey District,3474.304412220003500,3515.449115910003500,2187,6399,1782,13221,2859,2259,6315,2139,13371,2658,2244,6093,2445,13344,2565,13221,13371,13344,-0.700000000000000,-3.500000000000000,14.300000000000001,-0.200000000000000,-3.500000000000000
49,05700,Westland District,11827.814379229996000,11889.050616309998000,1404,4341,1035,8403,1626,1305,4176,1293,8304,1533,1446,4212,1536,8640,1449,8403,8304,8640,10.800000000000001,0.900000000000000,18.800000000000001,4.000000000000000,-5.500000000000000
50,05800,Hurunui District,8640.921154389998300,8654.458885529999000,1425,5319,1494,10476,2235,1638,5604,2031,11529,2250,1812,5841,2478,12558,2427,10476,11529,12558,10.600000000000000,4.200000000000000,22.000000000000000,8.900000000000000,7.900000000000000
51,05900,Waimakariri District,2217.431479979999000,2217.431479979999000,5862,21306,5967,42834,9699,7416,24003,8379,49989,10191,9675,27174,11241,59502,11412,42834,49989,59502,30.500000000000000,13.199999999999999,34.200000000000003,19.000000000000000,12.000000000000000
52,06000,Christchurch City,1415.855319589995800,1608.611342509996100,75984,159603,47196,348456,65673,72960,156585,51066,341469,60858,82971,166959,55377,369006,63699,348456,341469,369006,13.699999999999999,6.600000000000000,8.400000000000000,8.100000000000000,4.700000000000000
53,06200,Selwyn District,6380.886842649996700,6552.582297019998800,5865,17019,3021,33645,7737,7977,21855,4833,44595,9933,10833,29301,6975,60561,13452,33645,44595,60561,35.799999999999997,34.100000000000001,44.299999999999997,35.799999999999997,35.399999999999999
54,06300,Ashburton District,6181.689032680002100,6189.517194760002000,4419,12816,4470,27372,5667,5307,14115,5196,31041,6423,5937,14697,5982,33423,6810,27372,31041,33423,11.900000000000000,4.100000000000000,15.100000000000000,7.700000000000000,6.000000000000000
55,06400,Timaru District,2732.404945259995700,2733.031179549995600,6591,20178,7845,42870,8253,6864,20109,9003,43932,7956,7596,20280,10128,46296,8289,42870,43932,46296,10.699999999999999,0.900000000000000,12.500000000000000,5.400000000000000,4.200000000000000
56,06500,Mackenzie District,7138.660624219999600,7442.354156870000200,624,1929,489,3801,759,639,2031,663,4158,828,978,2274,810,4866,801,3801,4158,4866,53.100000000000001,12.000000000000000,22.199999999999999,17.000000000000000,-3.300000000000000
57,06600,Waimate District,3554.462613119999800,3583.124244640000100,894,3441,1380,7209,1491,1071,3438,1677,7536,1350,1152,3540,1770,7815,1359,7209,7536,7815,7.600000000000000,3.000000000000000,5.500000000000000,3.700000000000000,0.700000000000000
58,06700,Chatham Islands Territory,793.947219609999930,13577.689220049999000,90,330,51,612,141,90,318,72,600,123,129,339,84,663,111,612,600,663,43.299999999999997,6.600000000000000,16.699999999999999,10.500000000000000,-9.800000000000001
59,06800,Waitaki District,7107.878542729998100,7216.649568969998700,2598,9753,4050,20223,3819,2907,9486,4605,20829,3828,3348,9819,5070,22308,4071,20223,20829,22308,15.199999999999999,3.500000000000000,10.100000000000000,7.100000000000000,6.300000000000000
60,06900,Central Otago District,9933.423701359995900,9968.473872479995400,2397,8283,2901,16644,3060,2172,8652,3810,17895,3258,2997,10005,4908,21558,3651,16644,17895,21558,38.000000000000000,15.600000000000000,28.800000000000001,20.500000000000000,12.100000000000000
61,07000,Queenstown-Lakes District,8719.706684839999100,9375.197717899998700,5460,11787,1962,22959,3750,5397,14604,3033,28224,5190,9195,19317,4119,39153,6522,22959,28224,39153,70.400000000000006,32.299999999999997,35.799999999999997,38.700000000000003,25.699999999999999
62,07100,Dunedin City,3286.257800109997800,3350.407689619998100,32301,50556,15852,118683,19974,32298,50628,17898,120249,19422,33549,52509,20289,126255,19914,118683,120249,126255,3.900000000000000,3.700000000000000,13.400000000000000,5.000000000000000,2.500000000000000
