OBJECTID,dp_zone,SubZone,Centre_Type,Property_Report_Note,GlobalID,Shape__Area,Shape__Length
60,Outer Residential,,,,d69ef530-37b9-4e1c-8005-0f12889c0477,3769.09375,288.812184305735
61,Outer Residential,,,,7fc768ad-a38d-40f8-839f-06362bdb947e,3829.4375,258.588396001879
62,Outer Residential,,,,972710d3-ee65-4600-a5a1-333e0020794f,3846.7890625,279.785227899902
63,Outer Residential,,,,720cd765-6d2e-4568-a5a4-4b097038c201,3913.8046875,270.011429416828
64,Outer Residential,,,,08517b20-04e3-474c-ae28-243b82e9cc75,3927.8046875,358.674789165964
65,Outer Residential,,,,234a1343-3eca-42de-acb5-0eade815b675,4124.6796875,305.940003852208
66,Outer Residential,,,,d5bfdad0-1b63-47d7-86ab-f8d9bd9247f0,4146.9609375,266.610529919569
67,Outer Residential,,,,5521996c-1c19-4ef7-a3bd-8a635a20c9b0,4210.09375,268.692745436426
68,Outer Residential,,,,74e082be-35ff-4e2a-a9ee-6851e91640cb,4243.6484375,300.96824651132
69,Outer Residential,,,,4a7d6e63-b782-47ca-a837-63acdb776862,4231.3046875,315.169528268403
70,Outer Residential,,,,bf086e60-9eb4-49b5-9878-c929a6546b19,4460.0390625,350.073766751292
71,Outer Residential,,,,d7e33d12-4a58-409f-aad3-62c9dc0ae9f0,4790.359375,274.109399448398
72,Outer Residential,,,,64182cdb-4941-467f-963c-cc1ca9056002,4880.3671875,280.047219921647
73,Outer Residential,,,,ccbdd0df-c41d-420b-ae83-4db0445ee2e2,5027.203125,395.983801728968
74,Outer Residential,,,,cae9c024-72ee-4b36-88ba-cd8366969c2d,5092.21875,301.063877739042
75,Outer Residential,,,,87dce076-1119-4da5-bed4-9ee57df38edd,5121.3671875,291.450990828089
76,Outer Residential,,,,ec4862f0-ccae-4403-9d51-a323a1de0782,6066.1953125,363.577828009035
77,Outer Residential,,,,36affaf3-3851-43b9-910a-dadd7a6dff9c,5232.6640625,290.902996192699
78,Outer Residential,,,,1d05a595-3702-43d2-8545-e87c8de705b4,5284.7578125,406.428227464028
79,Outer Residential,,,,456a35b1-cd55-45fc-a27c-620ecd6ea128,5389.34375,365.393367596529
80,Outer Residential,,,,f0fcefc0-221a-40ca-867c-05dd818cdcf8,5407.0390625,363.287295914817
81,Outer Residential,,,,b70c1716-1919-4ad3-bc85-2587baf7d032,5395.8515625,368.718516783312
82,Outer Residential,,,,142c74f8-7a3f-4375-af69-c425c5af6f52,5437.5703125,309.124097289276
83,Outer Residential,,,,dff97367-7f77-457d-9d5d-3530c3bb6a55,5520.7578125,355.934113080739
84,Outer Residential,,,,20f64f6f-ed81-4730-9167-e51410c5fa37,5537.1328125,341.204598968953
85,Outer Residential,,,,1410081e-9f07-419b-855b-a34480d6e85f,5598.9921875,381.637063753188
86,Outer Residential,,,,ce831063-9a15-4ead-97bf-e88f931d64cb,5687.65625,363.600102481351
87,Outer Residential,,,,a7aac90e-5f20-4690-a079-aa1a45c752b7,5762.9765625,322.302528993947
