"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"104","5","17","Common Assault","Seaview.",2793900,"Timaru District.",2,"Canterbury",NA
"105","5","17","Serious Assault Not Resulting in Injury","Tauhara.",1271100,"Taupo District.",2,"Waikato",NA
"106","5","17","Serious Assault Resulting in Injury","Hamilton Central.",912200,"Hamilton City.",2,"Waikato",NA
"107","5","17","Common Assault","Rongomai.",712802,"Auckland.",2,"Auckland",NA
"108","5","17","Common Assault","Whakatane West.",1313608,"Whakatane District.",2,"Bay Of Plenty",NA
"109","5","17","Common Assault","Papatoetoe West.",657800,"Auckland.",2,"Auckland",NA
"110","5","17","Common Assault","Upper Hutt Central.",1906200,"Upper Hutt City.",2,"Wellington/ Lower-Central North",NA
"111","5","17","Serious Assault Not Resulting in Injury","Dargaville.",116800,"Kaipara District.",2,"Northland",NA
"112","5","17","Serious Assault Not Resulting in Injury","Waverley-Glengarry.",3131200,"Invercargill City.",2,"Southland/ Otago",NA
"113","5","17","Serious Assault Resulting in Injury","Hamilton Central.",910400,"Hamilton City.",2,"Waikato",NA
"114","5","17","Common Assault","Papakura Central.",792000,"Auckland.",2,"Auckland",NA
"115","5","17","Common Assault","Leabank.",771400,"Auckland.",2,"Auckland",NA
"116","5","17","Common Assault","Vinetown.",98200,"Whangarei District.",2,"Northland",NA
"117","5","17","Common Assault","Parnell West.",452200,"Auckland.",2,"Auckland",NA
"118","5","17","Common Assault","Appleby-Kew.",3115000,"Invercargill City.",2,"Southland/ Otago",NA
"119","5","17","Serious Assault Not Resulting in Injury","Gate Pa.",1171700,"Tauranga City.",2,"Bay Of Plenty",NA
"120","5","17","Serious Assault Not Resulting in Injury","Huntly East.",946700,"Waikato District.",2,"Waikato",NA
