"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"172","17","Serious Assault Resulting in Injury",1318300,3,"Bay Of Plenty",NA
"173","17","Common Assault",1223600,3,"Bay Of Plenty",NA
"174","17","Common Assault",433503,3,"Auckland",NA
"175","17","Common Assault",258002,3,"Auckland",NA
"176","17","Common Assault",1622300,3,"West Coast/ Upper-Central North",NA
"177","17","Common Assault",2932800,3,"Southland/ Otago",NA
"178","17","Common Assault",542900,3,"Auckland",NA
"179","17","Serious Assault Not Resulting in Injury",628001,3,"Auckland",NA
"180","17","Serious Assault Not Resulting in Injury",2407200,3,"Tasman/ South-West Coast",NA
"181","17","Serious Assault Resulting in Injury",1418900,3,"Hawkes Bay/ Gisborne",NA
"182","17","Serious Assault Resulting in Injury",696600,3,"Auckland",NA
"183","17","Common Assault",437903,3,"Auckland",NA
"184","17","Common Assault",434000,3,"Auckland",NA
"185","17","Common Assault",2171500,3,"Wellington/ Lower-Central North",NA
"186","17","Common Assault",-89,3,"Auckland",NA
"187","17","Common Assault",3106100,3,"Southland/ Otago",NA
"188","17","Common Assault",1490100,3,"Hawkes Bay/ Gisborne",NA
"189","17","Serious Assault Not Resulting in Injury",555100,3,"Auckland",NA
"190","17","Serious Assault Not Resulting in Injury",411600,3,"Auckland",NA
"191","17","Serious Assault Not Resulting in Injury",1384700,3,"Hawkes Bay/ Gisborne",NA
"192","17","Serious Assault Resulting in Injury",1496800,3,"Hawkes Bay/ Gisborne",NA
"193","17","Serious Assault Resulting in Injury",131500,3,"Northland",NA
"194","17","Serious Assault Resulting in Injury",2052200,3,"Wellington/ Lower-Central North",NA
"195","17","Common Assault",2328900,3,"Tasman/ South-West Coast",NA
"196","17","Common Assault",871300,3,"Waikato",NA
"197","17","Common Assault",2320300,3,"Tasman/ South-West Coast",NA
"198","17","Serious Assault Not Resulting in Injury",731000,3,"Auckland",NA
"199","17","Serious Assault Not Resulting in Injury",225806,3,"Auckland",NA
"200","17","Serious Assault Resulting in Injury",931900,3,"Waikato",NA
"201","17","Serious Assault Resulting in Injury",1931600,3,"Wellington/ Lower-Central North",NA
"202","17","Serious Assault Resulting in Injury",787500,3,"Auckland",NA
"203","17","Common Assault",2687000,3,"Canterbury",NA
"204","17","Common Assault",2649800,3,"Canterbury",NA
"205","17","Common Assault",2361600,3,"Tasman/ South-West Coast",NA
"206","17","Common Assault",2782000,3,"Canterbury",NA
"207","17","Serious Assault Not Resulting in Injury",651202,3,"Auckland",NA
"208","17","Serious Assault Resulting in Injury",255600,3,"Auckland",NA
"209","17","Common Assault",2782000,3,"Canterbury",NA
"210","17","Serious Assault Not Resulting in Injury",2652000,3,"Canterbury",NA
"211","17","Serious Assault Resulting in Injury",875600,3,"Waikato",NA
"212","17","Common Assault",433501,3,"Auckland",NA
"213","17","Common Assault",1386600,3,"Hawkes Bay/ Gisborne",NA
"214","17","Common Assault",2609400,3,"Canterbury",NA
"215","17","Common Assault",42500,3,"Northland",NA
"216","17","Serious Assault Not Resulting in Injury",818700,3,"Auckland",NA
"217","17","Serious Assault Resulting in Injury",856500,3,"Waikato",NA
"218","17","Aggravated Sexual Assault",2005501,3,"Wellington/ Lower-Central North",NA
"219","17","Aggravated Sexual Assault",712401,3,"Auckland",NA
"220","17","Aggravated Sexual Assault",434000,3,"Auckland",NA
"266","17","Common Assault",3025000,4,"Southland/ Otago",NA
"267","17","Common Assault",2801900,4,"Canterbury",NA
"268","17","Serious Assault Resulting in Injury",3065900,4,"Southland/ Otago",NA
