"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"1286","18","Common Assault",1478700,3,"Hawkes Bay/ Gisborne",NA
"1287","18","Serious Assault Not Resulting in Injury",911800,3,"Waikato",NA
"1288","18","Serious Assault Resulting in Injury",432700,3,"Auckland",NA
"1379","18","Common Assault",911401,2,"Waikato",NA
"1380","18","Common Assault",1646000,2,"West Coast/ Upper-Central North",NA
"1381","18","Common Assault",953100,2,"Waikato",NA
"1382","18","Common Assault",838600,2,"Waikato",NA
"1383","18","Common Assault",751600,2,"Auckland",NA
"1384","18","Serious Assault Not Resulting in Injury",780506,2,"Auckland",NA
"1385","18","Serious Assault Resulting in Injury",3102900,2,"Southland/ Otago",NA
"1386","18","Common Assault",1274000,2,"Waikato",NA
"1387","18","Common Assault",2427400,2,"Canterbury",NA
"1388","18","Serious Assault Not Resulting in Injury",1233400,2,"Bay Of Plenty",NA
"1389","18","Serious Assault Resulting in Injury",784500,2,"Auckland",NA
"1390","18","Common Assault",2606400,2,"Canterbury",NA
"1391","18","Common Assault",1721302,2,"West Coast/ Upper-Central North",NA
"1392","18","Common Assault",909500,2,"Waikato",NA
"1393","18","Non-Aggravated Sexual Assault",997600,2,"Waikato",NA
"1394","18","Aggravated Sexual Assault",852800,2,"Waikato",NA
"1395","18","Non-Aggravated Sexual Assault",176602,2,"Auckland",NA
"1502","18","Common Assault",243300,3,"Auckland",NA
"1503","18","Serious Assault Not Resulting in Injury",1174000,3,"Bay Of Plenty",NA
"1504","18","Common Assault",58901,3,"Northland",NA
"1505","18","Serious Assault Not Resulting in Injury",2237100,3,"Wellington/ Lower-Central North",NA
"1506","18","Common Assault",2245100,3,"Wellington/ Lower-Central North",NA
"1507","18","Serious Assault Not Resulting in Injury",2734300,3,"Canterbury",NA
"1508","18","Common Assault",657700,3,"Auckland",NA
"1509","18","Common Assault",2788000,3,"Canterbury",NA
"1510","18","Serious Assault Not Resulting in Injury",2446903,3,"Canterbury",NA
"1511","18","Serious Assault Not Resulting in Injury",141304,3,"Auckland",NA
"1512","18","Serious Assault Resulting in Injury",2157900,3,"Wellington/ Lower-Central North",NA
"1513","18","Common Assault",2643400,3,"Canterbury",NA
"1514","18","Common Assault",2585900,3,"Canterbury",NA
"1515","18","Serious Assault Not Resulting in Injury",1470305,3,"Hawkes Bay/ Gisborne",NA
"1516","18","Common Assault",2131300,3,"Wellington/ Lower-Central North",NA
"1517","18","Serious Assault Not Resulting in Injury",1086004,3,"Waikato",NA
"1518","18","Common Assault",1474001,3,"Hawkes Bay/ Gisborne",NA
"1519","18","Serious Assault Not Resulting in Injury",1862800,3,"Wellington/ Lower-Central North",NA
"1520","18","Common Assault",1320700,3,"Bay Of Plenty",NA
"1521","18","Serious Assault Not Resulting in Injury",2019300,3,"Wellington/ Lower-Central North",NA
"1522","18","Aggravated Sexual Assault",1215000,3,"Bay Of Plenty",NA
"1523","18","Aggravated Sexual Assault",273500,3,"Auckland",NA
"1524","18","Aggravated Sexual Assault",2090203,3,"Wellington/ Lower-Central North",NA
"1525","18","Common Assault",434300,2,"Auckland",NA
"1526","18","Common Assault",2149300,2,"Wellington/ Lower-Central North",NA
"1527","18","Common Assault",1236600,2,"Bay Of Plenty",NA
"1528","18","Common Assault",2135700,2,"Wellington/ Lower-Central North",NA
"1529","18","Serious Assault Not Resulting in Injury",2052400,2,"Wellington/ Lower-Central North",NA
"1530","18","Serious Assault Not Resulting in Injury",780209,2,"Auckland",NA
"1531","18","Serious Assault Resulting in Injury",938500,2,"Waikato",NA
"1532","18","Serious Assault Resulting in Injury",1180404,2,"Bay Of Plenty",NA
"1533","18","Serious Assault Resulting in Injury",1596000,2,"West Coast/ Upper-Central North",NA
"1534","18","Common Assault",101602,2,"Northland",NA
"1535","18","Common Assault",1722000,2,"West Coast/ Upper-Central North",NA
"1536","18","Common Assault",236201,2,"Auckland",NA
"1537","18","Common Assault",1829100,2,"West Coast/ Upper-Central North",NA
"1538","18","Serious Assault Not Resulting in Injury",902000,2,"Waikato",NA
"1539","18","Serious Assault Not Resulting in Injury",2003709,2,"Wellington/ Lower-Central North",NA
"1540","18","Serious Assault Resulting in Injury",1229901,2,"Bay Of Plenty",NA
"1541","18","Common Assault",1829200,2,"West Coast/ Upper-Central North",NA
"1542","18","Common Assault",1875700,2,"Wellington/ Lower-Central North",NA
"1543","18","Common Assault",428600,2,"Auckland",NA
"1544","18","Common Assault",1401301,2,"Hawkes Bay/ Gisborne",NA
"1545","18","Common Assault",3152100,2,"Southland/ Otago",NA
"1546","18","Serious Assault Not Resulting in Injury",1477100,2,"Hawkes Bay/ Gisborne",NA
"1547","18","Serious Assault Not Resulting in Injury",1374500,2,"Hawkes Bay/ Gisborne",NA
"1548","18","Serious Assault Resulting in Injury",1272000,2,"Waikato",NA
"1549","18","Serious Assault Resulting in Injury",2698802,2,"Canterbury",NA
"1550","18","Serious Assault Resulting in Injury",750700,2,"Auckland",NA
"1551","18","Serious Assault Resulting in Injury",773813,2,"Auckland",NA
"1552","18","Common Assault",440901,2,"Auckland",NA
"1553","18","Common Assault",438104,2,"Auckland",NA
"1554","18","Common Assault",3204003,2,"Auckland",NA
"1555","18","Common Assault",542700,2,"Auckland",NA
"1556","18","Common Assault",1181703,2,"Bay Of Plenty",NA
"1557","18","Common Assault",100200,2,"Northland",NA
"1558","18","Serious Assault Not Resulting in Injury",594400,2,"Auckland",NA
"1559","18","Serious Assault Not Resulting in Injury",1833000,2,"West Coast/ Upper-Central North",NA
"1560","18","Serious Assault Resulting in Injury",1451000,2,"Hawkes Bay/ Gisborne",NA
"1561","18","Serious Assault Resulting in Injury",1123000,2,"Waikato",NA
"1562","18","Serious Assault Resulting in Injury",1644100,2,"West Coast/ Upper-Central North",NA
"1563","18","Common Assault",623200,2,"Auckland",NA
"1564","18","Common Assault",811002,2,"Auckland",NA
"1565","18","Common Assault",1808300,2,"West Coast/ Upper-Central North",NA
"1566","18","Common Assault",911102,2,"Waikato",NA
"1567","18","Common Assault",466500,2,"Auckland",NA
"1568","18","Serious Assault Not Resulting in Injury",627900,2,"Auckland",NA
"1569","18","Serious Assault Not Resulting in Injury",277600,2,"Auckland",NA
"1570","18","Serious Assault Resulting in Injury",2652200,2,"Canterbury",NA
"1571","18","Common Assault",183800,2,"Auckland",NA
"1572","18","Common Assault",1904300,2,"Wellington/ Lower-Central North",NA
"1573","18","Common Assault",2299200,2,"Tasman/ South-West Coast",NA
"1574","18","Common Assault",1310100,2,"Bay Of Plenty",NA
"1575","18","Common Assault",758200,2,"Auckland",NA
"1576","18","Common Assault",1227000,2,"Bay Of Plenty",NA
"1577","18","Serious Assault Not Resulting in Injury",228702,2,"Auckland",NA
"1578","18","Serious Assault Not Resulting in Injury",774431,2,"Auckland",NA
"1579","18","Serious Assault Resulting in Injury",749100,2,"Auckland",NA
"1580","18","Serious Assault Resulting in Injury",1238400,2,"Bay Of Plenty",NA
"1581","18","Common Assault",786500,2,"Auckland",NA
"1582","18","Serious Assault Not Resulting in Injury",784200,2,"Auckland",NA
"1611","18","Common Assault",436300,4,"Auckland",NA
"1612","18","Common Assault",734300,4,"Auckland",NA
"1613","18","Common Assault",2037500,4,"Wellington/ Lower-Central North",NA
"1614","18","Common Assault",2841100,4,"Canterbury",NA
"1615","18","Common Assault",2179101,4,"Wellington/ Lower-Central North",NA
"1616","18","Common Assault",2245500,4,"Wellington/ Lower-Central North",NA
"1617","18","Serious Assault Not Resulting in Injury",1163900,4,"Bay Of Plenty",NA
"1618","18","Serious Assault Not Resulting in Injury",2127400,4,"Wellington/ Lower-Central North",NA
"1619","18","Serious Assault Resulting in Injury",171306,4,"Auckland",NA
"1620","18","Serious Assault Resulting in Injury",2494600,4,"Canterbury",NA
"1621","18","Common Assault",2010800,4,"Wellington/ Lower-Central North",NA
"1622","18","Common Assault",1919400,4,"Wellington/ Lower-Central North",NA
"1623","18","Common Assault",1366400,4,"Hawkes Bay/ Gisborne",NA
"1624","18","Common Assault",669300,4,"Auckland",NA
"1625","18","Common Assault",910600,4,"Waikato",NA
"1626","18","Serious Assault Not Resulting in Injury",434200,4,"Auckland",NA
"1627","18","Serious Assault Not Resulting in Injury",1618300,4,"West Coast/ Upper-Central North",NA
"1628","18","Serious Assault Resulting in Injury",2840400,4,"Canterbury",NA
"1629","18","Common Assault",357300,4,"Auckland",NA
"1630","18","Common Assault",622300,4,"Auckland",NA
"1631","18","Common Assault",1905800,4,"Wellington/ Lower-Central North",NA
"1632","18","Common Assault",2648200,4,"Canterbury",NA
"1633","18","Common Assault",644400,4,"Auckland",NA
"1634","18","Common Assault",967401,4,"Waikato",NA
"1635","18","Common Assault",944200,4,"Waikato",NA
"1636","18","Serious Assault Not Resulting in Injury",1435800,4,"Hawkes Bay/ Gisborne",NA
"1637","18","Serious Assault Not Resulting in Injury",133435,4,"Northland",NA
"1638","18","Serious Assault Not Resulting in Injury",2218100,4,"Wellington/ Lower-Central North",NA
"1639","18","Serious Assault Resulting in Injury",792000,4,"Auckland",NA
"1640","18","Serious Assault Resulting in Injury",2081100,4,"Wellington/ Lower-Central North",NA
"1641","18","Common Assault",2795900,4,"Canterbury",NA
"1642","18","Common Assault",1274300,4,"Waikato",NA
"1643","18","Common Assault",2135700,4,"Wellington/ Lower-Central North",NA
"1644","18","Common Assault",999400,4,"Waikato",NA
"1645","18","Common Assault",896001,4,"Waikato",NA
"1646","18","Common Assault",1282600,4,"Waikato",NA
"1647","18","Serious Assault Not Resulting in Injury",2013100,4,"Wellington/ Lower-Central North",NA
"1648","18","Serious Assault Not Resulting in Injury",761500,4,"Auckland",NA
"1649","18","Serious Assault Resulting in Injury",1339500,4,"Bay Of Plenty",NA
"1650","18","Serious Assault Resulting in Injury",344000,4,"Auckland",NA
"1651","18","Common Assault",2135700,4,"Wellington/ Lower-Central North",NA
"1652","18","Common Assault",392500,4,"Auckland",NA
"1653","18","Common Assault",2056639,4,"Wellington/ Lower-Central North",NA
"1654","18","Common Assault",432900,4,"Auckland",NA
"1655","18","Common Assault",2865601,4,"Southland/ Otago",NA
"1656","18","Common Assault",2678500,4,"Canterbury",NA
"1657","18","Serious Assault Not Resulting in Injury",751600,4,"Auckland",NA
"1658","18","Serious Assault Not Resulting in Injury",1235100,4,"Bay Of Plenty",NA
"1659","18","Serious Assault Resulting in Injury",1470213,4,"Hawkes Bay/ Gisborne",NA
"1660","18","Serious Assault Resulting in Injury",2882800,4,"Southland/ Otago",NA
"1661","18","Common Assault",-348,4,"Canterbury",NA
"1662","18","Common Assault",436600,4,"Auckland",NA
"1663","18","Common Assault",1306000,4,"Bay Of Plenty",NA
"1664","18","Common Assault",1840700,4,"West Coast/ Upper-Central North",NA
"1665","18","Common Assault",1329500,4,"Bay Of Plenty",NA
"1666","18","Serious Assault Not Resulting in Injury",730002,4,"Auckland",NA
"1667","18","Serious Assault Resulting in Injury",1056705,4,"Waikato",NA
"1668","18","Serious Assault Resulting in Injury",780209,4,"Auckland",NA
"1669","18","Common Assault",768001,4,"Auckland",NA
"1670","18","Serious Assault Resulting in Injury",1170500,4,"Bay Of Plenty",NA
"1671","18","Common Assault",341801,4,"Auckland",NA
"1672","18","Common Assault",2363204,4,"Tasman/ South-West Coast",NA
"1673","18","Common Assault",95800,4,"Northland",NA
"1674","18","Common Assault",433900,4,"Auckland",NA
"1675","18","Common Assault",1413501,4,"Hawkes Bay/ Gisborne",NA
"1676","18","Common Assault",2988300,4,"Southland/ Otago",NA
"1677","18","Serious Assault Not Resulting in Injury",1221100,4,"Bay Of Plenty",NA
"1678","18","Serious Assault Not Resulting in Injury",894100,4,"Waikato",NA
"1679","18","Serious Assault Resulting in Injury",870900,4,"Waikato",NA
"1680","18","Serious Assault Resulting in Injury",179600,4,"Auckland",NA
"1681","18","Aggravated Sexual Assault",2283400,4,"Tasman/ South-West Coast",NA
"1682","18","Non-Aggravated Sexual Assault",2450008,4,"Canterbury",NA
"1683","18","Aggravated Sexual Assault",682200,4,"Auckland",NA
"1684","18","Non-Aggravated Sexual Assault",2078302,4,"Wellington/ Lower-Central North",NA
"1685","18","Aggravated Sexual Assault",1489900,4,"Hawkes Bay/ Gisborne",NA
"1686","18","Non-Aggravated Sexual Assault",-278,4,"Wellington/ Lower-Central North",NA
"1687","18","Aggravated Sexual Assault",960100,4,"Waikato",NA
"1688","18","Aggravated Sexual Assault",-229,4,"West Coast/ Upper-Central North",NA
"1689","18","Aggravated Sexual Assault",2719404,4,"Canterbury",NA
"1780","17","Common Assault",1931600,4,"Wellington/ Lower-Central North",NA
"1781","17","Common Assault",774201,4,"Auckland",NA
"1782","17","Common Assault",180507,4,"Auckland",NA
"1783","17","Common Assault",938602,4,"Waikato",NA
"1784","17","Common Assault",437600,4,"Auckland",NA
"1785","17","Common Assault",151800,4,"Auckland",NA
"1786","17","Serious Assault Not Resulting in Injury",751600,4,"Auckland",NA
"1787","17","Serious Assault Not Resulting in Injury",437101,4,"Auckland",NA
"1788","17","Serious Assault Not Resulting in Injury",1488100,4,"Hawkes Bay/ Gisborne",NA
"1789","17","Serious Assault Resulting in Injury",943900,4,"Waikato",NA
"1790","17","Common Assault",200800,4,"Auckland",NA
"1791","17","Common Assault",1339000,4,"Bay Of Plenty",NA
"1792","17","Common Assault",1428500,4,"Hawkes Bay/ Gisborne",NA
"1793","17","Common Assault",1871900,4,"Wellington/ Lower-Central North",NA
"1794","17","Serious Assault Not Resulting in Injury",26600,4,"Northland",NA
"1795","17","Serious Assault Not Resulting in Injury",1798501,4,"West Coast/ Upper-Central North",NA
"1796","17","Serious Assault Resulting in Injury",1422200,4,"Hawkes Bay/ Gisborne",NA
"1797","17","Common Assault",2899900,4,"Southland/ Otago",NA
"1798","17","Common Assault",2242800,4,"Wellington/ Lower-Central North",NA
"1799","17","Common Assault",433801,4,"Auckland",NA
"1800","17","Common Assault",1371500,4,"Hawkes Bay/ Gisborne",NA
"1801","17","Common Assault",53600,4,"Northland",NA
"1802","17","Common Assault",3059000,4,"Southland/ Otago",NA
"1803","17","Common Assault",2255300,4,"Wellington/ Lower-Central North",NA
"1804","17","Serious Assault Not Resulting in Injury",2588300,4,"Canterbury",NA
"1805","17","Serious Assault Not Resulting in Injury",224229,4,"Auckland",NA
"1806","17","Serious Assault Resulting in Injury",437903,4,"Auckland",NA
"1807","17","Serious Assault Resulting in Injury",740200,4,"Auckland",NA
"1808","17","Common Assault",1278500,4,"Waikato",NA
"1809","17","Common Assault",2133200,4,"Wellington/ Lower-Central North",NA
"1810","17","Common Assault",434500,4,"Auckland",NA
"1811","17","Common Assault",2660200,4,"Canterbury",NA
"1812","17","Common Assault",2612200,4,"Canterbury",NA
"1813","17","Common Assault",2181700,4,"Wellington/ Lower-Central North",NA
"1814","17","Common Assault",1203600,4,"Bay Of Plenty",NA
"1815","17","Serious Assault Not Resulting in Injury",2645100,4,"Canterbury",NA
"1816","17","Serious Assault Not Resulting in Injury",1387300,4,"Hawkes Bay/ Gisborne",NA
"1817","17","Serious Assault Not Resulting in Injury",1340000,4,"Bay Of Plenty",NA
"1818","17","Serious Assault Resulting in Injury",2135700,4,"Wellington/ Lower-Central North",NA
"1819","17","Serious Assault Resulting in Injury",437903,4,"Auckland",NA
"1820","17","Common Assault",1936600,4,"Wellington/ Lower-Central North",NA
"1821","17","Common Assault",164203,4,"Auckland",NA
"1822","17","Common Assault",418000,4,"Auckland",NA
"1823","17","Common Assault",740500,4,"Auckland",NA
"1824","17","Common Assault",414000,4,"Auckland",NA
"1825","17","Common Assault",787200,4,"Auckland",NA
"1826","17","Common Assault",1868000,4,"Wellington/ Lower-Central North",NA
"1827","17","Serious Assault Not Resulting in Injury",1177900,4,"Bay Of Plenty",NA
"1828","17","Serious Assault Not Resulting in Injury",1561100,4,"West Coast/ Upper-Central North",NA
"1829","17","Serious Assault Resulting in Injury",1906200,4,"Wellington/ Lower-Central North",NA
"1830","17","Serious Assault Resulting in Injury",1470213,4,"Hawkes Bay/ Gisborne",NA
"1831","17","Common Assault",1454200,4,"Hawkes Bay/ Gisborne",NA
"1832","17","Common Assault",773400,4,"Auckland",NA
"1833","17","Common Assault",2494600,4,"Canterbury",NA
"1834","17","Common Assault",784100,4,"Auckland",NA
"1835","17","Common Assault",2345200,4,"Tasman/ South-West Coast",NA
"1836","17","Serious Assault Not Resulting in Injury",534500,4,"Auckland",NA
"1837","17","Serious Assault Not Resulting in Injury",2159203,4,"Wellington/ Lower-Central North",NA
"1838","17","Serious Assault Resulting in Injury",778700,4,"Auckland",NA
"1839","17","Common Assault",413500,4,"Auckland",NA
"1840","17","Common Assault",1834100,4,"West Coast/ Upper-Central North",NA
"1841","17","Serious Assault Not Resulting in Injury",114302,4,"Northland",NA
"1842","17","Serious Assault Resulting in Injury",437102,4,"Auckland",NA
"1843","17","Common Assault",938500,4,"Waikato",NA
"1844","17","Common Assault",912200,4,"Waikato",NA
"1845","17","Common Assault",1869600,4,"Wellington/ Lower-Central North",NA
"1846","17","Common Assault",1183807,4,"Bay Of Plenty",NA
"1847","17","Common Assault",2803100,4,"Canterbury",NA
"1848","17","Common Assault",178501,4,"Auckland",NA
"1849","17","Serious Assault Not Resulting in Injury",1585500,4,"West Coast/ Upper-Central North",NA
"1850","17","Serious Assault Resulting in Injury",2262400,4,"Wellington/ Lower-Central North",NA
"1851","17","Serious Assault Resulting in Injury",232001,4,"Auckland",NA
"1991","18","Serious Assault Resulting in Injury",2899900,3,"Southland/ Otago",NA
"1992","18","Serious Assault Resulting in Injury",1798501,3,"West Coast/ Upper-Central North",NA
"1993","18","Common Assault",437500,3,"Auckland",NA
"1994","18","Common Assault",905600,3,"Waikato",NA
"1995","18","Common Assault",3146600,3,"Southland/ Otago",NA
"1996","18","Common Assault",808501,3,"Auckland",NA
"1997","18","Serious Assault Not Resulting in Injury",1206701,3,"Bay Of Plenty",NA
"1998","18","Serious Assault Resulting in Injury",2858100,3,"Southland/ Otago",NA
"1999","18","Common Assault",589802,3,"Auckland",NA
"2000","18","Common Assault",1178002,3,"Bay Of Plenty",NA
"2001","18","Serious Assault Not Resulting in Injury",1578602,3,"West Coast/ Upper-Central North",NA
"2002","18","Serious Assault Resulting in Injury",1035200,3,"West Coast/ Upper-Central North",NA
"2003","18","Common Assault",231001,3,"Auckland",NA
"2004","18","Common Assault",1818800,3,"West Coast/ Upper-Central North",NA
"2005","18","Common Assault",1264202,3,"Bay Of Plenty",NA
"2006","18","Common Assault",780506,3,"Auckland",NA
"2007","18","Serious Assault Not Resulting in Injury",638002,3,"Auckland",NA
"2008","18","Serious Assault Not Resulting in Injury",2494600,3,"Canterbury",NA
"2009","18","Serious Assault Resulting in Injury",3039712,3,"Southland/ Otago",NA
"2010","18","Serious Assault Resulting in Injury",2052500,3,"Wellington/ Lower-Central North",NA
"2011","18","Aggravated Sexual Assault",-36,3,"Auckland",NA
"2012","18","Non-Aggravated Sexual Assault",-153,3,"Waikato",NA
"2013","18","Aggravated Sexual Assault",890000,3,"Waikato",NA
"2014","18","Aggravated Sexual Assault",438106,3,"Auckland",NA
"2015","18","Non-Aggravated Sexual Assault",1435700,3,"Hawkes Bay/ Gisborne",NA
"2016","18","Aggravated Sexual Assault",2982000,3,"Southland/ Otago",NA
"2017","18","Non-Aggravated Sexual Assault",797800,3,"Auckland",NA
"2018","18","Common Assault",-64,3,"Auckland",NA
"2019","18","Serious Assault Not Resulting in Injury",1818700,3,"West Coast/ Upper-Central North",NA
"2020","18","Common Assault",1691300,3,"West Coast/ Upper-Central North",NA
"2021","18","Serious Assault Not Resulting in Injury",1452500,3,"Hawkes Bay/ Gisborne",NA
"2022","18","Common Assault",214105,3,"Auckland",NA
"2023","18","Common Assault",1311200,3,"Bay Of Plenty",NA
"2024","18","Serious Assault Not Resulting in Injury",1998402,3,"Wellington/ Lower-Central North",NA
"2025","18","Serious Assault Not Resulting in Injury",780415,3,"Auckland",NA
"2026","18","Aggravated Sexual Assault",1328501,3,"Bay Of Plenty",NA
"2052","18","Common Assault",1372900,2,"Hawkes Bay/ Gisborne",NA
"2053","18","Common Assault",2237000,2,"Wellington/ Lower-Central North",NA
"2054","18","Common Assault",1141300,2,"Waikato",NA
"2055","18","Common Assault",2268400,2,"Wellington/ Lower-Central North",NA
"2056","18","Common Assault",911800,2,"Waikato",NA
"2057","18","Serious Assault Not Resulting in Injury",1169301,2,"Bay Of Plenty",NA
"2058","18","Serious Assault Resulting in Injury",409100,2,"Auckland",NA
"2059","18","Serious Assault Resulting in Injury",111100,2,"Northland",NA
"2060","18","Aggravated Sexual Assault",2495000,2,"Canterbury",NA
"2061","18","Non-Aggravated Sexual Assault",864300,2,"Waikato",NA
"2062","18","Aggravated Sexual Assault",2488604,2,"Canterbury",NA
"2063","18","Aggravated Sexual Assault",2684000,2,"Canterbury",NA
"2064","18","Common Assault",2123700,2,"Wellington/ Lower-Central North",NA
"2065","18","Common Assault",2586700,2,"Canterbury",NA
"2066","18","Serious Assault Resulting in Injury",433001,2,"Auckland",NA
"2067","18","Common Assault",2867800,2,"Southland/ Otago",NA
"2068","18","Common Assault",1829400,2,"West Coast/ Upper-Central North",NA
"2069","18","Common Assault",1492100,2,"Hawkes Bay/ Gisborne",NA
"2070","18","Serious Assault Not Resulting in Injury",2969800,2,"Southland/ Otago",NA
"2083","18","Common Assault",650000,4,"Auckland",NA
"2084","18","Common Assault",737500,4,"Auckland",NA
"2085","18","Common Assault",3038309,4,"Southland/ Otago",NA
"2086","18","Serious Assault Not Resulting in Injury",342600,4,"Auckland",NA
"2087","18","Serious Assault Resulting in Injury",663500,4,"Auckland",NA
"2088","18","Common Assault",911800,4,"Waikato",NA
"2089","18","Common Assault",171500,4,"Auckland",NA
"2090","18","Common Assault",412100,4,"Auckland",NA
"2091","18","Common Assault",1568600,4,"West Coast/ Upper-Central North",NA
"2092","18","Common Assault",476100,4,"Auckland",NA
"2093","18","Common Assault",433006,4,"Auckland",NA
"2094","18","Serious Assault Not Resulting in Injury",1426100,4,"Hawkes Bay/ Gisborne",NA
"2095","18","Serious Assault Resulting in Injury",1371300,4,"Hawkes Bay/ Gisborne",NA
"2096","18","Common Assault",1829300,4,"West Coast/ Upper-Central North",NA
"2097","18","Common Assault",1594700,4,"West Coast/ Upper-Central North",NA
"2098","18","Common Assault",747500,4,"Auckland",NA
"2099","18","Common Assault",2511900,4,"Canterbury",NA
"2100","18","Common Assault",2539001,4,"Canterbury",NA
"2101","18","Serious Assault Resulting in Injury",1154802,4,"Bay Of Plenty",NA
"2102","18","Common Assault",579200,4,"Auckland",NA
"2103","18","Common Assault",404800,4,"Auckland",NA
"2143","18","Aggravated Sexual Assault",628001,4,"Auckland",NA
"2144","18","Aggravated Sexual Assault",3117600,4,"Southland/ Otago",NA
"2145","18","Aggravated Sexual Assault",2135900,4,"Wellington/ Lower-Central North",NA
"2755","18","Common Assault",1999601,4,"Wellington/ Lower-Central North",NA
"2756","18","Common Assault",1976800,4,"Wellington/ Lower-Central North",NA
"2757","18","Common Assault",1469703,4,"Hawkes Bay/ Gisborne",NA
"2758","18","Serious Assault Not Resulting in Injury",551700,4,"Auckland",NA
"2759","18","Serious Assault Resulting in Injury",2207201,4,"Wellington/ Lower-Central North",NA
"2760","18","Common Assault",541800,4,"Auckland",NA
"2761","18","Serious Assault Not Resulting in Injury",1475100,4,"Hawkes Bay/ Gisborne",NA
"2762","18","Serious Assault Resulting in Injury",1210000,4,"Bay Of Plenty",NA
"2763","18","Common Assault",774003,4,"Auckland",NA
"2764","18","Aggravated Sexual Assault",3029303,4,"Southland/ Otago",NA
"2784","19","Common Assault",209100,4,"Auckland",NA
"2785","19","Common Assault",774306,4,"Auckland",NA
"2786","19","Serious Assault Resulting in Injury",1144500,4,"Waikato",NA
"2787","19","Common Assault",1254404,4,"Bay Of Plenty",NA
"2788","19","Common Assault",978500,4,"Waikato",NA
"2789","19","Serious Assault Not Resulting in Injury",1171600,4,"Bay Of Plenty",NA
"2790","19","Serious Assault Resulting in Injury",2322600,4,"Tasman/ South-West Coast",NA
"2791","19","Common Assault",1267705,4,"Waikato",NA
"2792","19","Common Assault",2719303,4,"Canterbury",NA
"2793","19","Common Assault",1274300,4,"Waikato",NA
"2794","19","Serious Assault Resulting in Injury",2082800,4,"Wellington/ Lower-Central North",NA
"2795","19","Common Assault",1274200,4,"Waikato",NA
"2796","19","Common Assault",451400,4,"Auckland",NA
"2797","19","Common Assault",2415200,4,"Tasman/ South-West Coast",NA
"2798","19","Common Assault",1905700,4,"Wellington/ Lower-Central North",NA
"2799","19","Serious Assault Not Resulting in Injury",1967000,4,"Wellington/ Lower-Central North",NA
"2800","19","Serious Assault Resulting in Injury",780205,4,"Auckland",NA
"2801","19","Serious Assault Resulting in Injury",2003709,4,"Wellington/ Lower-Central North",NA
"2802","19","Common Assault",1180502,4,"Bay Of Plenty",NA
"2803","19","Common Assault",711174,4,"Auckland",NA
"2804","19","Common Assault",3026600,4,"Southland/ Otago",NA
"2805","19","Common Assault",242700,4,"Auckland",NA
"2806","19","Serious Assault Not Resulting in Injury",173119,4,"Auckland",NA
"2807","19","Serious Assault Resulting in Injury",1869800,4,"Wellington/ Lower-Central North",NA
"2808","19","Common Assault",412100,4,"Auckland",NA
"2809","19","Serious Assault Resulting in Injury",774431,4,"Auckland",NA
"2810","19","Common Assault",1305200,4,"Bay Of Plenty",NA
"2811","19","Common Assault",433700,4,"Auckland",NA
"2812","19","Non-Aggravated Sexual Assault",1164000,4,"Bay Of Plenty",NA
"2813","19","Non-Aggravated Sexual Assault",907700,4,"Waikato",NA
"2826","19","Common Assault",2489600,3,"Canterbury",NA
"2827","19","Common Assault",278904,3,"Auckland",NA
"2828","19","Common Assault",434300,3,"Auckland",NA
"2829","19","Common Assault",434500,3,"Auckland",NA
"2830","19","Common Assault",3142500,3,"Southland/ Otago",NA
"2831","19","Common Assault",2028000,3,"Wellington/ Lower-Central North",NA
"2832","19","Serious Assault Resulting in Injury",800800,3,"Auckland",NA
"2833","19","Common Assault",911800,3,"Waikato",NA
"2834","19","Common Assault",659300,3,"Auckland",NA
"2835","19","Serious Assault Not Resulting in Injury",2365600,3,"Tasman/ South-West Coast",NA
"2836","19","Serious Assault Resulting in Injury",438103,3,"Auckland",NA
"2837","19","Common Assault",3103800,3,"Southland/ Otago",NA
"2838","19","Serious Assault Not Resulting in Injury",763100,3,"Auckland",NA
"2839","19","Serious Assault Resulting in Injury",729200,3,"Auckland",NA
"2840","19","Common Assault",877800,3,"Waikato",NA
"2841","19","Common Assault",2034000,3,"Wellington/ Lower-Central North",NA
"2842","19","Common Assault",270202,3,"Auckland",NA
"2843","19","Serious Assault Resulting in Injury",1520500,3,"Hawkes Bay/ Gisborne",NA
"2844","19","Aggravated Sexual Assault",1446700,3,"Hawkes Bay/ Gisborne",NA
"2845","19","Non-Aggravated Sexual Assault",1764800,3,"West Coast/ Upper-Central North",NA
"2846","19","Aggravated Sexual Assault",1423900,3,"Hawkes Bay/ Gisborne",NA
"2847","19","Common Assault",2641900,3,"Canterbury",NA
"2848","19","Serious Assault Not Resulting in Injury",712807,3,"Auckland",NA
"2849","19","Common Assault",918300,3,"Waikato",NA
"2850","19","Serious Assault Not Resulting in Injury",1783801,3,"West Coast/ Upper-Central North",NA
"2851","19","Serious Assault Resulting in Injury",698900,3,"Auckland",NA
"2852","19","Common Assault",1050400,3,"Waikato",NA
"2853","19","Serious Assault Resulting in Injury",2013600,3,"Wellington/ Lower-Central North",NA
"2854","19","Common Assault",672500,3,"Auckland",NA
"2855","19","Serious Assault Not Resulting in Injury",799000,3,"Auckland",NA
"2856","19","Serious Assault Resulting in Injury",906502,3,"Waikato",NA
"2857","19","Serious Assault Not Resulting in Injury",1191500,3,"Bay Of Plenty",NA
